Gene = crim
index = 1658
Annotated 5SS: [166 379]
Annotated 3SS: [237 434]
SMsplice 5SS: [166 379]
SMsplice 3SS: [237 434]
top_k =  1000
Partition function (log Z): 0.4890446605894583

Sorted 5' Splice Sites (High to Low Probability):
Position 166: 0.9907167549549196
Position 379: 0.9902969627874925
Position 173: 0.004907532877994217
Position 668: 0.003721402515207494
Position 360: 0.00238853578465992
Position 30: 0.0013652279669318914
Position 675: 0.0009426489435955351
Position 53: 0.0005639592746398878
Position 661: 0.00024622763769925734
Position 48: 6.922358384130181e-05
Position 59: 5.4596838544130383e-05
Position 551: 4.1312989606151216e-05
Position 578: 3.061077114424782e-05
Position 10: 2.958254424859133e-05
Position 68: 2.9049969910750228e-05
Position 51: 2.074751983309638e-05
Position 61: 1.5077669753787252e-05
Position 731: 7.479384838270961e-06
Position 585: 7.469424371422178e-06
Position 612: 2.1589160962868703e-06
Position 207: 1.980459597998413e-06
Position 726: 1.564370377481803e-06
Position 453: 1.537840375109934e-06
Position 739: 1.1533764166914165e-06
Position 354: 7.068577755318684e-07
Position 607: 8.93611111239911e-08
Position 293: 7.548370688631259e-08
Position 396: 7.272953036787029e-08
Position 516: 5.2894596367591145e-08
Position 513: 5.25594784971864e-08
Position 251: 2.8852516155393797e-08
Position 211: 1.360250401412473e-08
Position 198: 1.0186961217792931e-08
Position 774: 9.975106557600432e-09
Position 283: 7.639461492887168e-09
Position 230: 4.800862841484436e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 237: 0.9955451723269868
Position 434: 0.9778721603115234
Position 438: 0.010848692596418354
Position 731: 0.005298200416060489
Position 135: 0.0015791221754321314
Position 509: 0.001372889694132416
Position 465: 0.0010028697072013903
Position 83: 0.0005474156233728069
Position 485: 0.0005237797039464696
Position 568: 0.0003180811638762119
Position 712: 0.00023788011611916628
Position 819: 0.0001755505807203194
Position 293: 4.175577409461724e-05
Position 542: 2.7996660067261673e-05
Position 538: 2.045445407612902e-05
Position 571: 1.987928490437711e-05
Position 312: 1.8914160021586733e-05
Position 739: 6.5827171427629745e-06
Position 726: 3.2945651423169243e-06
Position 826: 1.4646899084850697e-06
Position 648: 1.3691359783105604e-06
Position 150: 1.0869274231622626e-07
Position 290: 1.0628202306235142e-07
Position 198: 7.32038165640864e-08
Position 359: 7.217350511189389e-08
Position 474: 2.3135701001879834e-08
Position 828: 4.512610918531272e-09
Position 405: 1.877457902261065e-09
Position 170: 1.8002378227201415e-09
Position 173: 7.799346060769988e-10
Position 368: 1.4933355158527547e-10
Position 164: 1.2813595800643995e-10
Position 326: 2.2618114697994274e-13
Position 383: 2.3070227193222475e-15
