Gene = Su(z)12
index = 1531
Annotated 5SS: [ 664  778 1496 2411 3309]
Annotated 3SS: [ 730 1005 1557 2475 4171]
SMsplice 5SS: [ 664  778 1496 2411 3309]
SMsplice 3SS: [ 730 1005 1557 2475 4171]
top_k =  1000
Partition function (log Z): 11.121092609209397

Sorted 5' Splice Sites (High to Low Probability):
Position 2411: 0.9997102707069699
Position 1496: 0.9899103946616877
Position 664: 0.9746614466946282
Position 3309: 0.9560369338082717
Position 778: 0.9507800373171972
Position 4104: 0.15481158296468753
Position 1249: 0.11147383510681254
Position 1084: 0.07981198882614354
Position 4101: 0.03237051725289452
Position 4749: 0.030682621824453776
Position 91: 0.030333929266457896
Position 4446: 0.026487709194186228
Position 1948: 0.015155979440596804
Position 1971: 0.01214684409182481
Position 4005: 0.009914502588100211
Position 4780: 0.00825460793985379
Position 1655: 0.0064694317947911004
Position 860: 0.006384178723814031
Position 1619: 0.005348979124298335
Position 1126: 0.005307700065505539
Position 2613: 0.0032763893715711417
Position 4962: 0.003248906455677419
Position 1472: 0.0029611538285341517
Position 87: 0.0025372332387797445
Position 799: 0.002413246955472096
Position 3640: 0.002410859658973722
Position 308: 0.0023542325948575763
Position 4579: 0.002029468963857173
Position 2905: 0.0017176983775718509
Position 939: 0.0016239421990723326
Position 4085: 0.0014629311898057462
Position 4001: 0.0011998000229107905
Position 3564: 0.0010989981259331661
Position 1418: 0.0009867436801702211
Position 3486: 0.0008837958066476473
Position 5019: 0.0008261286052982603
Position 4083: 0.0006351769942898812
Position 1185: 0.0006203108812323472
Position 2899: 0.0006076689849186283
Position 2912: 0.0005891074437907427
Position 3848: 0.0005831898530154595
Position 2648: 0.0005664181208901981
Position 1347: 0.0004022046821225325
Position 3931: 0.00036190535724437523
Position 668: 0.0003310563023220416
Position 4916: 0.00031689517469102497
Position 300: 0.00031166577562842556
Position 2848: 0.00029932366454075234
Position 962: 0.000297800126042289
Position 4040: 0.00029050421359620276
Position 130: 0.00027529794266528554
Position 807: 0.00027116560889733107
Position 159: 0.00023251227791502537
Position 908: 0.0001869018182385682
Position 1245: 0.00018143461361161853
Position 1881: 0.00016508436891150968
Position 609: 0.0001645596397061745
Position 104: 0.0001446508013778175
Position 4905: 0.00013747886317196442
Position 23: 0.0001331483581827734
Position 2666: 0.00013162984957636572
Position 916: 0.0001305398041295454
Position 2428: 0.00012189380297621137
Position 1332: 0.00011023877572687455
Position 4148: 0.00010953066098101766
Position 181: 0.000101832634636801
Position 4035: 0.00010092062291116009
Position 4046: 9.960776653497415e-05
Position 1116: 9.570028857314839e-05
Position 1345: 8.946917858523176e-05
Position 3357: 8.877394931390835e-05
Position 4058: 8.792298541976933e-05
Position 3018: 8.306571993855118e-05
Position 2729: 8.155380360563663e-05
Position 1459: 7.149105603295776e-05
Position 2390: 7.141442367560796e-05
Position 831: 6.904538407719777e-05
Position 4763: 6.862291721168577e-05
Position 1598: 5.66216595120659e-05
Position 604: 5.6458413691435404e-05
Position 412: 5.462119167010368e-05
Position 3759: 5.3592469360909315e-05
Position 3411: 5.2790672718043456e-05
Position 2623: 5.158298029710244e-05
Position 3021: 5.0074792602468225e-05
Position 1253: 4.752473019868304e-05
Position 1796: 4.542883852479865e-05
Position 1628: 3.950198663897357e-05
Position 4021: 3.881459869774283e-05
Position 4435: 3.864559306805535e-05
Position 2603: 3.460669576926372e-05
Position 2075: 3.441879799891015e-05
Position 4632: 3.0177808954559514e-05
Position 505: 2.931824009176746e-05
Position 2213: 2.582022340789218e-05
Position 174: 2.2969080075946677e-05
Position 1697: 2.2908481356476503e-05
Position 351: 2.2536504676144648e-05
Position 782: 2.060839039906178e-05
Position 1770: 2.0302333018233262e-05
Position 1269: 1.998379297255531e-05
Position 704: 1.746044431881266e-05
Position 3971: 1.7201192594764806e-05
Position 2401: 1.56141990865863e-05
Position 1858: 1.464739125946174e-05
Position 2095: 1.3941327724226611e-05
Position 2701: 1.3207313743766907e-05
Position 214: 1.2993215159343297e-05
Position 2655: 1.1537463026629845e-05
Position 1973: 1.1515046217011823e-05
Position 2835: 1.0360461586003981e-05
Position 1255: 9.276589846446757e-06
Position 37: 8.44050823414419e-06
