Gene = dpr19
index = 1674
Annotated 5SS: [ 386 1221 1775 2054 2232 2697]
Annotated 3SS: [1079 1628 1842 2119 2322 2754]
SMsplice 5SS: [ 717 1775 2054 2232 2697]
SMsplice 3SS: [1628 1842 2119 2322 2754]
top_k =  1000
Partition function (log Z): 5.206558499034106

Sorted 5' Splice Sites (High to Low Probability):
Position 1775: 0.9965218542251126
Position 2697: 0.977102317557693
Position 2054: 0.9067830571026047
Position 2232: 0.8675751585519578
Position 717: 0.6933445454307449
Position 1349: 0.14204943671899128
Position 1221: 0.13090819767732634
Position 273: 0.09941141387542488
Position 386: 0.0909626586119637
Position 2259: 0.06535761398473362
Position 2964: 0.03281374128900602
Position 2250: 0.020053736406610182
Position 153: 0.01842167802800774
Position 3018: 0.01816067541747665
Position 2591: 0.014920075400092266
Position 3138: 0.01361497376278321
Position 3317: 0.006026192850640601
Position 52: 0.005498347504098291
Position 743: 0.003517970176517277
Position 789: 0.0031140719329403968
Position 1416: 0.002847363839457506
Position 1567: 0.0026280792123153595
Position 3321: 0.0023498529505631464
Position 509: 0.0021877739271370824
Position 2928: 0.001918918716417424
Position 3525: 0.0017799743673508428
Position 2925: 0.0014652422988607292
Position 1099: 0.001351104753219387
Position 3541: 0.0012641563374951824
Position 532: 0.001229131262367833
Position 3369: 0.000927341596180772
Position 3333: 0.000871996310645709
Position 1988: 0.000858472669116171
Position 2000: 0.000663074341490884
Position 655: 0.0006461867316879751
Position 1283: 0.0005430088593588279
Position 355: 0.0005315919640282036
Position 1757: 0.0004963939685841868
Position 3363: 0.0004622570604977167
Position 984: 0.0004136740695804895
Position 683: 0.0004071775764851303
Position 665: 0.00038673547707270494
Position 107: 0.00038491947150217905
Position 2681: 0.0003759457695294798
Position 1120: 0.0003657815921474397
Position 3152: 0.00030492687495321124
Position 3091: 0.0002978425570042173
Position 2096: 0.00029740526134956985
Position 777: 0.0002932403320973637
Position 572: 0.0002777472045459258
Position 2868: 0.00025489925040228235
