Gene = l(3)mbn
index = 1755
Annotated 5SS: [ 279  447 2454 3735 4001]
Annotated 3SS: [ 337 2309 2813 3937 4068]
SMsplice 5SS: [ 279  447 2454 2982 4001]
SMsplice 3SS: [ 337 2309 2813 3937 4068]
top_k =  1000
Partition function (log Z): 5.824668489804731

Sorted 5' Splice Sites (High to Low Probability):
Position 2454: 0.9981610839772579
Position 447: 0.9924724828294457
Position 4001: 0.8579102871538307
Position 2982: 0.8098684192410213
Position 279: 0.6975962795090148
Position 3735: 0.4854093259417027
Position 1977: 0.10735597607130283
Position 3422: 0.06691293640265637
Position 2907: 0.0148771483706559
Position 3197: 0.012988405706698625
Position 70: 0.010109868089625447
Position 2096: 0.00899154584876089
Position 3900: 0.007498138083327805
Position 2234: 0.0058457222138282045
Position 25: 0.004185058463989201
Position 3860: 0.0032777444621476526
Position 1168: 0.0029599315450793764
Position 3069: 0.002944587923258726
Position 3744: 0.0023993199094905753
Position 3581: 0.0022640946623056664
Position 2669: 0.002253337171849528
Position 2708: 0.0022399380526884763
Position 455: 0.0022024262085619133
Position 1952: 0.002179799443195581
Position 2057: 0.0020731874072872167
Position 1594: 0.0017890853778828664
Position 3518: 0.0017753174528038471
Position 3455: 0.001604979829837039
Position 3257: 0.0015714865973496836
Position 4591: 0.0015654109739919049
Position 3287: 0.0015222276370913685
Position 3310: 0.0013003993472926977
Position 3764: 0.0012337149954426499
Position 2878: 0.0011091334850491664
Position 2722: 0.000915565982394657
Position 4005: 0.0008669076364508615
Position 4315: 0.0008106880963460022
Position 126: 0.0007774919124365325
Position 2444: 0.0007734466047891005
Position 1322: 0.0007637267227784782
Position 1253: 0.00061069489784655
Position 881: 0.0005986044353821465
Position 3994: 0.0005978701611778547
Position 826: 0.0005800870660618659
Position 2765: 0.0005529534965106394
Position 2103: 0.0004819182492576333
Position 166: 0.00048089625065534476
Position 505: 0.00047659301743683516
Position 2901: 0.00047163582505654775
Position 1467: 0.00046583141897843793
Position 958: 0.000453513295015022
Position 733: 0.0004187995973464347
Position 2108: 0.00037340820417553275
Position 120: 0.0003175931929106478
Position 3531: 0.0002904366990001691
Position 2448: 0.0002739500228780347
Position 2138: 0.0002596549629035688
Position 1290: 0.0002443562204705773
Position 974: 0.00024029139910443568
Position 1805: 0.00023933819775823792
Position 1177: 0.000239079102148074
Position 804: 0.00022872693634477527
Position 2693: 0.00022069426572885966
Position 386: 0.0002109380476305595
Position 266: 0.00020345314734956495
Position 3594: 0.00020271685953101096
Position 89: 0.00019449181835347784
Position 3468: 0.00016976512668570037
Position 4330: 0.00016385535106151568
Position 716: 0.00015633180598644827
Position 1063: 0.00015159781508759462
Position 270: 0.00013480245168451873
Position 2458: 0.00013156523126283353
Position 1634: 0.0001302510339749193
Position 1480: 0.00012711425134654265
Position 2759: 0.00012067996858885791
Position 1524: 0.0001172477618716731
Position 1349: 0.00011298391053293941
Position 1956: 0.00010787802009953082
Position 2662: 0.00010537609726952672
Position 1456: 9.860532347838572e-05
Position 4438: 9.60544031150327e-05
Position 934: 8.951166264113442e-05
Position 3017: 8.090301772480926e-05
Position 2202: 7.108196089399505e-05
Position 1610: 6.64980529098472e-05
Position 1138: 6.454970016867984e-05
Position 1503: 6.232789234699373e-05
Position 2543: 5.4630017968567407e-05
Position 1078: 4.9696976810467493e-05
Position 709: 4.80038930627593e-05
Position 4579: 4.698793447550723e-05
Position 20: 4.576858049877866e-05
Position 3185: 4.480386336035844e-05
Position 213: 4.451908877270373e-05
Position 2116: 3.872985428212742e-05
Position 283: 3.502225574381275e-05
Position 3545: 3.461139745144532e-05
Position 1035: 3.43143139505104e-05
Position 3392: 3.3980554139148294e-05
Position 3417: 3.322578936596705e-05
Position 291: 2.9259462671529512e-05
Position 849: 2.911405529041534e-05
Position 660: 2.8419342138690765e-05
Position 3482: 2.615950397709296e-05
Position 889: 2.4966533761061823e-05
Position 2620: 2.2265933889361152e-05
Position 400: 2.211527319329979e-05
Position 1462: 2.0614206170148017e-05
Position 2162: 1.9159743203285054e-05
Position 4132: 1.8941942434007238e-05
Position 831: 1.7365482834101135e-05
Position 3780: 1.4703291610054688e-05
Position 1145: 1.4556444812813215e-05
Position 824: 1.3765481719725137e-05
Position 700: 1.281536930002074e-05
Position 2358: 1.2662410873502976e-05
Position 2923: 1.2637786290282199e-05
Position 2100: 1.2479721755742763e-05
Position 2048: 1.2285965150479121e-05
Position 3060: 1.163001281459341e-05
Position 1869: 1.0866735304347282e-05
Position 81: 1.07176159862962e-05
Position 3022: 1.0130997891290666e-05
Position 164: 9.500822691045686e-06
Position 274: 7.928227548396744e-06
Position 539: 7.715543811314291e-06
Position 179: 6.768077255800898e-06
Position 2642: 5.646183097397912e-06
Position 1627: 5.236387429104076e-06
Position 2864: 4.909633252443399e-06
Position 829: 4.7569350270838514e-06
Position 817: 4.344178987819553e-06
Position 2702: 4.216399905002478e-06
Position 193: 3.995001252623503e-06
Position 3323: 3.960457087727321e-06
Position 3368: 3.7698590690960524e-06
Position 29: 2.6220952825272483e-06
Position 3053: 2.272164447774905e-06
Position 2843: 1.9897373565143135e-06
Position 2439: 1.8035196610173445e-06
Position 158: 1.6397440740475827e-06
Position 2375: 1.0717287543739531e-06
