Gene = dlt
index = 1672
Annotated 5SS: [130]
Annotated 3SS: [1827]
SMsplice 5SS: [ 130 2048]
SMsplice 3SS: [1827 2108]
top_k =  1000
Partition function (log Z): -10.0598742351802

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.5758032020176507
Position 2048: 0.5577550431729568
Position 2771: 0.41611390979628216
Position 277: 0.259264195630267
Position 2134: 0.21152899210294746
Position 2026: 0.15705663779683868
Position 2804: 0.09658714220066153
Position 3344: 0.08141983112792836
Position 3585: 0.06973581430862744
Position 98: 0.05416826407549344
Position 2277: 0.05240256924662132
Position 1165: 0.04790813562286603
Position 2000: 0.015299612147560225
Position 2983: 0.012778381872366528
Position 463: 0.012526314872022937
Position 1629: 0.011986168101975416
Position 1546: 0.010345574188194987
Position 1122: 0.009289702704502422
Position 855: 0.00796801440018447
Position 165: 0.006936832948042521
Position 3997: 0.006599113327349445
Position 84: 0.00659104591542136
Position 2058: 0.0057139911165470314
Position 939: 0.005195004446621824
Position 1513: 0.005131235799146742
Position 2385: 0.004367166360632492
Position 566: 0.004265210251197726
Position 943: 0.003416002869414102
Position 338: 0.0033999153083473285
Position 763: 0.0032652592818992556
Position 543: 0.002615210159684589
Position 288: 0.002275459431918473
Position 2070: 0.0022676448739612958
Position 1178: 0.002203792544209872
Position 4337: 0.001954829867391357
Position 2835: 0.001723989453007996
Position 2109: 0.001712366928113051
Position 3024: 0.0016860588969257395
Position 1129: 0.0016590557854596645
Position 487: 0.0015697943185257793
Position 199: 0.0015225361677806473
Position 2432: 0.0015111489903318366
Position 1867: 0.0013794313203797598
Position 2594: 0.0010446711653372708
Position 4081: 0.0010004667209853385
Position 1268: 0.000900749938047538
Position 618: 0.0008228513294383889
Position 1689: 0.0008219206725088262
Position 2765: 0.0007773410735914882
Position 695: 0.0006589457365576407
Position 699: 0.0005774853284355603
Position 104: 0.0005719035843853337
Position 4095: 0.0005477933450840844
Position 3233: 0.0005429163434699801
Position 197: 0.0004896042017183184
Position 3641: 0.00048763723084986436
Position 2951: 0.00047722057983757004
Position 459: 0.0004753530488409977
Position 457: 0.0004730132779004839
Position 210: 0.00045607645791781605
Position 1034: 0.00043966466378951065
Position 1623: 0.00043059999762254397
Position 931: 0.0004261330941096933
Position 128: 0.0004048307869388957
Position 1273: 0.0003586297373113997
Position 958: 0.0003574548550332825
Position 3629: 0.00033592636692089006
Position 1507: 0.0003334007070458738
