Gene = dsx-c73A
index = 1679
Annotated 5SS: [ 1812 25192 25382 27791]
Annotated 3SS: [25042 25302 27639 27858]
SMsplice 5SS: [ 1812 18024 25192 25382 27791]
SMsplice 3SS: [17822 25042 25256 27639 27858]
top_k =  1000
Partition function (log Z): 0.9162914852677093

Sorted 5' Splice Sites (High to Low Probability):
Position 27791: 0.9998306586992867
Position 1812: 0.9943207168710793
Position 25192: 0.8923989077347463
Position 25382: 0.8754268509188353
Position 18024: 0.728586228093975
Position 450: 0.41942763596037935
Position 13055: 0.3314257720034979
Position 13499: 0.1922730850490701
Position 228: 0.18476567745900063
Position 13297: 0.16243743688860898
Position 147: 0.15947020632662906
Position 25813: 0.14464718845166344
Position 28026: 0.1330597928567539
Position 1308: 0.09569482697417028
Position 25722: 0.034353597453070414
Position 5742: 0.033727010246639814
Position 6448: 0.02459652233135075
Position 26017: 0.02052273798403561
Position 206: 0.017918317254356362
Position 6753: 0.01669665050278255
Position 28702: 0.014138560693475091
Position 6010: 0.014057140562925466
Position 17932: 0.012365402298298385
Position 27980: 0.011712737598233464
Position 18043: 0.01166726566031889
Position 114: 0.011366878006005655
Position 108: 0.010905123447091245
Position 577: 0.010840230471738738
Position 7946: 0.010803480189773748
Position 523: 0.009109486046566669
Position 28718: 0.009053981524909325
Position 26400: 0.008762431868563183
Position 110: 0.00823768474666928
Position 6454: 0.007264271664935355
Position 1291: 0.006225636590090571
Position 5544: 0.005973402468144895
Position 27926: 0.005713886999688627
Position 2121: 0.005230594133741848
Position 14625: 0.005214075550630409
Position 5103: 0.004980235837897185
Position 28147: 0.004531861245103344
Position 10221: 0.004437381554775186
Position 13397: 0.004421335789951898
Position 28740: 0.0039015725603214675
Position 28730: 0.003883206010199798
Position 6604: 0.0038018549927938336
Position 13800: 0.0032013399193009553
Position 13848: 0.003132335518795954
Position 2692: 0.003100336316406921
Position 399: 0.002794891192651869
Position 5167: 0.0027165643373626854
Position 27948: 0.002659442450993406
Position 28014: 0.00252027784837949
Position 6001: 0.002514060680792764
Position 28180: 0.002023583138825964
Position 28735: 0.0016489294456326045
Position 996: 0.0016315448189885133
Position 13610: 0.0014761791242174607
Position 126: 0.0014160996158748996
Position 736: 0.0013792940294408513
Position 118: 0.0013171966159238049
Position 395: 0.0012551634263050786
Position 1480: 0.0012130050120559546
Position 348: 0.0010352867095342012
Position 21: 0.0009373227677036418
Position 28707: 0.000873237254706919
Position 28144: 0.0008489254781718833
Position 1458: 0.0007874924152864603
Position 454: 0.0007341739510973912
Position 28182: 0.000636956204749529
Position 6425: 0.0006073745075791544
Position 6433: 0.0005742235859015981
Position 6007: 0.0005552157117242494
Position 28723: 0.0005541220784170267
Position 7591: 0.00044492438090265693
Position 739: 0.00043657418007758507
Position 1195: 0.00037679433403334413
Position 141: 0.0003683940182779017
Position 973: 0.00032632876229115405
Position 4552: 0.0003139248169078552
Position 4107: 0.00030782238238966103
Position 1063: 0.000278030945472701
Position 28151: 0.00025986751002712437
Position 1477: 0.00021441030246363305
Position 561: 0.0002079806946112843
Position 3860: 0.00020394470572239427
Position 353: 0.00018722394815497064
Position 28157: 0.00017953630961488418
Position 28526: 0.00017806123009248803
Position 27795: 0.00016625818813124677
Position 28066: 0.0001633544576364725
Position 5595: 0.00014921017721470717
Position 1562: 0.00013604892814799615
Position 173: 0.00013394031402673754
Position 286: 0.00013331325905767907
Position 4411: 0.0001248951844660123
Position 4388: 0.0001224329299035742
Position 28713: 0.0001171173085141187
Position 28943: 0.00011068088606072515
Position 11: 0.00010749831919741167
Position 1957: 0.00010267263014403139
Position 1327: 9.836399416814556e-05
Position 2492: 9.045070959962264e-05
Position 6971: 8.189900124994222e-05
Position 742: 7.986222727039958e-05
Position 28: 6.988770257013653e-05
Position 358: 6.668294578860804e-05
Position 1297: 6.529518190937557e-05
Position 2366: 6.466395121553771e-05
Position 6437: 6.338976524133033e-05
Position 1266: 6.279856549131658e-05
Position 219: 4.40308045772788e-05
Position 2341: 4.181467224465876e-05
Position 124: 4.0890719667242774e-05
Position 151: 3.7945502191942175e-05
Position 112: 3.738411290163958e-05
Position 599: 3.67152792887126e-05
Position 6346: 3.5417394711385074e-05
Position 436: 3.40747399544142e-05
Position 1312: 3.386482194372349e-05
Position 4432: 2.865370476467779e-05
Position 1496: 2.4875074787818792e-05
Position 589: 2.3179113416556026e-05
Position 1303: 2.0559041119215764e-05
Position 1704: 1.974499585341217e-05
Position 5122: 1.856939312416435e-05
Position 1107: 1.8044437131394506e-05
Position 2508: 1.5129154220316797e-05
Position 28601: 1.3684832204470762e-05
Position 4797: 1.0389781962373933e-05
Position 4348: 9.507872157054485e-06
Position 4857: 9.465061398530701e-06
Position 3478: 8.92148654224709e-06
Position 4566: 8.695419834378733e-06
Position 4399: 7.080484101122436e-06
Position 4526: 6.026690025212827e-06
Position 3440: 3.952769475635323e-06
Position 2208: 3.820611687985211e-06
Position 3135: 3.787901671135395e-06
