Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  1000
Partition function (log Z): 2.6244809231499637

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9948037144808445
Position 2025: 0.991682187470804
Position 856: 0.9700853883749775
Position 1374: 0.8881297535956152
Position 4419: 0.66636147933171
Position 4608: 0.5318168312954633
Position 5217: 0.3510180546371433
Position 2543: 0.3144758837456811
Position 4452: 0.18415679849390013
Position 5417: 0.17066033959766147
Position 236: 0.14329907516689747
Position 5464: 0.09813650748523298
Position 5480: 0.08136267892676581
Position 1350: 0.06579464380736377
Position 2683: 0.042530310638012624
Position 644: 0.03772769526336299
Position 3448: 0.031668877742951865
Position 4963: 0.02778563156413265
Position 6771: 0.018392099337279238
Position 4410: 0.016923690286596495
Position 2373: 0.015561577530346645
Position 2604: 0.011256257475177701
Position 2311: 0.010589392833888336
Position 1491: 0.004742639931199026
Position 2547: 0.004534434888125983
Position 1715: 0.004495737096006903
Position 1378: 0.003987094704106047
Position 1703: 0.003959599660965415
Position 4110: 0.0036962045646302317
Position 4423: 0.003680582256897686
Position 4762: 0.003436279184362841
Position 5483: 0.0032810162609020225
Position 2584: 0.003280827537035303
Position 4612: 0.002948986738402375
Position 5410: 0.0027330816578917797
Position 2467: 0.002403773487554692
Position 5198: 0.0022575336830339987
Position 825: 0.0022330691260646664
Position 3739: 0.0022220199007149427
Position 1724: 0.002072058780854424
Position 5429: 0.0020020108792348076
Position 2569: 0.001895133989881688
Position 2563: 0.0018541618856852105
Position 2187: 0.0017662609983005938
Position 6523: 0.0013958833636306548
Position 2342: 0.001357414717030802
Position 3270: 0.0011889166527863856
Position 3927: 0.0011447216485863168
Position 2321: 0.0011052993948549442
Position 2173: 0.001093136864967925
Position 1005: 0.000980277466207766
Position 91: 0.0009240245692865762
Position 3792: 0.0008400625000359245
Position 5441: 0.0008323165130076532
