Gene = Blos3
index = 51
Annotated 5SS: [147 337]
Annotated 3SS: [203 389]
SMsplice 5SS: [147 337]
SMsplice 3SS: [203 389]
top_k =  1000
Partition function (log Z): -3.149202132932471

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9659950686351639
Position 337: 0.9437579512269284
Position 285: 0.0017557161625035562
Position 41: 0.0013439538975719935
Position 96: 0.0012243130604782434
Position 150: 0.0010626309868728009
Position 569: 0.0004334847360858521
Position 32: 0.00025170573472266977
Position 467: 0.00012500589775029958
Position 353: 5.813032591271532e-05
Position 578: 4.1058960513760026e-05
Position 9: 3.170783681520772e-05
Position 103: 2.8453821788753458e-05
Position 65: 9.844694698905522e-06
Position 389: 8.065702326219796e-06
Position 445: 2.078139250016051e-06
Position 341: 1.5940234696960724e-06
Position 450: 1.5138999736712952e-06
Position 176: 1.2367486434420444e-06
Position 511: 8.656077227770287e-07
Position 443: 6.582458704052986e-07
Position 55: 6.065297409496616e-07
Position 493: 4.084796184727586e-07
Position 504: 3.403283220600518e-07
Position 197: 5.967131469727897e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 203: 0.9673706575824064
Position 389: 0.6609564411295819
Position 438: 0.28319856882156835
Position 463: 0.0009438728981678898
Position 670: 0.0008152262345099816
Position 231: 0.0007386465140696398
Position 493: 0.0005276285130737268
Position 414: 0.00047818767953233457
Position 535: 0.00038825448989484766
Position 532: 0.00032130992141519873
Position 460: 0.00010471142034940656
Position 504: 6.756715979044357e-05
Position 450: 3.9276534758898785e-05
Position 108: 3.7257028974716465e-05
Position 176: 3.428031052760092e-05
Position 65: 3.0437625675066824e-05
Position 240: 2.991585292715307e-05
Position 641: 1.4220634002845648e-05
Position 267: 7.460587546494439e-06
Position 511: 7.275998926108512e-06
Position 633: 6.9349622720610635e-06
Position 609: 6.729261417766377e-06
Position 128: 4.561673617025163e-06
Position 588: 2.0935098307988764e-06
Position 619: 1.8774114032194372e-06
Position 326: 7.762436041732869e-07
Position 252: 7.713674094773295e-07
Position 567: 5.35716665584011e-07
Position 541: 3.223179680250487e-07
Position 277: 1.2265370472169295e-07
Position 616: 9.339828335288786e-08
Position 284: 7.189076098408314e-08
Position 544: 6.56470100301355e-08
Position 134: 5.86946310397042e-08
Position 125: 5.326528959849996e-08
Position 337: 4.8819657099524766e-08
Position 274: 4.727080934511902e-08
Position 263: 3.1610825365774236e-08
Position 553: 2.5139014434556372e-08
Position 140: 1.085127432240285e-08
Position 242: 1.0786981080378599e-08
Position 292: 7.605476886284777e-09
Position 100: 4.623207031208777e-09
Position 155: 9.465435761800631e-10
Position 146: 4.024079859635974e-10
Position 137: 3.462958901486828e-10
