Gene = Syx8
index = 1536
Annotated 5SS: [617]
Annotated 3SS: [669]
SMsplice 5SS: [617]
SMsplice 3SS: [669]
top_k =  1000
Partition function (log Z): -5.7823395113627285

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.943031564398597
Position 601: 0.045715912072846816
Position 621: 0.00926169410838293
Position 151: 0.0025388172821080614
Position 544: 0.0012060314792244258
Position 375: 0.0011212568876359014
Position 195: 0.0007453101816337688
Position 265: 0.0005209337738855058
Position 797: 0.00034115558001562466
Position 747: 0.00011570621261806902
Position 449: 0.00011166186549859384
Position 14: 7.294748899437902e-05
Position 849: 6.695372926701705e-05
Position 386: 6.681221616088445e-05
Position 8: 4.30972149969393e-05
Position 114: 2.8625756246989677e-05
Position 852: 2.2406798212285787e-05
Position 268: 1.8586117953057438e-05
Position 819: 1.6462755214355563e-05
Position 763: 1.0337250510723469e-05
Position 484: 6.650429540684645e-06
Position 715: 5.432166385711603e-06
Position 35: 4.611141583659485e-06
Position 825: 3.87160647955457e-06
Position 886: 2.8931217221677825e-06
Position 666: 2.845823037165965e-06
Position 416: 1.5593909085929522e-06
Position 88: 1.0044893517772437e-06
Position 783: 9.283025772006712e-07
Position 816: 7.157221579275896e-07
Position 879: 6.547455989074562e-07
Position 199: 6.43344687204119e-07
Position 703: 2.568950282277399e-07
Position 801: 2.1542320725840462e-07
Position 813: 1.6137874937688603e-07
Position 561: 1.062903820255935e-07
Position 894: 9.785433494661777e-08
Position 717: 7.088106364088777e-08
Position 400: 4.283081788115678e-08
Position 38: 4.160691243877488e-08
Position 631: 1.3203149670200134e-08
Position 705: 1.4422246240363017e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 669: 0.9985301609092337
Position 429: 0.002828146056642484
Position 746: 0.0012204510271712715
Position 215: 0.0010681291076052415
Position 849: 0.0003250555805872629
Position 435: 0.0002364169899851997
Position 905: 0.0002110365748056077
Position 65: 0.00011074961882224846
Position 566: 8.999350372805051e-05
Position 354: 8.475688146852594e-05
Position 722: 6.109102181376815e-05
Position 830: 5.697139341531898e-05
Position 264: 5.593001760314166e-05
Position 501: 2.7384066929250605e-05
Position 792: 2.7365652234873454e-05
Position 935: 2.4597105983939722e-05
Position 734: 1.9251051283679366e-05
Position 938: 1.2616781550182355e-05
Position 528: 1.0598849529707563e-05
Position 341: 9.84799787701107e-06
Position 588: 7.986435359437807e-06
Position 507: 6.9506806456471215e-06
Position 212: 5.8296806590937146e-06
Position 763: 5.346672009872035e-06
Position 255: 5.118805900438395e-06
Position 489: 4.9829939164544975e-06
Position 455: 4.947388074200555e-06
Position 222: 4.3966801707834585e-06
Position 165: 4.120719159463539e-06
Position 553: 3.838794193670385e-06
Position 232: 3.826173977668327e-06
Position 237: 3.3868500226799073e-06
Position 71: 2.5098279807200267e-06
Position 448: 2.403171789344537e-06
Position 74: 2.306450267136946e-06
Position 389: 1.957161363947631e-06
Position 570: 1.841996568589304e-06
Position 525: 1.788885642534967e-06
Position 386: 1.1958481030037294e-06
Position 171: 1.071135719597197e-06
Position 631: 7.809833350160493e-07
Position 375: 4.40487998402106e-07
Position 498: 3.6296783730265886e-07
Position 294: 3.2494073954043103e-07
Position 246: 2.360243486979149e-07
Position 174: 1.5959487610284591e-07
Position 312: 1.223521807774287e-07
Position 513: 9.043011291212182e-08
Position 612: 8.733837065190017e-08
Position 195: 2.6230213863626434e-08
Position 144: 2.269705262364488e-08
Position 114: 2.1189479523277327e-08
Position 321: 1.8230854757317503e-08
Position 234: 1.6212579012785776e-08
Position 363: 6.808252360081229e-09
Position 543: 6.636624650337173e-09
Position 600: 4.1382381711088065e-09
Position 306: 2.9737018445370055e-09
Position 120: 1.6306256148328837e-09
Position 372: 1.124518494533603e-09
Position 535: 7.499295824311368e-10
Position 309: 5.069829769088801e-10
Position 185: 1.7715667619402512e-10
Position 76: 1.583791120249209e-10
Position 606: 8.290720403497089e-11
Position 299: 5.2808719666371506e-11
Position 191: 2.46255357099765e-15
Position 129: 1.812826619124554e-15
