Gene = grnd
index = 1719
Annotated 5SS: [ 786 1518]
Annotated 3SS: [1208 1599]
SMsplice 5SS: [ 786 1518]
SMsplice 3SS: [1208 1599]
top_k =  1000
Partition function (log Z): -3.967898557014756

Sorted 5' Splice Sites (High to Low Probability):
Position 1518: 0.9774891311411714
Position 844: 0.369328839022345
Position 961: 0.1042659420579257
Position 346: 0.0832737614166098
Position 519: 0.08121557790795829
Position 96: 0.07427143960342847
Position 790: 0.04882324164410849
Position 645: 0.03556227302056496
Position 922: 0.029224692284174247
Position 1792: 0.024805518909527466
Position 873: 0.022211435725949583
Position 380: 0.02211925210310514
Position 1524: 0.019301112249751846
Position 89: 0.017918054058718803
Position 728: 0.01713930746151648
Position 34: 0.014830902375467584
Position 983: 0.012735249364998561
Position 2010: 0.01186381778892244
Position 460: 0.011743343230006793
Position 1872: 0.010982466363273758
Position 623: 0.010220915517978704
Position 1136: 0.008307738783649762
Position 1728: 0.008076450596657172
Position 240: 0.006366812844655472
Position 106: 0.006286843267344773
Position 350: 0.005075094185287129
Position 7: 0.0048709941227532815
Position 780: 0.004399599298107893
Position 1130: 0.004375697772428129
Position 371: 0.004128396748420999
Position 895: 0.003994177028100195
Position 66: 0.003643738648418576
Position 1857: 0.0033944195488480756
Position 766: 0.003244708828930686
Position 138: 0.003133412233943505
Position 1109: 0.002877756582889146
Position 38: 0.0027102928169809282
Position 867: 0.0026396526474629276
Position 443: 0.002560529365184818
Position 1638: 0.0023241355854596974
Position 2472: 0.0023153314034381704
Position 1887: 0.002190622451815926
Position 378: 0.0020512188678121434
Position 1138: 0.0020061427004365584
Position 354: 0.0019906538413328435
Position 282: 0.0015766542784552368
Position 52: 0.001177903048454282
Position 195: 0.00099106828267976
Position 446: 0.0009181203362157278
Position 557: 0.000859411630061106
Position 1041: 0.0008257563150632429
Position 856: 0.0008098853800758605
Position 565: 0.0007352807426507901
Position 136: 0.0006690891373546001
Position 1838: 0.0006557006683471445
Position 760: 0.0006393681157007939
Position 553: 0.0005531715050386958
Position 205: 0.0005258065186426096
Position 909: 0.0005049553635671016
Position 1725: 0.00047016444615813406
Position 1544: 0.00042356686020371474
Position 1683: 0.00042204892276980133
Position 2024: 0.000327287689410672
Position 45: 0.00031446412176449457
Position 292: 0.0002986448974081866
Position 1737: 0.00028871036713530297
Position 1052: 0.0002820977703372044
Position 2121: 0.00025139494682585676
Position 1061: 0.0002505156524579295
Position 612: 0.0002324462026988721
Position 677: 0.00020799563305862285
Position 1377: 0.00020096183791951517
Position 1118: 0.00019592960098239383
Position 402: 0.00016561885806335637
Position 452: 0.00014940465008114165
Position 1770: 0.00011495647140922554
Position 1058: 0.00010265725349557379
Position 1946: 0.0001011131969483117
Position 944: 8.844956059932016e-05
Position 2340: 8.034153337276789e-05
Position 197: 6.510487498503205e-05
Position 1321: 6.0008058484015975e-05
Position 1354: 5.0672336747877384e-05
Position 3: 5.006808281570609e-05
Position 360: 4.146410434085479e-05
Position 2510: 4.0239115200782126e-05
Position 2355: 3.9353092508834646e-05
Position 2193: 3.832618046407367e-05
Position 591: 3.793665416187807e-05
Position 1666: 3.480358000175669e-05
Position 1522: 3.418993844741398e-05
Position 1921: 3.305246708514574e-05
Position 718: 2.251589029752096e-05
Position 1538: 1.5160484994881775e-05
Position 601: 1.4352980732462752e-05
Position 2476: 1.3829471933036386e-05
Position 570: 1.3652803611222667e-05
Position 264: 1.2171814355645596e-05
Position 1173: 1.1157383306349087e-05
Position 2448: 1.1034976903900889e-05
Position 596: 9.036871196491426e-06
Position 2397: 8.782840506603409e-06
Position 669: 8.267228335895245e-06
Position 1956: 7.257876280244668e-06
Position 2452: 7.257343841759556e-06
Position 1509: 6.8878714704245175e-06
Position 1820: 6.8374612576444165e-06
Position 2362: 5.977443856405199e-06
Position 170: 5.0715134018169365e-06
Position 2258: 4.128325509613848e-06
Position 2186: 3.82637374003311e-06
Position 172: 3.52985412708451e-06
Position 614: 2.9521641216853387e-06
Position 2159: 2.758535594312894e-06
Position 2415: 2.5997325622501708e-06
Position 2504: 1.0384485495009837e-06
Position 2478: 1.006647969427196e-06
Position 2142: 5.83240558597986e-07
Position 1612: 9.420291222282927e-08
Position 1620: 4.756659582676596e-08
Position 1600: 2.2007725315458177e-08
Position 1511: 1.7175010200524012e-08
Position 1568: 1.2754254549366236e-08
Position 1617: 9.911315358043955e-09
Position 711: 6.159258391995527e-09
Position 1327: 1.8497417876974263e-09
Position 1983: 1.4278879051226268e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1599: 0.9711324056206542
Position 1208: 0.8374887605765486
Position 909: 0.12497110829814378
Position 1945: 0.05214267703894775
Position 1327: 0.023746380885753857
Position 2066: 0.021882245986731337
Position 842: 0.014486414409528239
Position 1039: 0.011335962468013982
Position 1924: 0.010608133155373048
Position 150: 0.007171186702469246
Position 626: 0.004029703687528249
Position 188: 0.0033683661690615883
Position 2590: 0.003156846187067999
Position 170: 0.003101659359942277
Position 480: 0.0025682477530513384
Position 1666: 0.0024280903201260545
Position 561: 0.002015055966274043
Position 2164: 0.0018024341149545354
Position 1346: 0.0014359390319368867
Position 298: 0.0014152733668584873
Position 519: 0.0012685941607991338
Position 1447: 0.0011198123302549833
Position 1872: 0.0008226937344122152
Position 1363: 0.0006995791808914429
Position 2553: 0.000684200245219618
Position 2029: 0.00038549443456697296
Position 1267: 0.00037067943500642574
Position 2181: 0.000345219851836487
Position 1235: 0.0003405975220001423
Position 1366: 0.00033411095045221334
Position 1782: 0.00032834647130279413
Position 1019: 0.0002783619711174008
Position 1857: 0.000224862051037355
Position 823: 0.0002133154104445067
Position 612: 0.00018462827632796512
Position 813: 0.00018136164194167676
Position 1820: 0.0001715174387904683
Position 775: 0.00016857137761947476
Position 1047: 9.021704298276285e-05
Position 1176: 8.521301341746969e-05
Position 2391: 8.490236219917204e-05
Position 528: 7.22185507719094e-05
Position 1173: 6.690628858850165e-05
Position 1058: 6.088431418954013e-05
Position 1255: 5.206045991287667e-05
Position 2566: 5.106186842033364e-05
Position 317: 4.709310670549102e-05
Position 1758: 3.889591895115511e-05
Position 1390: 3.883067116754818e-05
Position 436: 3.659748269370742e-05
Position 2362: 3.0510295193803593e-05
Position 1718: 2.7544876508997848e-05
Position 255: 2.7088018386129162e-05
Position 1755: 2.7059132556997943e-05
Position 1880: 2.4882432299261326e-05
Position 327: 2.4735381116666078e-05
Position 1476: 1.930086013640474e-05
Position 2126: 1.7046003660431668e-05
Position 1071: 1.6726735903322487e-05
Position 872: 1.4171458813879801e-05
Position 1216: 1.0862005615925097e-05
Position 452: 8.842354991428925e-06
Position 1264: 8.640632740562231e-06
Position 2467: 7.4111267707142914e-06
Position 648: 7.098960634852456e-06
Position 2397: 4.874320843409206e-06
Position 918: 4.231281514721715e-06
Position 1240: 3.903950817260376e-06
Position 324: 3.192154376487577e-06
Position 971: 2.160316061314625e-06
Position 570: 2.027753097251237e-06
Position 443: 1.801952120806756e-06
Position 565: 4.374758960780232e-07
Position 785: 4.0317351340760275e-07
Position 96: 2.0744281167988978e-08
Position 210: 1.958122526470356e-08
Position 346: 1.625054956347492e-08
Position 343: 6.591617645591443e-09
Position 354: 2.480384698041374e-09
Position 104: 1.5839056002272848e-09
Position 358: 1.3632193894117558e-09
Position 350: 1.0859905074500684e-09
Position 331: 3.570577475220244e-11
Position 489: 1.3694304410666625e-11
Position 45: 9.520007038127949e-16
