Gene = PDCD-5
index = 1353
Annotated 5SS: [199 565]
Annotated 3SS: [449 621]
SMsplice 5SS: [199 565]
SMsplice 3SS: [449 621]
top_k =  1000
Partition function (log Z): -0.1960532842625353

Sorted 5' Splice Sites (High to Low Probability):
Position 199: 0.9920662610516441
Position 565: 0.9806474411315736
Position 702: 0.12817384272287927
Position 332: 0.0028024477844070706
Position 56: 0.0016752714025525
Position 203: 0.0007551930727222432
Position 15: 0.0005514933190602165
Position 341: 0.0004217102429986298
Position 569: 0.0002670324711120338
Position 879: 9.860864322954951e-05
Position 216: 7.763432091349171e-05
Position 395: 7.480607885041184e-05
Position 537: 5.971877237479624e-05
Position 311: 4.356242595239952e-05
Position 260: 3.29985754037698e-05
Position 146: 2.4944128291516825e-05
Position 697: 2.3223340551026894e-05
Position 23: 2.0354012812583922e-05
Position 728: 1.1509855736377449e-05
Position 370: 7.998353570505751e-06
Position 189: 1.7213231432361675e-06
Position 849: 1.3238248310304639e-06
Position 706: 1.2769469724967064e-06
Position 177: 9.496271480666123e-07
Position 636: 8.345229058493836e-07
Position 138: 6.762668540300902e-07
Position 662: 6.038671752893626e-07
Position 345: 4.7498425636626934e-07
Position 750: 3.841290027968791e-07
Position 675: 2.7195154578773947e-07
Position 621: 5.75882285638135e-08
Position 732: 5.574430420796384e-08
Position 776: 2.7197286921987876e-08
Position 783: 2.0223928761806947e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.9858528430114639
Position 621: 0.9515271471845012
Position 761: 0.08198651547173147
Position 770: 0.04618036496075871
Position 636: 0.024617872858918078
Position 354: 0.005989946558144407
Position 640: 0.003482470475012294
Position 406: 0.0027858188968698802
Position 345: 0.0017158808003613138
Position 127: 0.0008856489609333344
Position 260: 0.0003951918939920558
Position 692: 0.0003419579581834489
Position 951: 0.0003393889619641938
Position 701: 0.00028252761247463034
Position 748: 0.0002738961734080647
Position 72: 0.00022915171861634552
Position 326: 0.0001580664537083717
Position 644: 0.00015714370932311868
Position 75: 0.00015517653823936026
Position 728: 0.00013578655328456965
Position 316: 0.0001345554149421064
Position 134: 2.9755433094195336e-05
Position 494: 2.8197155452217066e-05
Position 879: 2.4049450206488527e-05
Position 939: 2.3805460036912464e-05
Position 817: 1.585136584655082e-05
Position 595: 1.5628330203177223e-05
Position 171: 1.53974286706145e-05
Position 488: 1.43637028670899e-05
Position 653: 1.0927105643316276e-05
Position 776: 6.736399678674163e-06
Position 244: 5.186058983183882e-06
Position 491: 4.273658294357644e-06
Position 668: 3.889898325913158e-06
Position 772: 3.344594865660005e-06
Position 287: 2.783960546041849e-06
Position 146: 2.7273972003382837e-06
Position 279: 2.1739839258462133e-06
Position 84: 1.737164129063295e-06
Position 370: 1.3144807511955348e-06
Position 473: 1.2563476833236282e-06
Position 485: 1.2079339477919694e-06
Position 537: 8.370497905411674e-07
Position 736: 6.963837068676118e-07
Position 189: 6.173938841300291e-07
Position 480: 3.302660423374401e-07
Position 506: 1.2617710087210697e-07
Position 650: 5.22654313773709e-08
Position 830: 4.552972355855982e-08
Position 246: 2.6493182801529056e-08
Position 548: 1.758327066278381e-08
Position 578: 8.966193276122384e-09
Position 551: 5.755334861387862e-09
Position 509: 2.0064723300747377e-09
Position 518: 1.6617853644969834e-09
Position 121: 1.2942856200369458e-09
Position 234: 1.169289952816236e-09
Position 203: 3.9922171295222897e-10
Position 216: 3.032355125149267e-11
Position 556: 1.997916922488668e-12
