Gene = Rh50
index = 1421
Annotated 5SS: [ 495 2473 3252 3589 7280 8147 8322 8494]
Annotated 3SS: [2303 3085 3326 7088 7951 8227 8390 8732]
SMsplice 5SS: [ 495 2473 3252 3589 7280 8147 8322]
SMsplice 3SS: [2303 3085 3326 7088 7951 8227 8390]
top_k =  1000
Partition function (log Z): 16.11943586805514

Sorted 5' Splice Sites (High to Low Probability):
Position 3252: 0.9916396479611859
Position 8322: 0.9808313240163612
Position 3589: 0.9782102538148167
Position 2473: 0.9338421289276524
Position 495: 0.8962906129066559
Position 7280: 0.7735100404056129
Position 8147: 0.6327412325830251
Position 3859: 0.372725020683469
Position 8178: 0.34455888827362074
Position 4383: 0.0968355354454801
Position 2111: 0.0671439358005512
Position 583: 0.060834788913041817
Position 1622: 0.05921784284502744
Position 8494: 0.057623301101873345
Position 7594: 0.05553813027781263
Position 4352: 0.022745809353767462
Position 1344: 0.022181489727707428
Position 207: 0.02172526843764936
Position 8501: 0.02155122664389456
Position 1851: 0.020854086513633813
Position 8772: 0.014018582051253918
Position 2716: 0.013478965343491477
Position 1022: 0.01192942038545564
Position 2091: 0.010862064323648475
Position 8307: 0.009409032490729984
Position 8310: 0.008880455197775599
Position 8111: 0.008653637096793395
Position 2101: 0.0073109658328515395
Position 2995: 0.0072299433119981955
Position 8510: 0.0069100867827099855
Position 1581: 0.005946115890992958
Position 4151: 0.005630780602965757
Position 2748: 0.005160771071955197
Position 2728: 0.004754795048672995
Position 3256: 0.004740292739065078
Position 1936: 0.004608653167171128
Position 6784: 0.004177882500633065
Position 1673: 0.004158334140293699
Position 6553: 0.004106303261162452
Position 2759: 0.00391885809710542
Position 2199: 0.0030138486451861397
Position 8542: 0.002997659702860588
Position 3491: 0.0026855425813395485
Position 83: 0.00255144304406281
Position 8151: 0.0023688466850673977
Position 8525: 0.002271592960033113
Position 37: 0.002119313825313432
Position 3993: 0.002087761284191541
Position 3863: 0.002042546352763489
Position 2142: 0.001946005232127582
Position 1301: 0.0019233243656463824
Position 43: 0.001664831365492496
Position 8499: 0.001478708340373309
Position 1049: 0.0014172497107037257
Position 1587: 0.0013404999916407597
Position 410: 0.0012979062319343378
Position 4145: 0.0012539897329102237
Position 7759: 0.0011412970290393032
Position 662: 0.0010999141430178452
Position 9281: 0.0010792269402360548
Position 2934: 0.0010748607654400065
Position 6944: 0.0009769086684064965
Position 7748: 0.000869616218173678
Position 8344: 0.0008209296494827087
Position 3250: 0.0007565692991522611
Position 2321: 0.0007503116813370342
Position 499: 0.0007058222712583283
Position 1613: 0.0005609450562736214
Position 3261: 0.0005437430256500122
Position 3204: 0.0005013326964439653
Position 2085: 0.0004987479440081819
Position 1168: 0.00045146687585248334
Position 3769: 0.00035361808930416496
Position 75: 0.00033101399845557886
Position 4579: 0.00029881260207151994
Position 8658: 0.0002850435748405307
Position 7602: 0.0002709653878503189
Position 984: 0.0002574478967560369
Position 8504: 0.0002546814980261628
Position 1967: 0.0002464880079715012
Position 8549: 0.00019499661075962236
Position 1068: 0.0001857924986124912
Position 85: 0.00017038529596704084
Position 8609: 0.00012951193267209988
Position 3227: 0.0001238117657762093
Position 1485: 0.0001218287483332036
Position 3245: 0.00011879881660419308
Position 225: 0.00011535371555918304
Position 783: 0.00010350652805732113
Position 1074: 8.707254003221507e-05
Position 2368: 8.601562594703216e-05
Position 598: 8.594764493354527e-05
Position 846: 8.441645268710395e-05
Position 8869: 8.10290576969037e-05
Position 1203: 7.662812409225726e-05
Position 4132: 7.6435218436644e-05
Position 997: 7.592158015403479e-05
Position 8465: 6.963466137094116e-05
Position 230: 6.755445180374574e-05
Position 6767: 5.791426717631923e-05
Position 1447: 5.435147056538835e-05
Position 2698: 5.032625719570251e-05
Position 3259: 4.991333415498856e-05
Position 3741: 4.8587642308809826e-05
Position 8898: 4.40875343937847e-05
Position 1435: 3.875879700358309e-05
Position 2414: 3.7850972124365935e-05
Position 4221: 3.5737136394741964e-05
Position 8182: 3.32009296125659e-05
Position 4094: 3.212240496030718e-05
Position 97: 3.197533455811016e-05
Position 6: 3.0863943996353416e-05
Position 760: 2.86487414269451e-05
Position 3997: 2.7599059266425973e-05
Position 4212: 2.5996177729128903e-05
Position 3910: 2.438260446929494e-05
Position 1339: 2.2979215128809553e-05
Position 3897: 2.1860950468462406e-05
Position 3497: 2.1797126229526965e-05
Position 3191: 2.174630498753998e-05
Position 8184: 2.1076221980654865e-05
Position 8066: 1.938109070434897e-05
Position 3905: 1.8876636936159458e-05
Position 995: 1.5554500655826167e-05
Position 406: 1.4032114012113854e-05
Position 479: 1.3788832701707757e-05
Position 842: 1.301469583083439e-05
Position 1546: 1.2615416697520775e-05
Position 3243: 1.1730087468635216e-05
Position 3869: 1.0513788490664553e-05
Position 646: 1.0116795413369165e-05
Position 4116: 9.804001157196082e-06
Position 1535: 9.666905802712474e-06
Position 1714: 9.3434884940337e-06
Position 392: 7.749762487644079e-06
Position 1462: 7.646993244020992e-06
Position 4041: 6.106517721286228e-06
Position 6008: 5.786389997559494e-06
Position 4801: 5.3890112900172995e-06
Position 3781: 5.0938340170428974e-06
Position 3598: 4.663597161055211e-06
Position 3754: 4.64300590469355e-06
Position 374: 4.464154724277161e-06
Position 9704: 3.7822569504319763e-06
Position 175: 3.3783686566739946e-06
Position 3623: 3.1213975018193477e-06
Position 3455: 3.023507317099642e-06
Position 4321: 2.8331958286727216e-06
Position 169: 2.7704739037021195e-06
Position 3195: 2.282575473415691e-06
Position 608: 1.8041657251886132e-06
Position 4176: 1.779678664193329e-06
Position 185: 1.450401062370779e-06
Position 3495: 1.3869013184420872e-06
Position 3593: 1.1296343803797805e-06
Position 17: 1.1022340586597867e-06
Position 691: 7.384940491805974e-07
Position 359: 6.282489464840709e-07
Position 1147: 5.73926524089181e-07
Position 286: 4.761431769760629e-07
Position 821: 3.89973514035889e-07
Position 513: 3.7591058165181094e-07
Position 1162: 2.6302104031160806e-07
