Gene = ICA69
index = 1217
Annotated 5SS: [ 933 1242]
Annotated 3SS: [1001 1302]
SMsplice 5SS: [ 933 1242]
SMsplice 3SS: [1001 1302]
top_k =  1000
Partition function (log Z): -0.9699149339047521

Sorted 5' Splice Sites (High to Low Probability):
Position 933: 0.9832038577590398
Position 1242: 0.9611951949515127
Position 15: 0.050205094859075886
Position 1139: 0.019686546712948973
Position 1229: 0.010010789008897724
Position 907: 0.00793921013598415
Position 474: 0.0028156795150664107
Position 50: 0.0021621912516974666
Position 95: 0.0019336468023395843
Position 879: 0.0014028301408522458
Position 671: 0.0010534189979861156
Position 1212: 0.0008027190543885814
Position 1226: 0.0007412864172233622
Position 619: 0.0007375283169160085
Position 847: 0.0006377639870462422
Position 210: 0.0005209542353724857
Position 1194: 0.00047284569466176605
Position 396: 0.00042793889969206726
Position 857: 0.00028941875221917367
Position 1367: 0.0001891127335659786
Position 24: 0.0001695075095661296
Position 303: 0.00012438312865827692
Position 565: 0.00011410955315020194
Position 1150: 8.771492645265836e-05
Position 578: 6.936389335106919e-05
Position 885: 6.395431708964173e-05
Position 1436: 5.6122969254078225e-05
Position 563: 4.7992271978101916e-05
Position 366: 4.678398938375069e-05
Position 809: 4.3968770273781157e-05
Position 399: 4.330292082733546e-05
Position 317: 3.992596358002712e-05
Position 1574: 3.95896391296694e-05
Position 1067: 3.795450012739923e-05
Position 476: 3.7745281365804637e-05
Position 956: 3.0014079016488967e-05
Position 1152: 2.976378991689963e-05
Position 645: 2.91048691306622e-05
Position 359: 2.284506925967488e-05
Position 681: 2.053001326900019e-05
Position 169: 1.4265009414750675e-05
Position 1034: 1.3135210033443647e-05
Position 200: 9.875195859582795e-06
Position 300: 8.429347945385244e-06
Position 1347: 8.14858652197636e-06
Position 675: 7.791908932317472e-06
Position 1568: 7.781882790589463e-06
Position 708: 7.419538908080527e-06
Position 1050: 5.4460727213624444e-06
Position 569: 5.13213039199084e-06
Position 1546: 4.2546419466727544e-06
Position 171: 3.5859915678713738e-06
Position 1166: 2.5561552461278637e-06
Position 1588: 1.5400380108413177e-06
Position 1059: 1.2994698444149346e-06
Position 1509: 1.2708534171067025e-06
Position 509: 8.567467079972307e-07
Position 716: 8.027559890114082e-07
Position 622: 5.235470426642855e-07
Position 714: 5.191788170916409e-07
Position 1500: 2.050000473410175e-07
Position 567: 8.9484178906905e-08
Position 377: 5.3876910804868366e-08
Position 551: 6.479187988078035e-09
Position 1697: 6.022644168719053e-09
Position 1308: 4.691255522253428e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1001: 0.9959199225144202
Position 1302: 0.9856651019908561
Position 135: 0.03226871781625936
Position 161: 0.01339908474166513
Position 1188: 0.0074267824558669785
Position 533: 0.002779231521402692
Position 1017: 0.0016453729028931344
Position 395: 0.0014831557280790774
Position 200: 0.0014172703336448075
Position 320: 0.0011399286519778616
Position 300: 0.0006555274308850127
Position 1308: 0.0005634169017876017
Position 557: 0.0004072322640905747
Position 258: 0.0003206770149005968
Position 1014: 0.0003072671620911175
Position 665: 0.0003041057871573867
Position 455: 0.00025809822190215324
Position 560: 0.00017136399830523365
Position 169: 0.00017079062552679072
Position 1425: 0.00013524814863115166
Position 229: 0.00011172689445787457
Position 749: 0.00010715150929523723
Position 1514: 8.601462442820252e-05
Position 577: 8.349936475804019e-05
Position 929: 8.32557964108933e-05
Position 58: 7.364270226126299e-05
Position 701: 6.476849872207693e-05
Position 872: 6.370726248147405e-05
Position 737: 6.35617404144642e-05
Position 809: 5.512389741283022e-05
Position 404: 5.231593988033201e-05
Position 1654: 4.6992340524057526e-05
Position 499: 4.603151868703201e-05
Position 1133: 3.24267810260869e-05
Position 359: 2.7068857389285704e-05
Position 1521: 2.3349743175860935e-05
Position 1314: 2.1435356740223795e-05
Position 1106: 2.042411683208195e-05
Position 1160: 1.9993719548870804e-05
Position 1484: 1.6873243439723094e-05
Position 1737: 1.6464027877704926e-05
Position 758: 1.5185007929591873e-05
Position 1422: 1.292438588902842e-05
Position 773: 1.197963423270297e-05
Position 371: 1.1092409576377281e-05
Position 1088: 7.607893468018158e-06
Position 210: 6.813808646160717e-06
Position 563: 5.426809577258066e-06
Position 377: 5.080418783864559e-06
Position 536: 5.041161559605083e-06
Position 590: 4.001453545028412e-06
Position 1258: 3.9133691528406815e-06
Position 1139: 3.57251723222271e-06
Position 1085: 3.1192430333548546e-06
Position 817: 2.9133412627932376e-06
Position 1118: 2.9100283692211374e-06
Position 237: 2.6600374485651957e-06
Position 365: 2.5891156051876607e-06
Position 1605: 2.3070382780606787e-06
Position 641: 2.1325197353781668e-06
Position 1563: 2.025805074431921e-06
Position 587: 1.6332991040140057e-06
Position 1666: 1.2870890512814173e-06
Position 1190: 1.2320535200513876e-06
Position 467: 1.0916272281078169e-06
Position 770: 1.0544155194268795e-06
Position 422: 9.95055266051705e-07
Position 1518: 9.605318744920588e-07
Position 1073: 8.833194802982773e-07
Position 1595: 8.631248019518235e-07
Position 1546: 8.335897316841157e-07
Position 431: 8.289090650559728e-07
Position 1494: 8.066523762418448e-07
Position 1320: 7.854480848893723e-07
Position 1344: 7.371354729135971e-07
Position 893: 7.00322879154609e-07
Position 845: 6.694276126638116e-07
Position 1549: 5.468497828582954e-07
Position 746: 5.306564839598919e-07
Position 1332: 4.783380505479753e-07
Position 622: 4.22251119845804e-07
Position 1179: 4.040798703282888e-07
Position 410: 3.547576223440997e-07
Position 1272: 3.3433492931596647e-07
Position 1209: 3.0410466152321124e-07
Position 667: 3.0214417023454905e-07
Position 1194: 2.949305147852454e-07
Position 1447: 2.252477780381749e-07
Position 1431: 2.1515208432414165e-07
Position 1697: 1.4208480098648997e-07
Position 1541: 1.3157312716233807e-07
Position 1527: 4.811305071409769e-08
Position 1573: 4.704595833006521e-08
Position 1260: 3.4416477227855514e-08
Position 1775: 3.066661356790482e-08
Position 1436: 2.4232875843389166e-08
Position 1347: 1.1552437786545519e-08
Position 1367: 1.1369684453721055e-08
Position 1568: 9.221085324646901e-09
Position 1710: 8.462784017509794e-09
Position 1220: 6.7874993986530615e-09
Position 425: 2.857474112347893e-10
Position 473: 3.11960982962145e-14
