Gene = mus312
index = 1808
Annotated 5SS: [ 232  506 1108 2100 2205]
Annotated 3SS: [ 296  583 1166 2159 2260]
SMsplice 5SS: [ 232  506 1108 2100 2205]
SMsplice 3SS: [ 296  583 1166 2159 2260]
top_k =  1000
Partition function (log Z): 6.501072545229054

Sorted 5' Splice Sites (High to Low Probability):
Position 1108: 0.9993654372305026
Position 506: 0.9873687699538568
Position 232: 0.9748955382947307
Position 2100: 0.9481051098422076
Position 2205: 0.9414343992819438
Position 2422: 0.40632316057662454
Position 1407: 0.02167447061770644
Position 2308: 0.01840786866018274
Position 3676: 0.009461341019194052
Position 65: 0.007220477941420892
Position 3017: 0.00719622221013929
Position 2662: 0.006497035113474057
Position 4158: 0.0063617671395114145
Position 3552: 0.005493253150797527
Position 35: 0.0052257970246639245
Position 4171: 0.005123738947131143
Position 1624: 0.00494401416146573
Position 1487: 0.004316507949625669
Position 1212: 0.003931852412235315
Position 1658: 0.0030400790228951404
Position 2457: 0.0026304431275881025
Position 1928: 0.0018124924490047567
Position 2467: 0.0017457172378251993
Position 2074: 0.001406562414508253
Position 1645: 0.0012813475883981878
Position 2869: 0.001263116175605697
Position 3972: 0.0011401272293789333
Position 2448: 0.0009047578471775068
Position 3478: 0.000861458595721651
Position 2209: 0.0008505986476841065
Position 255: 0.0007747633532074778
Position 2223: 0.0006771790486468125
Position 2390: 0.0006207730624084899
Position 1560: 0.0005838695086752604
Position 3451: 0.00040613654878396817
Position 2693: 0.00039886287477323474
Position 4187: 0.00026887022995613925
Position 4123: 0.0002599223047602176
Position 2374: 0.00025830388800684724
Position 1225: 0.00025065405179179503
Position 1761: 0.000209313442816465
Position 45: 0.00020905746510090006
Position 1632: 0.0002001167483905182
Position 2624: 0.00017656158057909974
Position 811: 0.00016071777892031708
Position 72: 0.00013793881569188583
Position 1982: 0.0001276436191561618
Position 1134: 0.00010249904382600468
Position 3697: 9.550686075825385e-05
Position 1721: 9.194783337048664e-05
Position 1370: 8.371437211830773e-05
Position 3724: 8.026182319665637e-05
Position 1469: 8.017834512602469e-05
Position 263: 7.626242896750054e-05
Position 1961: 7.10502126254909e-05
Position 1079: 6.757155027307153e-05
Position 3344: 6.697570991371804e-05
Position 1237: 6.541947682590885e-05
Position 3964: 6.059665999727414e-05
Position 806: 5.7468945533258636e-05
Position 2298: 5.3242814985403954e-05
Position 1350: 4.0766985203948244e-05
Position 1994: 3.9422894690356404e-05
Position 1794: 3.697947797716557e-05
Position 1017: 3.556753810467649e-05
Position 1691: 3.197496957738297e-05
Position 853: 3.112579848555279e-05
Position 169: 3.0078536305435427e-05
Position 2081: 2.9231252568219836e-05
Position 663: 2.5198536125048478e-05
Position 973: 2.073206695098258e-05
