Gene = eIF3i
index = 1685
Annotated 5SS: [ 85 752]
Annotated 3SS: [261 806]
SMsplice 5SS: [ 85 752]
SMsplice 3SS: [261 806]
top_k =  1000
Partition function (log Z): -2.5097682335218976

Sorted 5' Splice Sites (High to Low Probability):
Position 752: 0.9961707322232781
Position 85: 0.5238514425217955
Position 452: 0.06647955918911852
Position 171: 0.05494665390987345
Position 179: 0.012024190108980473
Position 131: 0.010134933365293744
Position 473: 0.008875455910857073
Position 173: 0.006448357782835233
Position 184: 0.00289062489363102
Position 504: 0.002569386711017522
Position 1082: 0.002514537567327555
Position 1111: 0.00198732250148613
Position 96: 0.0018752934454854498
Position 15: 0.001869987290810336
Position 182: 0.0014347085784300884
Position 544: 0.0009784969636817487
Position 843: 0.0009537588000401608
Position 416: 0.0008623485614621469
Position 111: 0.0008568386123315359
Position 1244: 0.0007960600543173404
Position 925: 0.0003936415722387198
Position 857: 0.0003815173277154432
Position 961: 0.00026787950732740567
Position 756: 0.0002647285290985774
Position 1013: 0.00024279695359032062
Position 31: 0.00023823975249250243
Position 369: 0.00015408079957791626
Position 227: 0.00013600842162670918
Position 514: 0.0001311381754045396
Position 904: 0.00011685761782525189
Position 426: 0.00011451535543505202
Position 421: 8.513013948151253e-05
Position 1266: 7.777107843342613e-05
Position 725: 6.733559106631273e-05
Position 1316: 5.057636700405482e-05
Position 13: 5.044053025179014e-05
Position 364: 3.914604633330932e-05
Position 849: 3.897190490735957e-05
Position 617: 3.6723622843321664e-05
Position 720: 3.266541146977772e-05
Position 25: 3.102525064930335e-05
Position 499: 2.9126325676208168e-05
Position 241: 2.9056778200692987e-05
Position 717: 2.7279619749184698e-05
Position 49: 2.7029538774055543e-05
Position 263: 2.5035392620115137e-05
Position 89: 2.119199444938538e-05
Position 1305: 1.7554275632296902e-05
Position 309: 1.4752513051601127e-05
Position 537: 1.1827247396279202e-05
Position 366: 1.0686312225336122e-05
Position 1291: 8.59951839493098e-06
Position 1294: 8.134983280187465e-06
Position 1308: 8.037818686639558e-06
Position 982: 6.728957253870781e-06
Position 290: 6.721555492303098e-06
Position 1215: 6.556946237529353e-06
Position 624: 6.47870047877801e-06
Position 929: 6.0553552135329435e-06
Position 1239: 5.8171073453431276e-06
Position 1298: 5.552189072055177e-06
Position 1093: 5.495446358779072e-06
Position 18: 4.834154421989088e-06
Position 436: 4.695309569575052e-06
Position 1008: 4.375529036325332e-06
Position 711: 4.32744524693438e-06
Position 1065: 4.134292179073122e-06
Position 973: 2.0042440854895808e-06
Position 860: 1.8280500258396769e-06
Position 34: 1.6940545280869228e-06
Position 1188: 1.5518014286853399e-06
Position 1052: 1.4813770231166077e-06
Position 758: 1.4529438157275936e-06
Position 251: 1.2743523030807448e-06
Position 389: 1.037538948394162e-06
Position 699: 1.0292520232834741e-06
Position 807: 8.600031296502286e-07
Position 407: 3.8510730143599596e-07
Position 267: 2.8275551503026465e-07
Position 637: 1.9806446482671187e-07
Position 1248: 5.536404427976939e-08
Position 797: 3.2385804018233823e-09
Position 657: 1.0262792138461217e-09
Position 660: 7.051997892344003e-10
Position 786: 4.553267798097248e-10
Position 1049: 2.5644939675443377e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 806: 0.996771356986286
Position 261: 0.5762208171985316
Position 537: 0.0420376666971547
Position 140: 0.021545768225409007
Position 669: 0.016543638424627208
Position 579: 0.012983478021001539
Position 279: 0.009134180420787858
Position 1188: 0.005750021057581959
Position 583: 0.0051382096144270886
Position 348: 0.0024560985199314077
Position 309: 0.0020452566288540475
Position 171: 0.0015599230093044823
Position 554: 0.0012875936354532652
Position 904: 0.0010228705111126261
Position 563: 0.0009990152410502345
Position 215: 0.000982234212388318
Position 612: 0.0007296852531067781
Position 856: 0.0006830618443465306
Position 504: 0.0006578884482290326
Position 847: 0.0005445265777843563
Position 1377: 0.0005097085293500347
Position 1308: 0.0003665431257217767
Position 882: 0.0003555437584104237
Position 601: 0.0002517348748881852
Position 414: 0.00013669700232882457
Position 991: 0.00012985300727171758
Position 489: 0.00012379599808723615
Position 1032: 0.00012261334109452352
Position 973: 9.513124641125974e-05
Position 666: 9.347255917939631e-05
Position 1325: 8.97858563200626e-05
Position 1294: 6.064086130616012e-05
Position 614: 5.760566610134513e-05
Position 1305: 4.7947058913841064e-05
Position 354: 3.376170734266555e-05
Position 943: 3.296617986657929e-05
Position 1165: 2.7601028656379365e-05
Position 1013: 2.4767903485768227e-05
Position 1319: 2.3699961434974583e-05
Position 357: 1.594250190653362e-05
Position 1070: 1.503894044576135e-05
Position 1102: 1.446654787225457e-05
Position 1255: 1.354815531314728e-05
Position 1144: 9.569892687013629e-06
Position 321: 9.524267166839318e-06
Position 1316: 9.386595636011174e-06
Position 1147: 8.871065934540983e-06
Position 913: 7.826143524499178e-06
Position 672: 6.313085908029162e-06
Position 179: 3.3448062793364344e-06
Position 1399: 1.7253477319016632e-06
Position 1150: 1.2595920827798453e-06
Position 447: 1.0575644556587093e-06
Position 1213: 6.822230845963094e-07
Position 111: 6.710106960985292e-07
Position 385: 6.623489895475013e-07
Position 288: 5.41186496908366e-08
Position 751: 4.2148530431887977e-10
Position 456: 1.9955975820414632e-11
