Gene = Chro
index = 1070
Annotated 5SS: [ 351 1048 1535 2528 3861]
Annotated 3SS: [ 965 1108 1595 2593 4284]
SMsplice 5SS: [1048 1535 2528 3861]
SMsplice 3SS: [1108 1595 2593 4284]
top_k =  1000
Partition function (log Z): 4.289472793135811

Sorted 5' Splice Sites (High to Low Probability):
Position 1048: 0.9995690737479117
Position 3861: 0.9902410800650854
Position 1535: 0.954356579464165
Position 2528: 0.8091352237778388
Position 351: 0.31878386667220737
Position 1815: 0.2572919263081634
Position 1840: 0.24761732317536322
Position 4098: 0.13322858103691182
Position 243: 0.13004541938095465
Position 3479: 0.12247646920786581
Position 4851: 0.11944046443844138
Position 834: 0.11570095332672613
Position 498: 0.10343560646033881
Position 282: 0.10216003211799787
Position 3449: 0.07026485577558553
Position 704: 0.05098147633959731
Position 75: 0.05002945078429102
Position 4118: 0.044947477876232114
Position 859: 0.039050291711086926
Position 2054: 0.038975482617492986
Position 4184: 0.034916666714825136
Position 4458: 0.028447538548348788
Position 3550: 0.026987307234753132
Position 4742: 0.026025621277895712
Position 448: 0.023195613138676255
Position 3722: 0.020755138600958255
Position 4379: 0.019829463957194784
Position 1608: 0.01566723790968827
Position 470: 0.015655969634104365
Position 2116: 0.014882739218601893
Position 2266: 0.010027195469788325
Position 1348: 0.007950614877026725
Position 2250: 0.007786117792540974
Position 634: 0.007158232735190898
Position 5017: 0.005825948912948286
Position 111: 0.005609672565045669
Position 2858: 0.0050967170616236755
Position 2888: 0.005037043421287599
Position 3002: 0.004951676253032656
Position 4389: 0.004322193038577567
Position 2906: 0.004065856475205114
Position 156: 0.0038588049232861845
Position 4102: 0.0037563292048103155
Position 828: 0.0037051624724679447
Position 303: 0.0028147054855350634
Position 1844: 0.0027944002439805496
Position 1877: 0.00263599870410141
Position 3957: 0.0025872490305960854
Position 1835: 0.0022231867297724324
Position 1519: 0.0019561470021726554
Position 4396: 0.0018121402176801713
Position 2420: 0.0017103123735240893
Position 2451: 0.0015567571701508897
Position 607: 0.0014092003315130095
Position 2642: 0.0011853995018809246
Position 3635: 0.0011136905624357712
Position 1828: 0.0011107296256839564
Position 286: 0.0010562696391548077
Position 4993: 0.001036688450076319
Position 3833: 0.0009779156672848257
Position 875: 0.000955605730147801
Position 253: 0.0008740400468411735
Position 5152: 0.0008293097155310693
Position 590: 0.0007646041996849741
Position 811: 0.000649593501783397
Position 2008: 0.0005656623581294121
Position 3018: 0.0005414037376892478
Position 227: 0.0005291492961420499
Position 1447: 0.0004881510160194463
Position 4795: 0.0004638813207664375
Position 3934: 0.000453690136407957
Position 235: 0.00042065623017632347
Position 3064: 0.0004120431445030777
Position 1468: 0.00040804249856017503
Position 320: 0.0003961123116478542
Position 3836: 0.00039306413081123716
Position 1621: 0.00038705584172509015
Position 677: 0.0003233550857359652
Position 761: 0.00031811206078083664
Position 4045: 0.00031792549285883744
Position 2423: 0.0003047314992024704
Position 543: 0.0002998417769876121
Position 2328: 0.0002955248567425871
Position 4898: 0.00027045493657868564
Position 3029: 0.00026377976039898527
Position 267: 0.00025832626383567224
Position 265: 0.00021991808973260984
Position 355: 0.0002085410433568348
Position 4138: 0.00019788534189704404
Position 79: 0.00018674351557177463
Position 2120: 0.00016763259570618994
Position 4402: 0.0001656789283354879
Position 648: 0.0001484992995374944
Position 1465: 0.00013965897061662255
Position 2491: 0.00011421260760239233
Position 1896: 0.00011328187871446896
Position 1326: 0.00010872489569648509
Position 4053: 0.00010160510874265857
Position 690: 8.943193161494013e-05
Position 1674: 8.526853953990597e-05
Position 4454: 7.396659558228748e-05
Position 1712: 6.548585540324666e-05
Position 341: 6.385894780621961e-05
Position 1569: 6.380729485151117e-05
Position 1918: 6.357417784997746e-05
Position 2813: 6.01687080014859e-05
Position 1144: 5.9182741977239506e-05
Position 1052: 5.6587250776024274e-05
Position 1335: 5.142356333729849e-05
Position 14: 4.53813942593486e-05
Position 2321: 4.448151958370504e-05
Position 576: 4.417108534181394e-05
Position 601: 4.30712507649908e-05
Position 817: 4.233842782754982e-05
Position 365: 4.116331608293708e-05
Position 711: 4.006397199889901e-05
Position 1962: 3.941061687961886e-05
Position 1366: 3.338830101799119e-05
Position 363: 3.2785884151858706e-05
Position 437: 3.139454402594397e-05
Position 1404: 3.101108272358314e-05
Position 638: 2.5716620488830807e-05
Position 1778: 2.5602226412308376e-05
Position 1384: 2.2086777081540125e-05
Position 4518: 2.157414748460114e-05
Position 713: 1.7726691393869693e-05
Position 3985: 1.1750600603605669e-05
Position 650: 1.1369566561687521e-05
Position 619: 8.149265987199904e-06
Position 2726: 7.1468482882011235e-06
Position 1560: 6.58135160714648e-06
Position 1377: 6.529807240648647e-06
Position 2895: 5.7230778567247456e-06
Position 1185: 5.393954939827175e-06
Position 1663: 5.119541740019382e-06
Position 196: 4.726534904984905e-06
Position 2356: 3.908551938120984e-06
Position 1314: 2.8484347701046956e-06
Position 2044: 2.71294427718922e-06
Position 2763: 2.658127960747925e-06
Position 3672: 2.2543744337197754e-06
Position 353: 2.16378723343819e-06
Position 4041: 9.432512881067906e-07
Position 1068: 9.300567555299344e-07
Position 1177: 7.286409466242332e-07
Position 2062: 5.813196704116453e-07
Position 3865: 5.294650964742898e-07
Position 1694: 4.180156924304118e-07
Position 396: 3.9022766615794345e-07
Position 992: 3.3891427297484587e-07
Position 2132: 1.8975631487861526e-07
Position 568: 1.1581161342260073e-07
Position 983: 8.248175411355255e-08
Position 3793: 7.025306446705927e-08
Position 1138: 1.547460362807307e-10
Position 570: 1.3553026895650345e-10
Position 939: 3.0265718864958964e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1108: 0.9987723477592525
Position 2593: 0.9328967955237705
Position 1595: 0.9210578669547901
Position 4284: 0.8197968248112418
Position 1915: 0.42069270437469963
Position 758: 0.3840799268553972
Position 965: 0.21994541930946948
Position 565: 0.20736525306142017
Position 3523: 0.18573749765653597
Position 4170: 0.12274740765377776
Position 4009: 0.12205069531145803
Position 4914: 0.10507387678986332
Position 3932: 0.08711948654454081
Position 404: 0.05627452176470576
Position 3605: 0.04689411617320552
Position 3956: 0.03556075697554792
Position 5079: 0.03024263342733427
Position 4518: 0.029516361056492975
Position 3773: 0.025833500851903474
Position 131: 0.02549463183644802
Position 1694: 0.022533617475912135
Position 926: 0.018922851465754276
Position 4316: 0.015618733827471167
Position 2326: 0.013975389743409785
Position 1639: 0.013852779169596752
Position 711: 0.012591857080665014
Position 898: 0.012525795782787213
Position 2194: 0.011290928704479206
Position 4736: 0.010475583452912007
Position 4795: 0.010266751760362776
Position 677: 0.010041307271252166
Position 3560: 0.009616864195653989
Position 2116: 0.00828386417549638
Position 596: 0.007898826915780548
Position 4445: 0.00775279266265025
Position 4494: 0.006702690704774827
Position 5030: 0.006497359545752003
Position 2923: 0.005535157615639546
Position 3698: 0.005321966138961943
Position 939: 0.004924166325484718
Position 201: 0.004502242134887873
Position 5083: 0.0043025130929396655
Position 2599: 0.004066076730788503
Position 1953: 0.003397055668462084
Position 350: 0.0032104697185073843
Position 4808: 0.003196797706324168
Position 2053: 0.002874532040985731
Position 225: 0.0021434156864223513
Position 136: 0.002105250943965292
Position 141: 0.0017857511941480383
Position 801: 0.001734050148383447
Position 2174: 0.0013819649073092295
Position 5055: 0.0013058547253020879
Position 437: 0.0012162389816151862
Position 2031: 0.0011123191475012107
Position 4918: 0.0011020520708619262
Position 3566: 0.0010896522553422478
Position 5214: 0.0010002523399821389
Position 1987: 0.000987946429954314
Position 733: 0.0007934362155589561
Position 2113: 0.0007812406334336899
Position 1437: 0.0007312390686498953
Position 915: 0.0007025460088710948
Position 371: 0.0006953979903741471
Position 634: 0.0006355630955317138
Position 5155: 0.0006319754187052621
Position 1612: 0.0005194468127471708
Position 3960: 0.0005014544487079649
Position 165: 0.0004905602475098784
Position 1625: 0.00042296018243968494
Position 4429: 0.0004023903553331683
Position 2356: 0.00034461331796810027
Position 528: 0.00031636446128793485
Position 4287: 0.0002958354637363425
Position 320: 0.0002570630969177713
Position 1116: 0.00025418307888377755
Position 3634: 0.0002414260493516452
Position 4056: 0.00020688190943220832
Position 2557: 0.00020622052116780264
Position 1499: 0.00020571168580770237
Position 3977: 0.0002006325603819979
Position 541: 0.00019441815658053626
Position 120: 0.00017773970047762745
