Gene = ifc
index = 1734
Annotated 5SS: [545]
Annotated 3SS: [1267]
SMsplice 5SS: [ 545 1147 2169]
SMsplice 3SS: [1053 1267 2235]
top_k =  1000
Partition function (log Z): -4.536710577507033

Sorted 5' Splice Sites (High to Low Probability):
Position 545: 0.7840570463208206
Position 1147: 0.7162320275312458
Position 2169: 0.2564684088992048
Position 2173: 0.19053619808020153
Position 1352: 0.1538689764188178
Position 278: 0.14169943320236744
Position 2089: 0.10158032228116091
Position 1871: 0.09188320523571054
Position 1151: 0.08965299368659434
Position 2425: 0.07250125356065114
Position 1855: 0.06248662475779846
Position 1882: 0.02671211374475779
Position 1695: 0.013400221260905617
Position 2059: 0.012932492509150703
Position 1131: 0.012574396655254306
Position 1356: 0.011764130280203934
Position 2075: 0.009995981282427912
Position 559: 0.007545696030433772
Position 798: 0.0061427689999699825
Position 948: 0.005603708212949678
Position 827: 0.004583125959208347
Position 179: 0.004002202610468719
Position 918: 0.003564330624149424
Position 109: 0.003409597078559741
Position 1108: 0.002954982730998409
Position 233: 0.0025451652709322305
Position 1142: 0.0024867669431813473
Position 983: 0.002409098497169772
Position 642: 0.0021065260464643025
Position 1609: 0.0019000538330835204
Position 1635: 0.001846301897875863
Position 73: 0.001667584077447853
Position 2159: 0.0015116900200494116
Position 1760: 0.0014877479338445446
Position 2171: 0.0014204534268208212
Position 908: 0.000966729052406679
Position 524: 0.0009537005880382924
Position 2372: 0.0009047415394751229
Position 999: 0.0008571706555150191
Position 1276: 0.0007266185520029483
Position 1803: 0.0006910100076230893
Position 734: 0.0006543082322884281
Position 2402: 0.0006098037787185556
Position 1671: 0.000564934831730004
Position 1907: 0.000549153342569595
Position 2084: 0.00048571018919448835
Position 1785: 0.0004616073536633946
Position 2073: 0.00042102599719968394
Position 1443: 0.0002609396062905821
Position 1440: 0.0002531004279725111
Position 1990: 0.0002452729904971481
Position 1218: 0.00023397987646411994
Position 1920: 0.00021415230584326551
Position 981: 0.0002083371816489838
Position 1245: 0.000175224322504816
Position 320: 0.00017416232331439054
Position 923: 0.00014199416243505696
Position 1325: 0.00013770112129113835
Position 1005: 0.00013370955785735466
Position 1516: 0.0001336396699962542
Position 757: 0.00012972510292170986
Position 631: 0.00010077112532323893
Position 2052: 9.769459067652415e-05
Position 986: 9.628042086490135e-05
Position 1120: 9.469198491535853e-05
Position 727: 9.194074864253738e-05
Position 64: 9.088561096976027e-05
Position 4: 8.996597366013423e-05
Position 395: 8.427174160209e-05
Position 1054: 8.258667417361935e-05
Position 1595: 6.70680702968586e-05
Position 497: 5.5696373886602644e-05
Position 830: 5.44827802561816e-05
Position 1755: 4.960164128350499e-05
Position 37: 4.641827121644252e-05
Position 992: 4.429522260736847e-05
Position 870: 4.102540053866416e-05
Position 297: 4.049030821729954e-05
Position 1574: 3.8876302694549464e-05
Position 2043: 3.740811663677494e-05
Position 878: 3.47195232419129e-05
Position 95: 3.4032225168883866e-05
Position 1358: 3.08778854507455e-05
Position 2392: 2.8970645260168172e-05
Position 802: 2.6257933642690855e-05
Position 159: 2.5701590700780323e-05
Position 282: 2.278277845402266e-05
Position 185: 1.9192459428901588e-05
Position 773: 1.71740204939844e-05
Position 1470: 1.5964760823376493e-05
Position 698: 1.4768608729846855e-05
Position 327: 1.3704073222551176e-05
Position 1225: 1.0707251235026353e-05
Position 183: 1.0398823507717467e-05
Position 842: 1.0395675472489975e-05
Position 46: 1.0242480993659447e-05
Position 833: 1.016220491953359e-05
Position 701: 9.706188909896274e-06
Position 1505: 9.452117728248012e-06
Position 102: 7.603344917372654e-06
Position 696: 6.268021432062669e-06
Position 549: 4.837066821392757e-06
Position 30: 4.768928036811573e-06
Position 357: 4.634093769263796e-06
Position 2356: 4.271388787037125e-06
Position 1093: 4.134094712148519e-06
Position 1542: 4.038092527297545e-06
Position 913: 3.140626820402034e-06
Position 408: 2.935196432415788e-06
Position 840: 2.505721094566606e-06
Position 324: 2.3930288768839305e-06
Position 341: 1.693066541959137e-06
Position 347: 1.6486045814605608e-06
Position 344: 1.1813234754508345e-06
