Gene = Nse4
index = 1333
Annotated 5SS: [ 180  449  673 1066]
Annotated 3SS: [ 230  504  735 1120]
SMsplice 5SS: [ 180  449  673 1066]
SMsplice 3SS: [ 230  504  735 1120]
top_k =  1000
Partition function (log Z): 14.480555899859139

Sorted 5' Splice Sites (High to Low Probability):
Position 180: 0.9999279402572762
Position 673: 0.9995101861652181
Position 449: 0.9704403452482679
Position 1066: 0.9127527067030943
Position 1501: 0.22547027940524864
Position 1172: 0.14762771956083826
Position 1505: 0.06763600159605007
Position 1061: 0.029050591195546094
Position 1279: 0.02344168090987728
Position 453: 0.019800558496156837
Position 1312: 0.01773541484862383
Position 1321: 0.012174988875128284
Position 434: 0.0029936817702333304
Position 1176: 0.0024971949184752554
Position 795: 0.001530113605844195
Position 1483: 0.0007332699112237519
Position 861: 0.0006638075720690805
Position 799: 0.0004380054632724782
Position 1260: 0.0004329521221153901
Position 1070: 0.00039679157411679926
Position 1454: 0.0003919137474004951
Position 386: 0.00020570843974942806
Position 1463: 0.00015225628962057018
Position 974: 0.00014152334747394028
Position 372: 0.0001402115105120354
Position 1478: 0.0001234573226502291
Position 677: 0.00011844856251383516
Position 462: 0.00010941413898238385
Position 628: 9.390227357805138e-05
Position 985: 8.61725796176575e-05
Position 1127: 8.34110389770383e-05
Position 1040: 6.572520364062194e-05
Position 24: 5.9921963214618e-05
Position 30: 5.712513327483766e-05
Position 483: 5.54420598890387e-05
Position 389: 5.1556894531519725e-05
Position 1251: 4.951958078312446e-05
Position 1212: 3.497181710747857e-05
Position 994: 3.3343517851925033e-05
Position 1199: 3.289669607599448e-05
Position 419: 3.044705974232516e-05
Position 1009: 2.775235618170132e-05
Position 1221: 2.5930505584660323e-05
Position 1289: 2.5285534863091415e-05
Position 631: 2.031686265825613e-05
Position 184: 1.9183173373029982e-05
Position 1291: 1.905965701551429e-05
Position 1156: 1.6244766344137182e-05
Position 488: 1.5445378655302014e-05
Position 634: 1.3441121695127485e-05
Position 1026: 1.2395521297928824e-05
Position 684: 9.746264333559052e-06
Position 647: 9.112002270557193e-06
Position 1509: 8.169228556569439e-06
Position 1051: 6.995918493135862e-06
Position 330: 5.077391216837543e-06
Position 514: 4.853905687819564e-06
Position 460: 2.978035133276761e-06
Position 1244: 2.7430728146269063e-06
Position 567: 2.5899621433281585e-06
Position 144: 2.21638997195471e-06
Position 551: 2.0382047868576044e-06
Position 991: 1.845569200313098e-06
Position 1377: 1.4979335846491181e-06
Position 1366: 1.3511022112292132e-06
Position 1084: 1.2169130986149678e-06
Position 1427: 1.197218262492488e-06
Position 702: 1.0568428978377184e-06
Position 761: 1.0408589018700163e-06
Position 927: 7.594869450102247e-07
Position 70: 4.7258739567618603e-07
Position 616: 3.938668707947681e-07
Position 262: 2.5739994345953355e-07
Position 732: 1.8682425139721728e-07
Position 736: 1.6632697939520996e-07
Position 934: 1.234962205767851e-07
Position 924: 9.435913001952909e-08
Position 65: 8.283110303437361e-08
Position 350: 6.52378675094457e-08
Position 749: 5.968659204821305e-08
Position 904: 5.162161766116069e-08
Position 97: 2.5086322210751824e-09
Position 711: 7.25116717691497e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 230: 0.9989730424600936
Position 735: 0.9861771636529683
Position 504: 0.9856599870967445
Position 1120: 0.9364523569186695
Position 1562: 0.31131967788130555
Position 1240: 0.0851819159412125
Position 1363: 0.03668425206057291
Position 1366: 0.030856532211396996
Position 1377: 0.030514740451842215
Position 739: 0.010343827852049845
Position 567: 0.005140757321551684
Position 1519: 0.0044322369635700345
Position 1312: 0.002776225366966207
Position 523: 0.0026030069569072676
Position 942: 0.001994570411591989
Position 909: 0.0017623467234851333
Position 939: 0.001520923089388217
Position 1251: 0.0012954698167436977
Position 1289: 0.0007733579106675308
Position 278: 0.0006025067910522728
Position 1132: 0.0006006300057361009
Position 292: 0.00028213089021855643
Position 596: 0.00024621511566549843
Position 780: 0.00020487739978543537
Position 747: 0.00015680460357600525
Position 1466: 0.0001311263463206567
Position 1199: 0.00012414532213145038
Position 613: 0.0001194148800161006
Position 1533: 0.00011653205862358253
Position 1212: 9.859427945433756e-05
Position 627: 6.590540484252252e-05
Position 70: 5.954586896196425e-05
Position 296: 5.560986927655724e-05
Position 105: 5.536473174762924e-05
Position 1091: 4.276768993550787e-05
Position 1176: 3.559557207590085e-05
Position 759: 3.469441017606525e-05
Position 1164: 2.759390552601999e-05
Position 1489: 1.9975355100583884e-05
Position 1469: 1.8390179203902357e-05
Position 535: 1.155526928273951e-05
Position 575: 9.742316317639704e-06
Position 702: 9.668306555995566e-06
Position 754: 9.422752512180653e-06
Position 1538: 5.4624884088574075e-06
Position 309: 5.339963478546316e-06
Position 1032: 4.238025034890028e-06
Position 1186: 3.360007858444587e-06
Position 1015: 3.146344948405054e-06
Position 969: 2.1750959117277197e-06
Position 532: 1.5821580711799175e-06
Position 232: 1.2715648933724646e-06
Position 364: 1.1139175176293175e-06
Position 850: 1.072731786806292e-06
Position 816: 9.858627964349466e-07
Position 280: 7.891998945510593e-07
Position 128: 7.665454434669575e-07
Position 525: 7.473027693858848e-07
Position 386: 6.08696190139492e-07
Position 793: 4.104549947476944e-07
Position 787: 1.9337044752442613e-07
Position 323: 1.1865124077402473e-07
Position 313: 1.1320583702860931e-07
Position 260: 1.1263298740113628e-07
Position 838: 7.902595236707087e-08
Position 790: 3.348541468461922e-08
Position 761: 3.26933833805429e-08
Position 642: 2.720779959941885e-08
Position 398: 2.6995821132851706e-08
Position 852: 2.1426845547743478e-08
Position 824: 2.0235960564627885e-08
Position 1065: 1.3982735740918992e-08
Position 452: 1.1786645599664897e-08
Position 166: 1.0293912670009715e-08
Position 744: 6.1053417805967355e-09
Position 527: 2.4406325063441176e-09
Position 677: 2.0824509915421997e-09
Position 262: 9.586462527602556e-10
Position 673: 5.779360608765079e-10
Position 175: 8.330528229941998e-11
Position 179: 1.0590221408617704e-11
Position 184: 5.3448315037110834e-14
