Gene = Csas
index = 1109
Annotated 5SS: [ 87 330 591]
Annotated 3SS: [138 385 645]
SMsplice 5SS: [ 87 330 591]
SMsplice 3SS: [138 385 645]
top_k =  1000
Partition function (log Z): -2.738508091380292

Sorted 5' Splice Sites (High to Low Probability):
Position 591: 0.9327540379530838
Position 87: 0.8745302994325318
Position 330: 0.6434156180848895
Position 328: 0.15982817500165383
Position 531: 0.014824114142730046
Position 479: 0.006131012350163545
Position 93: 0.005553074131386136
Position 572: 0.005057845834379299
Position 555: 0.0041114591493921545
Position 72: 0.002506792386659871
Position 287: 0.0014294380089431896
Position 219: 0.0007577331241979744
Position 352: 0.00034522326658457416
Position 469: 0.0002921044647181829
Position 514: 0.00026886384964611924
Position 561: 0.0001774455461456038
Position 459: 0.000147271295889045
Position 574: 0.00014650411894420154
Position 547: 0.00011936900857370788
Position 91: 0.00010722710651170002
Position 52: 8.029192289810416e-05
Position 897: 6.177767939342352e-05
Position 738: 3.4787026620626104e-05
Position 96: 1.3676844328554234e-05
Position 746: 1.2391949535850198e-05
Position 389: 7.534115892854846e-06
Position 814: 6.358548032655761e-06
Position 678: 6.330423024927334e-06
Position 792: 4.927534241707097e-06
Position 110: 4.43989116848957e-06
Position 846: 1.8656840687917787e-06
Position 614: 1.6108260880760556e-06
Position 668: 1.3629034000214282e-06
Position 138: 1.053499443447987e-06
Position 900: 4.2389529472628634e-07
Position 760: 2.4584999853432637e-07
Position 785: 2.2525503073256025e-07
Position 821: 1.0268648561354205e-07
Position 824: 1.7195561224564653e-08
Position 671: 2.6516302166238833e-12
Position 620: 2.1961127692639824e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 645: 0.9782643117452678
Position 138: 0.8755815940749384
Position 385: 0.7904045133148163
Position 531: 0.0030137766289282998
Position 174: 0.002239320338830579
Position 296: 0.0008358425099194843
Position 352: 0.0006764740898659071
Position 425: 0.0005420335721110914
Position 466: 0.00045551083759485037
Position 588: 0.0001351847733875337
Position 541: 0.00011218786565756583
Position 667: 5.67240560258865e-05
Position 183: 5.5243437917303256e-05
Position 476: 4.906977828331202e-05
Position 946: 4.375050298752272e-05
Position 813: 4.143116542590479e-05
Position 144: 4.140978888361568e-05
Position 427: 4.0031283313216485e-05
Position 479: 3.8667058971171236e-05
Position 950: 2.0439275019899546e-05
Position 617: 1.9330831984865577e-05
Position 414: 1.5365996270657924e-05
Position 377: 8.740942813004833e-06
Position 714: 8.095879145769096e-06
Position 459: 6.2408879011563605e-06
Position 957: 5.675950890700443e-06
Position 749: 4.821882512144898e-06
Position 881: 4.614308778768915e-06
Position 692: 3.6487664080904155e-06
Position 543: 2.79619986461477e-06
Position 841: 2.2824260949178055e-06
Position 864: 2.121246763170597e-06
Position 900: 1.649152614124944e-06
Position 736: 1.6360077052159443e-06
Position 928: 1.3310579539512228e-06
Position 319: 1.2886250738156134e-06
Position 922: 1.2025468181733774e-06
Position 555: 9.205301584756411e-07
Position 328: 8.184137827309264e-07
Position 755: 6.801727744223698e-07
Position 720: 5.594505164494487e-07
Position 792: 4.0850718343129244e-07
Position 607: 3.5583929555351255e-07
Position 846: 2.974567800027205e-07
Position 774: 2.2434690062213683e-07
Position 897: 1.5385225277280695e-07
Position 196: 1.256887406632963e-07
Position 708: 4.641980239463399e-08
Position 188: 3.142544922726806e-08
Position 728: 2.0134541239702102e-08
Position 561: 1.7223642230644495e-08
Position 101: 1.2128921275046274e-08
Position 96: 9.801924826928693e-10
Position 110: 4.42384312496331e-10
Position 179: 1.6934591847443272e-10
Position 334: 1.4978168412645534e-17
