Gene = Tsp66A
index = 1572
Annotated 5SS: [1912 2155 2350 2588]
Annotated 3SS: [1968 2214 2410 2636]
SMsplice 5SS: [ 106  329  521  671 1060 1243 1567 2350 2588]
SMsplice 3SS: [ 160  391  577  737 1116 1309 2214 2410 2646]
top_k =  1000
Partition function (log Z): 7.749368212655873

Sorted 5' Splice Sites (High to Low Probability):
Position 2588: 0.9973996444702079
Position 2350: 0.9668593387866662
Position 1243: 0.8879297072792683
Position 521: 0.7932415002393908
Position 329: 0.7408163628892742
Position 671: 0.7097050274455233
Position 106: 0.6646320480010094
Position 840: 0.5936196803222613
Position 2149: 0.5363988848438391
Position 1060: 0.504063350422102
Position 1567: 0.4824954082887507
Position 1916: 0.2970336731396355
Position 212: 0.15312625432284466
Position 1912: 0.15125233677636596
Position 1899: 0.1121365839734418
Position 2155: 0.05748715717903919
Position 1057: 0.04583642639624706
Position 1075: 0.04281228471120852
Position 1383: 0.042050146432043044
Position 1248: 0.03346567723863214
Position 2732: 0.03213762423322183
Position 2704: 0.029993058545640237
Position 2159: 0.026593272583662394
Position 2742: 0.018383717783334932
Position 1615: 0.015041129742653672
Position 2750: 0.015010114630123585
Position 2737: 0.013225816066257591
Position 681: 0.010104598092277527
Position 2101: 0.009060396253156256
Position 1034: 0.008857057219381879
Position 818: 0.00860677334287419
Position 2071: 0.008401572887221665
Position 1679: 0.006753999864533837
Position 1064: 0.005415717968142103
Position 326: 0.004669682560619348
Position 690: 0.004289981298780069
Position 822: 0.002602867171267775
Position 2345: 0.0017357077339922682
Position 2105: 0.001564545263210934
Position 668: 0.0011924778467434962
Position 243: 0.0009779867534702956
Position 1469: 0.0008009535833617512
Position 659: 0.0007931651174576479
Position 468: 0.0007660017816817477
Position 333: 0.0006981173476266091
Position 546: 0.0006776567497992237
Position 3221: 0.0006695044922434786
Position 2356: 0.0005882582639070052
Position 2579: 0.0005652942374122166
Position 415: 0.0005620356244776951
Position 902: 0.0005454175316610392
Position 363: 0.0004309647423709156
Position 810: 0.0003722037641692505
Position 1317: 0.00024767774276357555
Position 585: 0.00024321229071451458
Position 1009: 0.00023382580406733315
Position 2299: 0.00022716971807164004
Position 2036: 0.0002059091737716936
Position 2046: 0.00020194509680736592
Position 2327: 0.00017301441228101505
Position 1488: 0.00015998409151760104
Position 45: 0.00013524936728634423
Position 269: 0.00013193379900654155
Position 2592: 0.0001223259727718487
Position 227: 0.00012187666350035658
Position 13: 0.0001182692900054108
Position 525: 0.00010803940695175933
Position 1106: 9.355681655800354e-05
Position 2711: 9.081708528216617e-05
Position 984: 8.458445060292593e-05
Position 377: 7.857395818156731e-05
Position 2855: 7.796553957224694e-05
Position 2740: 7.536012861692734e-05
Position 988: 6.564042944202273e-05
Position 216: 6.026765944386064e-05
Position 64: 5.442470939415005e-05
Position 1441: 3.874982670238502e-05
Position 496: 3.86969990255511e-05
Position 110: 3.256020765313254e-05
Position 2661: 2.9327622259106254e-05
Position 1479: 2.7376635341316324e-05
Position 2636: 2.6940681338018305e-05
Position 922: 2.661332142391821e-05
Position 255: 2.480041285141683e-05
Position 3090: 2.4531398507715148e-05
