Gene = Fgop2
index = 1164
Annotated 5SS: [156]
Annotated 3SS: [219]
SMsplice 5SS: [156]
SMsplice 3SS: [219]
top_k =  1000
Partition function (log Z): -9.129299461636553

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9849204910721316
Position 170: 0.010350462004443586
Position 491: 0.009020343439344025
Position 1454: 0.0034391116483518036
Position 413: 0.0026202044781995057
Position 1259: 0.0021448969034921265
Position 1244: 0.0018793307047323049
Position 1822: 0.001685757146071864
Position 1377: 0.0016810001764253565
Position 430: 0.0011299434465456707
Position 994: 0.0009514498676129388
Position 683: 0.0007050724473410045
Position 912: 0.000605780580454068
Position 1480: 0.0004956394810515692
Position 1612: 0.000493343327721088
Position 629: 0.00047752028795039426
Position 1638: 0.00042884427683924375
Position 1584: 0.0003149023119842626
Position 604: 0.0002939145163373357
Position 1882: 0.00025348833442745053
Position 1223: 0.00021307856557690837
Position 350: 0.0001948311780708595
Position 1089: 0.00017636516061737432
Position 867: 0.00016838045357357254
Position 643: 0.00013861221751437238
Position 1511: 0.00010758011028897181
Position 1592: 8.988824769567387e-05
Position 1597: 7.977766332995722e-05
Position 983: 4.9975612313900824e-05
Position 30: 4.3925942439562876e-05
Position 744: 4.2794521160522124e-05
Position 1682: 3.4253922251732874e-05
Position 1492: 3.211841479842178e-05
Position 1485: 3.035067249852375e-05
Position 1262: 2.6437314139182028e-05
Position 959: 2.392231039141434e-05
Position 1071: 2.2723924263958692e-05
Position 746: 2.1844905866852517e-05
Position 184: 1.6291201932970596e-05
Position 841: 1.346354608707699e-05
Position 620: 1.2468779505690663e-05
Position 1290: 1.0871481023586715e-05
Position 1252: 7.4070652895523734e-06
Position 46: 7.068321698245678e-06
Position 1091: 5.7848450512528615e-06
Position 1002: 5.457776669100197e-06
Position 73: 4.186678340639233e-06
Position 52: 3.3161166174656406e-06
Position 116: 3.0962390771252295e-06
Position 49: 1.2789861424305882e-06
Position 1022: 1.3739125282984898e-07
Position 1192: 1.2022347634882634e-07
Position 1275: 6.682041843690143e-08
Position 1065: 5.7073563621792806e-08
Position 308: 3.41073897248226e-08
Position 756: 3.160837681478425e-08
Position 725: 2.8947728881635803e-08
Position 345: 2.005292182900989e-08
Position 201: 1.9344817751534913e-08
Position 661: 1.8048076714078647e-08
Position 11: 1.3069856583726746e-08
Position 579: 1.065864015950366e-08
Position 219: 6.712110901717012e-09
Position 295: 6.461523866864739e-09
Position 761: 5.498712489438972e-09
Position 210: 4.3272639500131546e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 219: 0.974963681273703
Position 228: 0.008184387042793716
Position 1734: 0.005583438961095956
Position 1316: 0.0044470822381675705
Position 682: 0.004081400126125055
Position 1672: 0.003644299751027008
Position 1626: 0.0027505876523037905
Position 225: 0.0026154004134746247
Position 1737: 0.0024495394567688325
Position 1157: 0.0021531078459759555
Position 334: 0.0017732979612890957
Position 1887: 0.0013961048562810548
Position 1658: 0.001285594995460064
Position 508: 0.0011832720875522976
Position 1768: 0.0010151800683237372
Position 1058: 0.0008438589146016309
Position 505: 0.0008031068040218418
Position 475: 0.0006613988944474656
Position 841: 0.00060982443315412
Position 556: 0.0006070644349038165
Position 1936: 0.00047012062477244307
Position 1592: 0.00041114829179633613
Position 231: 0.0003743163348834812
Position 316: 0.0003669533336338804
Position 991: 0.00033606772187994683
Position 1882: 0.00031907782601619297
Position 1595: 0.00031813118212668215
Position 291: 0.00031478128038030944
Position 1972: 0.0002900584539882852
Position 1642: 0.0002577833689360256
Position 766: 0.00016611365244838472
Position 2054: 0.000104638047343851
Position 1776: 9.824494816541706e-05
Position 2051: 9.544450955447394e-05
Position 1865: 5.86742301580366e-05
Position 522: 5.85528431092348e-05
Position 198: 5.141702002222936e-05
Position 539: 4.152532339697304e-05
Position 655: 3.140214599367379e-05
Position 1352: 2.5210590918389152e-05
Position 1997: 1.859183644124765e-05
Position 790: 1.79555734829035e-05
Position 1553: 1.6911748543686333e-05
Position 1170: 1.6330709388429327e-05
Position 1359: 1.5623661954354296e-05
Position 1453: 1.5164282111631523e-05
Position 1435: 1.481052589125367e-05
Position 725: 1.3216172505097673e-05
Position 912: 1.3207222544191809e-05
Position 541: 1.2576742226166587e-05
Position 2005: 9.03355493430164e-06
Position 648: 8.728414305622982e-06
Position 628: 8.58222880181819e-06
Position 1102: 8.289429396779728e-06
Position 1939: 6.684396791376562e-06
Position 345: 6.3839551534386865e-06
Position 722: 5.486324724184116e-06
Position 1065: 4.9407505439702644e-06
Position 639: 4.157945473359955e-06
Position 838: 3.9170844629347075e-06
Position 856: 2.7622874819258536e-06
Position 749: 2.700012429486103e-06
Position 1002: 2.6831156150852714e-06
Position 589: 2.6698555938614044e-06
Position 355: 2.4527806986690088e-06
Position 697: 1.8930433353467449e-06
Position 436: 1.394911792764168e-06
Position 125: 7.944854674167392e-07
Position 113: 3.6834532714020807e-07
Position 133: 1.2762145865885309e-08
Position 430: 5.2512395277541525e-09
Position 173: 2.1796968136752167e-09
Position 160: 1.5911961453122548e-09
Position 397: 6.755219696342258e-10
Position 604: 4.73115428154101e-10
Position 391: 2.833114914648304e-10
Position 550: 2.3774172951256687e-10
Position 568: 1.474505941854148e-10
Position 388: 1.1736165754166096e-10
Position 180: 1.9984210713046066e-11
Position 184: 6.131600098932976e-14
Position 233: 3.4965288385249813e-14
Position 418: 3.657711503483561e-15
Position 643: 1.8259141919442243e-16
Position 658: 1.5613944903096808e-16
Position 420: 6.36538942802772e-20
