Gene = bib
index = 1628
Annotated 5SS: [ 502 2311 3083 7818]
Annotated 3SS: [2143 2955 7609 8621]
SMsplice 5SS: [ 502 2311 3083 7818]
SMsplice 3SS: [2143 2955 7609 8621]
top_k =  1000
Partition function (log Z): 4.692995693594899

Sorted 5' Splice Sites (High to Low Probability):
Position 502: 0.998749919961285
Position 2311: 0.9880852459111988
Position 3083: 0.9861907029308887
Position 7818: 0.981181488657856
Position 7120: 0.143368260524588
Position 3696: 0.08650129842520125
Position 3762: 0.0697183250807743
Position 8561: 0.048322994668220834
Position 8941: 0.029288450161915863
Position 8030: 0.024259497360960215
Position 7325: 0.02422873234227019
Position 7516: 0.020886097159621784
Position 8040: 0.019069509590395148
Position 4251: 0.014736396953558937
Position 9047: 0.010629658987823079
Position 6192: 0.009922264965116081
Position 8995: 0.007374657755219035
Position 9146: 0.005960061941808094
Position 4446: 0.005891574107637548
Position 10145: 0.005434162649874963
Position 9749: 0.004793163909725216
Position 8979: 0.004600361375395441
Position 7107: 0.004501971606134653
Position 864: 0.003584072022873741
Position 8235: 0.0035306561123873556
Position 8315: 0.0031994438501196276
Position 1951: 0.0031658792820810967
Position 9816: 0.003136510292559634
Position 10712: 0.0030555955817367225
Position 9071: 0.002843488860260135
Position 10412: 0.0028313494976087176
Position 7309: 0.0025900497494901137
Position 8738: 0.0025391975579722916
Position 7527: 0.002434641823123031
Position 1396: 0.0020407234648797835
Position 10725: 0.0019892177529957185
Position 8712: 0.0018855648286974728
Position 8230: 0.0018757810400003706
Position 9578: 0.0016546710247355417
Position 7521: 0.0016383591243308109
Position 8867: 0.00155848514396051
Position 1042: 0.0014970659562525302
Position 1902: 0.001494325764227346
Position 9196: 0.0014854042338840498
Position 1878: 0.0014673357575010755
Position 95: 0.001459083004643976
Position 2084: 0.0012255527692846188
Position 181: 0.0011266630755996001
Position 8075: 0.0010223792858016143
Position 3149: 0.0009792611653686618
Position 76: 0.0009372014183576796
Position 1245: 0.0009364166051403926
Position 6040: 0.0009347330956000962
Position 4157: 0.0008902606250472603
Position 8809: 0.0008816749819468314
Position 2700: 0.0008814717575431566
Position 9092: 0.0008753417915708674
Position 8019: 0.0008700266281876866
Position 2601: 0.0007474744942606539
Position 6104: 0.0006796662864138735
Position 5165: 0.000654439098191027
Position 127: 0.0006114388293835528
Position 7043: 0.0005639654849367814
Position 3934: 0.000558505850045166
Position 7089: 0.0005475549229340057
Position 10328: 0.0005334155588736238
Position 6916: 0.0005211793686493457
Position 9076: 0.0004757918773673236
Position 9217: 0.00047479866680264323
Position 8744: 0.00040882779569716225
Position 4057: 0.00038613280320190545
Position 4258: 0.00037675502859804927
Position 1534: 0.0003740900881532456
Position 5369: 0.00036151838690144086
Position 762: 0.00035211864707052824
Position 7872: 0.0003509507570819519
Position 7982: 0.0003464751897718621
Position 7371: 0.0003435258046774161
Position 941: 0.0003292065439133071
Position 3994: 0.00031910665748061535
Position 7716: 0.00027476814555812094
Position 9605: 0.00026246027173779465
Position 120: 0.0002569273116102957
Position 4879: 0.0002534483665908396
Position 3820: 0.00025271339731328015
Position 10596: 0.00024821403787837423
