Gene = pigeon
index = 1836
Annotated 5SS: [ 150  613  978 2200 2489 2763 3058]
Annotated 3SS: [ 207  675 1035 2255 2547 2832 3402]
SMsplice 5SS: [ 150  613  978 2200 2489 2763 3058 3286]
SMsplice 3SS: [ 207  675 1035 2255 2547 2832 3138 3402]
top_k =  1000
Partition function (log Z): 22.27010559910887

Sorted 5' Splice Sites (High to Low Probability):
Position 613: 0.990361026474065
Position 2489: 0.9887810042990062
Position 978: 0.9782880652390171
Position 2200: 0.9697868345671329
Position 2763: 0.9540116319907738
Position 3286: 0.9309452672269487
Position 150: 0.9226749792325597
Position 3058: 0.8607224167827747
Position 1840: 0.11421625446293764
Position 468: 0.06506876471543196
Position 2767: 0.02804663464374871
Position 3073: 0.02180638895068832
Position 982: 0.01999922842164397
Position 2704: 0.009506500608366754
Position 1825: 0.009097271850057369
Position 1844: 0.0026544115714742336
Position 1996: 0.0025659113316441485
Position 373: 0.0019518808233973317
Position 2735: 0.0015979556129272978
Position 975: 0.001400515396193679
Position 1393: 0.001314672701838909
Position 2741: 0.0012785647717670412
Position 2493: 0.001118265010653087
Position 3557: 0.0009561106118948213
Position 617: 0.0009259300395039973
Position 2430: 0.0007067437144804998
Position 3260: 0.0005692240275431191
Position 1482: 0.000550787582219698
Position 3027: 0.0005463284221499488
Position 2223: 0.0005453575144833798
Position 1426: 0.0005179077353149179
Position 3550: 0.00050365633405268
Position 3641: 0.0005007630046477315
Position 624: 0.000492621879234114
Position 1530: 0.0004132051593798241
Position 2643: 0.00036780593138899806
Position 3805: 0.0003487655585220277
Position 2497: 0.0003071064123781371
Position 1246: 0.00030281515917146806
Position 154: 0.00020800649918916318
Position 2384: 0.00019369879398554654
Position 3569: 0.0001903920741255944
Position 3589: 0.00018770991099122648
Position 812: 0.00018138798889845564
Position 3647: 0.00016488731541311355
Position 3305: 0.00016081599877962788
Position 2197: 0.00015664965740643625
Position 3337: 0.00015153977116291596
Position 2512: 0.0001501583235900084
Position 1292: 0.00013730385830793874
Position 2483: 0.0001310642213338291
Position 2756: 0.00011677173033219592
Position 2909: 0.0001112613283843818
Position 1574: 0.0001072130311008031
Position 1690: 0.00010711907165679949
Position 278: 0.00010425961831773999
Position 2476: 0.00010412350294533771
Position 594: 0.00010352922408887731
Position 2997: 0.00010078737060645625
Position 2096: 9.270382371860388e-05
Position 2983: 8.2709679809751e-05
