Gene = arx
index = 1612
Annotated 5SS: [235]
Annotated 3SS: [302]
SMsplice 5SS: [235]
SMsplice 3SS: [302]
top_k =  1000
Partition function (log Z): -8.16573140240914

Sorted 5' Splice Sites (High to Low Probability):
Position 235: 0.8249509267660056
Position 187: 0.15506828009690574
Position 453: 0.01629843631710403
Position 477: 0.011764903926986753
Position 653: 0.005003937627977234
Position 239: 0.00483083720069663
Position 430: 0.004132600519607651
Position 266: 0.003892648463668899
Position 175: 0.0031782814128673187
Position 252: 0.001484342262975213
Position 650: 0.0011376821338810073
Position 155: 0.00020776220729222156
Position 460: 0.00016491004444151779
Position 203: 0.00015950881473152182
Position 255: 9.919159953048905e-05
Position 401: 8.919658827120428e-05
Position 45: 7.939758318426549e-05
Position 157: 7.17934594462343e-05
Position 432: 6.842398131789801e-05
Position 791: 6.842295478777798e-05
Position 4: 3.5546439769795735e-05
Position 659: 2.035315246505011e-05
Position 258: 2.0232272780789024e-05
Position 880: 1.5975316999886493e-05
Position 494: 1.5539099885582988e-05
Position 228: 1.2441727277260137e-05
Position 763: 1.1158191187705638e-05
Position 299: 1.0029466565562442e-05
Position 657: 9.511666021463296e-06
Position 803: 7.392601237932856e-06
Position 85: 5.214732132937223e-06
Position 725: 4.641374033764726e-06
Position 317: 2.9489930951139036e-06
Position 339: 2.643509917258596e-06
Position 888: 2.6127144070381527e-06
Position 50: 6.100942491549433e-07
Position 782: 5.32879819437659e-07
Position 777: 4.881984948378561e-07
Position 270: 3.6816867730008224e-07
Position 886: 1.2587472555883358e-07
Position 538: 1.1197289623715171e-07
Position 96: 1.1013877902701252e-08
Position 191: 3.186072903485587e-09
Position 366: 8.556991046449647e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 302: 0.6256389025756194
Position 350: 0.1449063099882577
Position 281: 0.10619523807389004
Position 509: 0.032431229511086845
Position 339: 0.030985050923043607
Position 286: 0.024302506189080232
Position 244: 0.019901707512806198
Position 530: 0.014461417564335844
Position 921: 0.012772079641135498
Position 373: 0.009370826102185035
Position 452: 0.0035995645206318046
Position 514: 0.0021334397931870304
Position 803: 0.001967301668300096
Position 355: 0.0015249271901183596
Position 255: 0.0004364876006731503
Position 258: 0.00037115413189965895
Position 808: 0.00036386869314877475
Position 378: 0.00035178501220653534
Position 466: 0.00033805869870988934
Position 791: 0.0002599589458471818
Position 395: 0.0001494546212309863
Position 385: 0.0001101905000421646
Position 938: 9.958117963543677e-05
Position 105: 7.243596241855035e-05
Position 628: 5.651904602554507e-05
Position 220: 3.351233250247636e-05
Position 688: 2.592518372335293e-05
Position 203: 2.4281097978078474e-05
Position 563: 7.227965500051047e-06
Position 846: 6.547583078470434e-06
Position 575: 5.750348458866124e-06
Position 572: 5.641837735806266e-06
Position 323: 5.350221900794875e-06
Position 407: 3.435595766264509e-06
Position 554: 2.9958256991752947e-06
Position 108: 2.447838282921589e-06
Position 239: 1.3857873509640215e-06
Position 477: 1.308921210085103e-06
Position 569: 1.2642534156738217e-06
Position 527: 9.365631035590677e-07
Position 668: 8.630402165293313e-07
Position 566: 3.769080508262974e-07
Position 228: 3.5697647747672527e-07
Position 129: 3.2709940907623936e-07
Position 138: 2.0661223020462434e-08
Position 126: 1.4928784187682035e-08
Position 169: 6.804683362141615e-09
Position 222: 2.3399035490773314e-09
Position 401: 6.475923507790178e-10
Position 135: 6.408085949565202e-10
Position 410: 2.772161861457899e-10
Position 590: 1.1614500002014871e-10
Position 428: 2.2236650866575012e-11
