Gene = Als2
index = 19
Annotated 5SS: [2586 3324 4524 4734]
Annotated 3SS: [2704 3386 4581 4792]
SMsplice 5SS: [2586 3324 4524 4734]
SMsplice 3SS: [2662 3386 4581 4792]
top_k =  1000
Partition function (log Z): -1.3592318529110778

Sorted 5' Splice Sites (High to Low Probability):
Position 4734: 0.9960922559323252
Position 3324: 0.9878588143096981
Position 4524: 0.9259837360560266
Position 2586: 0.909474813815934
Position 169: 0.15055145310330395
Position 602: 0.14242337357350984
Position 2225: 0.05395838818619734
Position 850: 0.029619515997040446
Position 4155: 0.028329431585222435
Position 5071: 0.027628374893729483
Position 4057: 0.027510216531414913
Position 2324: 0.023345769580397847
Position 2172: 0.009418413694781146
Position 2126: 0.008376939574866626
Position 5241: 0.007685071757857172
Position 5234: 0.006032384797550806
Position 938: 0.005155959185063552
Position 5115: 0.0034289074633966285
Position 5251: 0.003391111490419582
Position 5197: 0.002882611048378727
Position 58: 0.002461843768420776
Position 665: 0.0019566030018476712
Position 2947: 0.0019339077222495257
Position 1224: 0.0019195742234216118
Position 1967: 0.0019122857580045954
Position 5249: 0.0017811069712520549
Position 47: 0.0012766351038788698
Position 680: 0.0012405447427686531
Position 5104: 0.0010129466312009312
Position 5085: 0.0010124934023914385
Position 5109: 0.0009560010109665481
Position 1464: 0.0009265043039538275
Position 5145: 0.0008898505287548694
Position 633: 0.000883742018858871
Position 4874: 0.000827239204044446
Position 5267: 0.0008186585083768808
Position 903: 0.0007094823136513451
Position 2147: 0.0006285173517943196
Position 1909: 0.000599278456344637
Position 2354: 0.0005790334155225498
Position 4112: 0.000519657697742569
Position 4514: 0.0005153989237041644
Position 2182: 0.0004958736787635894
Position 814: 0.000461106633603531
Position 208: 0.0003700037560999388
Position 606: 0.00036961487176341215
Position 2266: 0.00036532125747114515
Position 4431: 0.0003571515909914303
Position 120: 0.0003571396795042587
Position 892: 0.0003526080874384308
Position 720: 0.0003484692895602627
Position 2632: 0.0003307623764708784
Position 4348: 0.00030603856337916365
Position 974: 0.0002733034305292361
Position 1435: 0.0002687830691252995
Position 1522: 0.0002648890526867825
Position 203: 0.000260847328571253
Position 3406: 0.0002579701867650218
Position 506: 0.00024827877675856355
Position 3292: 0.00023737104684270268
Position 2104: 0.00023314263602305878
Position 2747: 0.0002281333800712095
Position 2743: 0.00021957226569874427
Position 5208: 0.00020635877598171169
Position 1219: 0.00019460334466904104
Position 4419: 0.00019316929235892107
Position 4501: 0.00017944083904915614
Position 498: 0.00017911625670169167
Position 1097: 0.0001728666834507706
Position 3254: 0.0001698070445088903
Position 160: 0.0001673119890883789
Position 3866: 0.00016337406228017148
Position 4452: 0.00016186541130934842
Position 3573: 0.00015134958816375707
Position 376: 0.00015115610188374396
Position 291: 0.0001485495985707596
Position 4081: 0.00014057628311743537
Position 134: 0.00012576169319976772
Position 4559: 0.00011386487760438827
Position 4213: 0.00010546985906144671
Position 2115: 0.00010072574773878432
Position 4410: 9.62102129572528e-05
Position 4254: 9.173644357070743e-05
Position 3315: 8.682753984693914e-05
Position 5152: 8.260509007854735e-05
Position 1059: 8.218327435490492e-05
Position 3571: 7.874051530069726e-05
Position 206: 7.795315464924541e-05
Position 4116: 7.7738763288773e-05
Position 534: 7.456733895071672e-05
Position 2739: 7.249473607240008e-05
Position 2051: 6.84493804220178e-05
Position 2099: 6.835056505349935e-05
Position 110: 6.771146458241345e-05
Position 124: 5.958377838389629e-05
Position 4984: 5.8019843566664724e-05
Position 4989: 5.195452689299205e-05
Position 1476: 4.503912547079702e-05
Position 845: 4.4423607543095034e-05
Position 1675: 3.7309199128548135e-05
Position 755: 3.533706398437336e-05
Position 854: 3.515602328268945e-05
Position 3268: 3.4072949762982374e-05
Position 548: 3.143070171274836e-05
Position 3403: 3.125765786054447e-05
Position 4159: 3.017859318965087e-05
Position 4759: 2.9149549441026407e-05
Position 5156: 2.0726303569353267e-05
Position 4738: 2.0575064489915654e-05
Position 509: 1.981685458871811e-05
Position 4747: 1.9600972050611165e-05
Position 5095: 1.7393553889546382e-05
Position 1163: 1.5436039630651512e-05
Position 5132: 1.4687823423786033e-05
Position 4308: 1.446257770735428e-05
Position 896: 1.4405876559790839e-05
Position 1510: 1.394594847824942e-05
Position 4271: 1.3794767332963749e-05
Position 2798: 1.2839866996868565e-05
Position 5271: 1.216693659947394e-05
Position 1474: 1.138872732212973e-05
Position 4040: 1.1325875787187138e-05
Position 4288: 1.1204019282548538e-05
Position 3962: 1.1015929010150606e-05
Position 1447: 1.0644224172650525e-05
Position 3851: 1.0581553419007106e-05
Position 3641: 1.016478193733503e-05
Position 5046: 9.978856117371812e-06
Position 3936: 8.657456742214249e-06
Position 4907: 8.614798048686046e-06
Position 3435: 8.100035687657084e-06
Position 128: 8.021320856978498e-06
Position 954: 7.129589670955083e-06
Position 3423: 6.392679957449755e-06
Position 2961: 5.749664231545617e-06
Position 4099: 5.44427846917408e-06
Position 307: 5.184376286217021e-06
Position 1942: 4.571891911920668e-06
Position 551: 4.233430589226209e-06
Position 264: 4.169471504224697e-06
Position 4595: 3.9264666891328726e-06
Position 701: 3.8084416902083405e-06
Position 5134: 3.7156515902729905e-06
Position 1232: 3.340084298245997e-06
Position 3284: 3.328161712366704e-06
Position 1071: 3.3258231867176567e-06
Position 2440: 2.56998678841039e-06
Position 4679: 2.3257755974055997e-06
Position 2137: 2.2417067844694702e-06
Position 1984: 2.078156803474101e-06
Position 1771: 2.016720767361078e-06
Position 5281: 1.9886839958224273e-06
Position 1350: 1.7155605429400433e-06
Position 4612: 1.1481645494441912e-06
Position 81: 7.689799681047689e-07
Position 137: 3.846403923383869e-07
Position 710: 3.0906529463741546e-07
Position 93: 2.853245562321704e-07
Position 1747: 2.633571890697517e-07
Position 569: 2.611575823850892e-07
Position 227: 1.2679065959010696e-07
Position 619: 5.200416347779016e-08
Position 4654: 1.765974128310924e-08
Position 146: 1.5179612300128562e-08
Position 1130: 2.8567693660696204e-09
Position 704: 1.0072220212593257e-09
Position 3869: 1.3478332303938942e-11
Position 4029: 9.448823590409959e-12
Position 4064: 9.213512522156128e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4581: 0.9935950040412022
Position 3386: 0.9635891527005778
Position 4792: 0.9156658222767642
Position 2662: 0.42831339309729305
Position 2704: 0.34684133154403984
Position 2224: 0.1497173596720476
Position 1111: 0.08840238457029524
Position 2758: 0.07120034126913391
Position 5302: 0.06892150739135268
Position 2341: 0.035565707832083425
Position 2282: 0.026917499062281126
Position 4806: 0.024726432525841256
Position 4779: 0.019641267425033776
Position 2387: 0.01790046595333333
Position 1549: 0.017605548417082627
Position 1582: 0.01754951862725906
Position 2667: 0.016091402421813297
Position 5152: 0.01585724115510709
Position 2475: 0.014155652810774884
Position 3005: 0.012693952201063499
Position 2746: 0.010197520836193092
Position 3246: 0.007494320405701754
Position 5167: 0.007055270698818714
Position 2802: 0.006855386275299409
Position 4128: 0.006791544043039018
Position 2673: 0.006086444222111238
Position 2689: 0.005486856944006209
Position 2467: 0.004098822808507832
Position 3158: 0.0039504394563717165
Position 4390: 0.0035084013379114622
Position 1801: 0.0034732161348332113
Position 399: 0.002876600761450786
Position 2181: 0.0027503751383630326
Position 4296: 0.0026261796114871914
Position 1573: 0.002496092369110544
Position 1555: 0.0023723080633122375
Position 329: 0.002328002613803885
Position 1506: 0.002294355178796045
Position 2328: 0.002292445975570502
Position 1918: 0.0021965041654235713
Position 4612: 0.002099357412736084
Position 264: 0.0019989667424304565
Position 1998: 0.001861062723113739
Position 3980: 0.0018394601980258522
Position 2344: 0.0018210424991963636
Position 4213: 0.0017994699852354878
Position 2162: 0.001641355754236508
Position 2921: 0.0016257430052885277
Position 1951: 0.001623020299949797
Position 1735: 0.0015749719588590292
Position 4776: 0.0015634690559528394
Position 1769: 0.0013868356804317965
Position 3064: 0.001375330503329138
Position 4239: 0.0013251992810166936
Position 3641: 0.0013114172903806744
Position 1939: 0.001311179063731448
Position 4045: 0.0013070335571168752
Position 4306: 0.0012309872172932158
Position 5336: 0.0011517715647851286
Position 2821: 0.0010640641190099033
Position 1396: 0.001062024441371813
Position 857: 0.0010564451193970934
Position 534: 0.0010509914469395885
Position 574: 0.0009581394226994772
Position 1071: 0.0009085556184416567
