Gene = Neos
index = 1315
Annotated 5SS: [669]
Annotated 3SS: [731]
SMsplice 5SS: [669]
SMsplice 3SS: [731]
top_k =  1000
Partition function (log Z): -5.34376461845845

Sorted 5' Splice Sites (High to Low Probability):
Position 669: 0.9982742149930595
Position 904: 0.05674525075504481
Position 915: 0.02752359309625407
Position 164: 0.013956680751199173
Position 862: 0.012471011989806893
Position 352: 0.01011590384004881
Position 922: 0.00783243213263866
Position 855: 0.007152347030119745
Position 11: 0.002146572940531509
Position 496: 0.0021172381571396026
Position 216: 0.0018600407261224504
Position 1177: 0.0009510315808840705
Position 95: 0.0009203961409169788
Position 823: 0.00033994563796067054
Position 617: 0.0002594138217216519
Position 673: 0.00017305674448728613
Position 57: 0.00017051369203519888
Position 168: 0.0001652229881150508
Position 1126: 0.00016222658526194998
Position 787: 0.00012083583787432394
Position 568: 0.00010640337429307112
Position 209: 5.410778288003038e-05
Position 81: 4.57098547496551e-05
Position 331: 4.208962803818481e-05
Position 386: 3.747921161814927e-05
Position 191: 2.9099289628090832e-05
Position 868: 2.0923911218299382e-05
Position 1119: 2.0585782653432016e-05
Position 468: 2.0367780415641378e-05
Position 186: 1.6637217180389375e-05
Position 420: 1.2960409682483895e-05
Position 649: 1.1394170527748079e-05
Position 30: 1.005164672408565e-05
Position 1379: 9.218286118498908e-06
Position 781: 7.697363243023037e-06
Position 1416: 5.1439535385760764e-06
Position 415: 4.693375830467695e-06
Position 1270: 4.613655696291861e-06
Position 574: 3.83343943286571e-06
Position 166: 3.797134823037292e-06
Position 305: 2.2587621075784673e-06
Position 773: 1.89101762534097e-06
Position 227: 1.577797320570548e-06
Position 594: 1.4246309863952125e-06
Position 1137: 1.4158622693274099e-06
Position 394: 1.285590230328159e-06
Position 589: 1.1001343276598151e-06
Position 379: 8.780905511764525e-07
Position 581: 6.589644481422645e-07
Position 808: 6.414368923840908e-07
Position 1012: 6.341405618427834e-07
Position 1113: 4.672610957031933e-07
Position 220: 4.5425720614357454e-07
Position 1381: 3.5013401821494455e-07
Position 222: 1.4272463935478726e-07
Position 1362: 8.668923334648468e-08
Position 249: 6.314492995518716e-08
Position 1023: 6.943841093338128e-11
Position 1009: 8.697026930165357e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 731: 0.9693454290946079
Position 986: 0.1346575395418132
Position 230: 0.008578024012392318
Position 420: 0.006909469418894912
Position 259: 0.006215360490433517
Position 742: 0.0037618250156823347
Position 227: 0.0024277030976297947
Position 559: 0.0022918539486278993
Position 999: 0.001726762828918673
Position 545: 0.0011111035972463667
Position 509: 0.0007657586859872494
Position 1222: 0.0007575521496869167
Position 1119: 0.0007169932947628827
Position 77: 0.0006943597696993276
Position 562: 0.0005733798182064234
Position 161: 0.0003494166332453946
Position 1224: 0.0003454569066920543
Position 879: 0.00031974009733635013
Position 804: 0.0003167915164917468
Position 480: 0.00022847682765716015
Position 402: 0.00020573383502542298
Position 285: 0.00016771711046719315
Position 1315: 0.00016644541535855835
Position 399: 0.0001497192160858237
Position 209: 0.00013964188072889268
Position 567: 0.00010819134170984413
Position 773: 9.046489642060846e-05
Position 81: 8.403511535015254e-05
Position 1062: 7.44667309449815e-05
Position 954: 6.367925916165932e-05
Position 468: 6.32681976817688e-05
Position 702: 5.912709342727513e-05
Position 522: 5.4728318479782445e-05
Position 1311: 5.284054295101492e-05
Position 1459: 5.1143930539186424e-05
Position 1147: 4.7943526441550805e-05
Position 1071: 3.917829447297271e-05
Position 817: 3.376244464066765e-05
Position 1125: 3.122565503374386e-05
Position 1041: 1.927910527762289e-05
Position 1093: 1.1459262305619355e-05
Position 263: 1.0044202409850214e-05
Position 1286: 9.70619831750577e-06
Position 1263: 9.362018547182205e-06
Position 1210: 9.224211894952653e-06
Position 1242: 9.034786431800034e-06
Position 1047: 8.942038770939464e-06
Position 1239: 7.003902463064513e-06
Position 765: 6.462484586450697e-06
Position 598: 6.394397765669265e-06
Position 345: 6.340512520719399e-06
Position 1250: 3.848968690707053e-06
Position 649: 3.84807143757903e-06
Position 200: 3.554147015938707e-06
Position 94: 2.86825216553317e-06
Position 1203: 2.7609565928570034e-06
Position 366: 2.605385152320596e-06
Position 234: 2.406373732212691e-06
Position 1467: 2.3453261489051295e-06
Position 1137: 2.173485227376902e-06
Position 579: 2.0067812146869952e-06
Position 574: 1.9841562658002497e-06
Position 379: 1.5819045438197268e-06
Position 1236: 1.575978489451545e-06
Position 1440: 1.4725655413591739e-06
Position 432: 1.4025154242329266e-06
Position 822: 1.1896081722546914e-06
Position 108: 1.186762368025409e-06
Position 607: 1.095797234245908e-06
Position 1360: 9.878451338508709e-07
Position 1230: 9.377987878308435e-07
Position 1443: 8.907678218648463e-07
Position 1158: 8.22454462333952e-07
Position 885: 8.199919624192023e-07
Position 1270: 7.908346042360836e-07
Position 1085: 7.702948001693915e-07
Position 1320: 7.132179885670847e-07
Position 896: 5.928668580942806e-07
Position 91: 5.414543516514284e-07
Position 1425: 4.986229440705966e-07
Position 303: 4.4709803425915485e-07
Position 1400: 3.7896072168916254e-07
Position 756: 2.9984955794222257e-07
Position 1323: 2.845381179885176e-07
Position 435: 2.4927772035431823e-07
Position 904: 2.1354276049450924e-07
Position 348: 1.6199605396672722e-07
Position 448: 7.689928035098638e-08
Position 642: 5.908307731234651e-08
Position 663: 2.6054333684152866e-08
Position 305: 1.8643468410885218e-08
Position 613: 1.1776908861675517e-08
Position 616: 3.848700457089412e-09
