Gene = dunk
index = 1680
Annotated 5SS: [5]
Annotated 3SS: [130]
SMsplice 5SS: [43]
SMsplice 3SS: [110]
top_k =  1000
Partition function (log Z): -9.83322632368548

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.9068626520783883
Position 201: 0.05147242750243753
Position 892: 0.018709722552925218
Position 733: 0.014753763497009204
Position 508: 0.013602784628413517
Position 694: 0.00728950447638703
Position 47: 0.004879752985255618
Position 272: 0.004656804079802973
Position 957: 0.0025762480535074447
Position 499: 0.0011704397133615871
Position 64: 0.0008717253583019022
Position 586: 0.0008385969836035717
Position 226: 0.0006859384554084891
Position 467: 0.00045288185590179044
Position 515: 0.0004067954405927484
Position 698: 0.00023131659503176577
Position 441: 0.00020916495596653935
Position 100: 0.00017665789326738024
Position 630: 0.00012009092134128748
Position 828: 0.00010737496854490238
Position 205: 9.238673578325974e-05
Position 906: 6.675294488637987e-05
Position 256: 5.227537096144981e-05
Position 594: 1.9820143804176015e-05
Position 327: 1.9174713710769168e-05
Position 571: 1.8196057698316414e-05
Position 601: 1.7125902341665203e-05
Position 262: 1.6666123013323204e-05
Position 955: 1.0321803564836016e-05
Position 35: 9.169093167025964e-06
Position 136: 6.026045386523407e-06
Position 91: 4.709197407052394e-06
Position 19: 4.243473095099302e-06
Position 769: 2.9616628196496614e-06
Position 5: 2.9588332434759537e-06
Position 855: 8.215446905749664e-07
Position 835: 6.619671516457049e-07
Position 862: 6.447206632316474e-07
Position 418: 1.7876235229900864e-07
Position 620: 8.172399531587949e-08
Position 251: 3.8058916384001616e-08
Position 83: 2.6484312181481945e-08
Position 37: 2.0048695299158728e-08
Position 573: 1.6446566404411684e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 110: 0.3021164811307032
Position 201: 0.13760958827325248
Position 180: 0.10243845772195387
Position 247: 0.07915747233217472
Position 332: 0.07565928397171341
Position 226: 0.059306745317366405
Position 775: 0.047076641089456736
Position 814: 0.03984108008408633
Position 1006: 0.0325804101413062
Position 287: 0.02363322176277949
Position 538: 0.02190101200214904
Position 783: 0.01844239782414899
Position 130: 0.018043583991751672
Position 974: 0.0132208783265226
Position 662: 0.011844245101874219
Position 354: 0.00934411942813942
Position 163: 0.008344148243543372
Position 146: 0.007517963485645106
Position 777: 0.007106435239524199
Position 304: 0.0038807733892604595
Position 136: 0.0020901589951802454
Position 584: 0.0016782069336233895
Position 608: 0.0015222141575795386
Position 358: 0.0013188096114876663
Position 882: 0.0009420425649159256
Position 820: 0.0005679500002185875
Position 666: 0.00045934274177185933
Position 843: 0.00040097040657113115
Position 615: 0.00035640235347952486
Position 633: 0.00031799230016412393
Position 732: 0.00031762808838006274
Position 790: 0.00026181922805926765
Position 455: 0.00022147421823786318
Position 618: 0.00012100428385840507
Position 376: 0.0001157853018707148
Position 393: 0.00010110948783982193
Position 209: 9.419394345029133e-05
Position 947: 8.37167008234817e-05
Position 715: 7.683059773786305e-05
Position 403: 5.9016897375130204e-05
Position 325: 5.553870256568473e-05
Position 727: 4.475415926393536e-05
Position 891: 4.39313257730807e-05
Position 499: 3.4073082057252754e-05
Position 805: 2.7076639176470252e-05
Position 855: 1.4757050326362716e-05
Position 847: 9.455058599882798e-06
Position 165: 8.382261756827737e-06
Position 493: 6.72040850000222e-06
Position 441: 3.6014529128446892e-06
Position 594: 7.11978126327106e-09
Position 327: 6.0270229992633384e-09
Position 470: 4.548870266094296e-09
Position 198: 3.6609158448423884e-09
Position 50: 9.459173091286692e-10
Position 367: 7.152351222407419e-10
Position 464: 2.0806459904513416e-11
Position 388: 3.602649926162972e-12
Position 71: 4.955952403582197e-13
Position 73: 1.1870649652167935e-13
Position 418: 1.5993113105272406e-22
