Gene = Tudor-SN
index = 1577
Annotated 5SS: [ 263 2403 4070]
Annotated 3SS: [1561 2633 4466]
SMsplice 5SS: [ 263 2403 2786 4070]
SMsplice 3SS: [1017 2633 2835 4466]
top_k =  1000
Partition function (log Z): 0.46770322829261723

Sorted 5' Splice Sites (High to Low Probability):
Position 263: 0.954899778863958
Position 4070: 0.9287188775630184
Position 2786: 0.8649371545566985
Position 2403: 0.7886239613536902
Position 2952: 0.42786018098292866
Position 4650: 0.27739715776099116
Position 4282: 0.23155283492563866
Position 3779: 0.059944731351282414
Position 1018: 0.0362747371211821
Position 1330: 0.03210712108557552
Position 1376: 0.028915755587832086
Position 4388: 0.020455868092906122
Position 1754: 0.018973948801954927
Position 2096: 0.017737948995737506
Position 3099: 0.015990083178341472
Position 1991: 0.014947531036640191
Position 2285: 0.01393772697069248
Position 3066: 0.013380773372810252
Position 2460: 0.011401834649015922
Position 1073: 0.008984195448300925
Position 4396: 0.007838942390494442
Position 3089: 0.007330785548017415
Position 4626: 0.005933384678299939
Position 1815: 0.00591491901829964
Position 553: 0.005881009355708143
Position 433: 0.0056980610204561055
Position 5095: 0.005078879705354101
Position 3595: 0.00488875371060413
Position 3792: 0.0041504702816231925
Position 1187: 0.004128458266946424
Position 3380: 0.004116470011376056
Position 2762: 0.003941218858695566
Position 1746: 0.003882084829670181
Position 507: 0.0037260210881556897
Position 2753: 0.003696782890970916
Position 767: 0.0036579139539996445
Position 453: 0.0035762466400742067
Position 1235: 0.0032217437791935703
Position 2756: 0.002992480032380871
Position 771: 0.0025896296088213015
Position 1402: 0.0025025264110185817
Position 1419: 0.0022166374529193266
Position 1580: 0.002205550818983122
Position 2419: 0.001630622579065362
Position 4207: 0.0016303788180968282
Position 254: 0.0016231342752339214
Position 357: 0.0015843966116027102
Position 4325: 0.0015497433994700817
Position 427: 0.0014125119039320286
Position 4898: 0.0013303110141828884
Position 2964: 0.001152774847784205
Position 4274: 0.0011509605614238535
Position 4424: 0.0011374123874520925
Position 696: 0.0010978059930261126
Position 4535: 0.001085812913897462
Position 1452: 0.0010398015625059257
Position 2368: 0.0010205533852446973
Position 2207: 0.0009825554910558112
Position 339: 0.0009293382748543964
Position 4835: 0.0009247830117864596
Position 5253: 0.0007969114858141462
Position 1731: 0.0007948309272859068
Position 2078: 0.0006803729418554025
Position 4840: 0.0005642709306339541
Position 596: 0.0005392090000430468
