Gene = DNApol-alpha50
index = 1126
Annotated 5SS: [ 186 2821]
Annotated 3SS: [2651 2876]
SMsplice 5SS: [ 186 2821]
SMsplice 3SS: [2651 2876]
top_k =  1000
Partition function (log Z): -4.902776991917138

Sorted 5' Splice Sites (High to Low Probability):
Position 2821: 0.9906000284385043
Position 186: 0.5055534390418549
Position 944: 0.4541817433357181
Position 774: 0.24211197065649345
Position 770: 0.23753119713564655
Position 3122: 0.10091857966251237
Position 968: 0.04093494084343303
Position 3149: 0.0365186827353627
Position 1108: 0.029783613070656488
Position 210: 0.02188482454582802
Position 3020: 0.016666233152898172
Position 2593: 0.010291320655777429
Position 2263: 0.006915560720134265
Position 1052: 0.005860743154981871
Position 2268: 0.004726759499941747
Position 3252: 0.004456745727821354
Position 3790: 0.003704393581925733
Position 1079: 0.003252781578417311
Position 2157: 0.002947997669215862
Position 1056: 0.002885510218031827
Position 2066: 0.0028283961351309663
Position 3191: 0.0028192109220651755
Position 1139: 0.0028063679988689825
Position 2385: 0.002418544756437865
Position 973: 0.0021450005651886344
Position 2810: 0.0020549711603213405
Position 559: 0.002034847942760825
Position 833: 0.0019156238961210012
Position 3261: 0.001748421793950666
Position 1097: 0.0017268913904001806
Position 309: 0.001713187233234202
Position 121: 0.0016452067080533653
Position 1379: 0.0014181359750655691
Position 2335: 0.0012790979378778501
Position 3806: 0.0012709164493462596
Position 2288: 0.001228152452960395
Position 172: 0.0011637947267146617
Position 2555: 0.0011126477475403606
Position 2373: 0.0010928255965967975
Position 3176: 0.001044971318946399
Position 1193: 0.0009541404484811739
Position 1596: 0.0008609634136422983
Position 314: 0.0007554003224112724
Position 2039: 0.0007431132167446128
Position 2825: 0.0007031139701388509
Position 326: 0.0006380624265827006
Position 77: 0.0005777352679831714
Position 1521: 0.0005706936747239285
Position 714: 0.00050669689785265
Position 1417: 0.00048596700345600053
Position 4: 0.00048519131665149154
Position 3788: 0.0004839245398019911
Position 75: 0.00047888011326950765
Position 1031: 0.00047727505897605525
Position 1467: 0.000438852538981265
Position 1643: 0.00043799754645996845
Position 1118: 0.0003553837092291418
Position 601: 0.0003493929954149411
Position 3458: 0.0003432973242400116
Position 3275: 0.0003073518906261346
Position 1862: 0.00022439629038717147
Position 1062: 0.00022211008537797384
Position 3677: 0.0002211792136711505
Position 1364: 0.00021210592642878146
Position 3616: 0.00020358435826664206
Position 144: 0.00017259688037115452
Position 52: 0.00011924856435176391
Position 3445: 0.00011335165095276513
Position 3169: 0.0001122108744016373
Position 2316: 9.136192788618805e-05
Position 3048: 8.957348108882266e-05
Position 1149: 8.48208907590684e-05
Position 3081: 8.331974797236935e-05
Position 1886: 7.280775568373818e-05
Position 2762: 6.43814458107564e-05
Position 2415: 6.277016921125194e-05
Position 3222: 6.178974933210819e-05
Position 1366: 4.9691689253697115e-05
Position 465: 4.8611807760116484e-05
Position 1955: 4.006610459011787e-05
Position 1216: 3.655864092169976e-05
Position 1842: 3.454298925222566e-05
Position 675: 3.432357072345902e-05
Position 3725: 3.149169753210739e-05
Position 3434: 2.894389700063908e-05
Position 2800: 2.5353673231167126e-05
Position 3126: 2.347703920237141e-05
Position 273: 1.6171605577077126e-05
Position 2901: 1.5490622775731673e-05
Position 263: 1.4066588393803756e-05
