Gene = Gem2
index = 1186
Annotated 5SS: [ 20 310]
Annotated 3SS: [ 86 360]
SMsplice 5SS: [310]
SMsplice 3SS: [360]
top_k =  1000
Partition function (log Z): -3.517727223278582

Sorted 5' Splice Sites (High to Low Probability):
Position 310: 0.9990908407761202
Position 20: 0.015299064873074392
Position 461: 0.009525834991395558
Position 965: 0.009398198052513908
Position 883: 0.003212504104353557
Position 649: 0.0026916133567293056
Position 847: 0.002104505269358836
Position 48: 0.0019133880056250573
Position 88: 0.0018941300953207478
Position 1140: 0.0006818638625932942
Position 687: 0.0005945975300984304
Position 244: 0.00032952664755366094
Position 300: 0.00031006332080592633
Position 799: 0.0002815252981518727
Position 448: 0.0002598638625159022
Position 25: 0.00023149023525329777
Position 1041: 0.00019079340074425343
Position 86: 6.938309837840091e-05
Position 700: 6.213778226475297e-05
Position 314: 6.059525127333059e-05
Position 146: 5.470092679132103e-05
Position 418: 2.579507679774454e-05
Position 1113: 2.5118644580024277e-05
Position 241: 2.4343399613819202e-05
Position 897: 1.915309862525461e-05
Position 198: 1.53781392838534e-05
Position 624: 1.4987213916412462e-05
Position 1126: 1.327051342150119e-05
Position 937: 1.0701321133527095e-05
Position 381: 9.798247883979602e-06
Position 454: 9.532281423937854e-06
Position 732: 6.937945555505736e-06
Position 186: 6.852963929420245e-06
Position 1089: 6.836342247814652e-06
Position 213: 4.4091117629558826e-06
Position 841: 3.661329863269829e-06
Position 730: 3.3077173708826636e-06
Position 468: 2.749631236034597e-06
Position 667: 2.680634816537389e-06
Position 973: 2.4935722426371624e-06
Position 492: 2.367468650015346e-06
Position 992: 6.637040500476829e-07
Position 233: 2.2325265196809577e-07
Position 338: 1.1488014007814059e-07
Position 161: 8.606204796833634e-09
Position 375: 1.520957492392897e-09
Position 366: 3.377808340504103e-10
Position 354: 4.216727717681009e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 360: 0.9951816334459943
Position 1045: 0.010181875725401577
Position 522: 0.00920641626090462
Position 99: 0.0071069787267363915
Position 86: 0.006832423266760703
Position 132: 0.004682317406795635
Position 381: 0.002311744543724154
Position 997: 0.0015233027874151657
Position 1012: 0.0014599543101301775
Position 436: 0.0014297755296141983
Position 1197: 0.001313613644675898
Position 902: 0.001072292426313245
Position 1109: 0.0008243954235769873
Position 846: 0.0007504734906873279
Position 949: 0.0006644555848156218
Position 737: 0.0006016696616641327
Position 174: 0.0005151864233058421
Position 918: 0.00043295768529086446
Position 366: 0.00038375460750349666
Position 897: 0.00037606610070597425
Position 858: 0.000372780238919026
Position 789: 0.00033553433182140327
Position 1052: 0.0002715283079675881
Position 161: 9.957750629225919e-05
Position 1168: 6.793045860520991e-05
Position 177: 6.229008237483479e-05
Position 158: 5.574247985215199e-05
Position 555: 4.8252949743054775e-05
Position 433: 3.4855091402405905e-05
Position 1140: 2.820412188885984e-05
Position 882: 2.6881760625892714e-05
Position 1171: 2.4572823552155306e-05
Position 1076: 2.454727622022285e-05
Position 492: 2.0698502322712262e-05
Position 620: 2.0354525364570653e-05
Position 295: 1.913605048755746e-05
Position 447: 1.858785450721113e-05
Position 1126: 1.7039256927855992e-05
Position 525: 1.1116068299360794e-05
Position 792: 8.249886893957753e-06
Position 465: 7.572775723953021e-06
Position 652: 7.430472496474594e-06
Position 956: 5.621984847595712e-06
Position 269: 5.213665976558552e-06
Position 338: 4.104826040153669e-06
Position 141: 2.755182111674828e-06
Position 870: 2.6586545897760456e-06
Position 117: 2.5310043584684972e-06
Position 552: 2.487068428543207e-06
Position 633: 2.1342320710868596e-06
Position 811: 1.8588561219760783e-06
Position 254: 1.1110574990904086e-06
Position 112: 1.0065322421133297e-06
Position 600: 8.647364638966353e-07
Position 454: 3.9518153309710007e-07
Position 238: 3.3189771469650595e-07
Position 418: 2.467256423885683e-07
Position 534: 1.229026272764941e-07
Position 224: 8.900346872279142e-08
Position 228: 6.641807873916206e-08
Position 184: 6.08982746309526e-08
Position 105: 5.36203062236211e-08
Position 196: 4.708694316267981e-08
Position 222: 3.536691432433566e-08
Position 297: 2.0632287375916783e-08
Position 198: 1.9021343413736005e-08
Position 186: 6.663677137665979e-10
Position 624: 5.798404871918595e-10
Position 468: 1.490663509009826e-11
Position 314: 5.2185667325759265e-12
Position 150: 4.62007573480914e-12
Position 414: 1.293017514344725e-13
