Gene = Tspo
index = 1574
Annotated 5SS: [426]
Annotated 3SS: [484]
SMsplice 5SS: [426]
SMsplice 3SS: [484]
top_k =  1000
Partition function (log Z): -5.493919421872844

Sorted 5' Splice Sites (High to Low Probability):
Position 426: 0.9945891386632334
Position 699: 0.12732101205729207
Position 726: 0.092521522861884
Position 694: 0.029609594180986687
Position 200: 0.0007628853341473885
Position 430: 0.0007016256971902095
Position 356: 0.00033350282363852057
Position 45: 0.00021335273994259907
Position 843: 5.324250248111341e-05
Position 300: 3.558998676438146e-05
Position 135: 2.460888983264156e-05
Position 269: 2.30631427417151e-05
Position 455: 1.1840571681379554e-05
Position 736: 8.161780370043477e-06
Position 243: 4.914597842798301e-06
Position 72: 4.613809112079913e-06
Position 307: 3.9349151935604e-06
Position 548: 3.533440404721809e-06
Position 97: 3.031109310078453e-06
Position 575: 2.1269363047410152e-06
Position 101: 1.4670475241570227e-06
Position 520: 1.3895213058148195e-06
Position 500: 6.911456763970262e-07
Position 32: 6.878147258680015e-07
Position 215: 6.691314118662413e-07
Position 738: 6.006683553225092e-07
Position 257: 5.610625839387086e-07
Position 386: 5.008742736550417e-07
Position 103: 4.282827517851302e-07
Position 584: 3.57601458945713e-07
Position 792: 2.246824723186005e-07
Position 815: 1.4636133116533552e-07
Position 457: 1.1758334720274827e-07
Position 462: 1.0183506252901015e-07
Position 538: 7.230313375261429e-08
Position 862: 3.4093223763445216e-08
Position 533: 2.4636240395320544e-08
Position 302: 7.661858723711965e-09
Position 221: 2.3864901997510932e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 484: 0.9916262591092195
Position 757: 0.1554059814113359
Position 780: 0.09722934055216781
Position 500: 0.0010425763194796935
Position 815: 0.0003056727413159705
Position 905: 0.00014566508889000943
Position 556: 0.00013934391989146833
Position 230: 9.681606571452032e-05
Position 410: 7.273120743904426e-05
Position 368: 4.7420569852866266e-05
Position 812: 3.3562996257521685e-05
Position 792: 2.9116142663901777e-05
Position 194: 1.6788650663645697e-05
Position 181: 1.4065518327111458e-05
Position 631: 1.3317993036366919e-05
Position 548: 6.4247466564743515e-06
Position 215: 6.202562825810972e-06
Position 843: 3.8855657748527846e-06
Position 454: 1.5203062376722256e-06
Position 649: 6.310538461465995e-07
Position 185: 5.800949612100896e-07
Position 449: 4.259950501113696e-07
Position 652: 4.1651230616797125e-07
Position 646: 1.7899296267986807e-07
Position 196: 1.6011264954009322e-07
Position 726: 9.888979686475758e-08
Position 709: 8.70467109347503e-08
Position 422: 4.566790971331806e-08
Position 704: 4.1311926197755944e-08
Position 684: 7.1464050826236915e-09
Position 332: 7.042387310038814e-09
Position 661: 2.2355239567259737e-09
Position 673: 1.7859821033581313e-09
Position 643: 1.7739595317682083e-09
Position 694: 1.6275240569981463e-09
Position 430: 8.753825332691726e-10
Position 681: 6.499643853523595e-10
Position 670: 3.684049192595364e-10
Position 318: 7.991335722559608e-11
Position 667: 2.26444332805601e-12
