Gene = hgo
index = 1726
Annotated 5SS: [  55  683  938 1124 1309 1656 1893]
Annotated 3SS: [ 412  750 1002 1177 1373 1710 1955]
SMsplice 5SS: [ 683  938 1124 1309 1656 1893]
SMsplice 3SS: [ 750 1002 1177 1400 1710 1955]
top_k =  1000
Partition function (log Z): 13.29383329673173

Sorted 5' Splice Sites (High to Low Probability):
Position 1124: 0.9878378207514943
Position 683: 0.9861010739068085
Position 1893: 0.9787622801075563
Position 1309: 0.96650611550023
Position 938: 0.9444400267062514
Position 1656: 0.9187415162643919
Position 1477: 0.12447699752619458
Position 55: 0.09358813429318384
Position 1458: 0.08567920681435286
Position 1511: 0.07216487799073107
Position 1499: 0.051044693208268384
Position 188: 0.029659958577012126
Position 1615: 0.027252088598653624
Position 199: 0.022942699054645417
Position 923: 0.018805148758231003
Position 110: 0.01820236738648242
Position 1302: 0.01574543643929181
Position 130: 0.013514917297324791
Position 974: 0.011007363034551135
Position 1101: 0.008723002744668987
Position 244: 0.0032999138909095764
Position 695: 0.0031069244103541427
Position 393: 0.0023924382926314145
Position 332: 0.0022251451813654908
Position 1660: 0.001945652180879494
Position 1492: 0.0019295870138967644
Position 1897: 0.0012030642386215323
Position 250: 0.0012003618993215775
Position 1286: 0.0011334211624879984
Position 823: 0.0010236070143772398
Position 166: 0.0007966262821570605
Position 1611: 0.00069222480328477
Position 1107: 0.000541791999039859
Position 268: 0.0005396460012308303
Position 430: 0.0004466539568476044
Position 412: 0.00042433057177214216
Position 321: 0.00032061859141970314
Position 91: 0.00027414773602533067
Position 325: 0.0002679748634699798
Position 382: 0.0002678223431157469
Position 357: 0.00025827959500857034
Position 423: 0.0002440410769651958
Position 1843: 0.00023095506281146003
Position 164: 0.0002153287064826924
Position 42: 0.00017809076709253402
Position 857: 0.00017333815792552337
Position 1382: 0.00015497205582865864
Position 258: 0.00014483605911396843
Position 457: 0.00014007988404888484
Position 1929: 0.00013076884686070143
Position 497: 0.00012445507137603736
Position 89: 0.00012242613199681514
Position 83: 0.0001000836791759976
Position 1283: 8.474838825098083e-05
Position 281: 6.256646335290452e-05
Position 637: 6.121179966269459e-05
Position 1445: 6.014210317559736e-05
Position 142: 5.6444411996071926e-05
Position 265: 5.4871491044072846e-05
Position 1527: 4.6227240367234454e-05
Position 1595: 3.941750394283603e-05
Position 1619: 3.8770412742470975e-05
Position 298: 3.7919724765534765e-05
Position 327: 3.451774379258897e-05
Position 476: 3.409834186771712e-05
Position 312: 2.9778619118691923e-05
Position 950: 2.9063656021466306e-05
Position 1442: 2.6828366046175492e-05
Position 120: 1.769642691377713e-05
Position 1246: 1.6221098119246028e-05
Position 1074: 1.5958377664116806e-05
Position 537: 1.4181453217565911e-05
Position 1466: 1.3581192722129844e-05
Position 1912: 1.2884658696403124e-05
Position 1135: 1.2064399351469157e-05
Position 203: 9.920019458306753e-06
Position 645: 9.317674637779952e-06
Position 1049: 9.14390173796619e-06
Position 1486: 7.73775140147091e-06
Position 287: 7.163263250663807e-06
Position 1863: 6.166934859046579e-06
Position 966: 4.8727436557940295e-06
Position 175: 4.510643458896318e-06
Position 574: 4.142246368859218e-06
Position 1997: 3.9679482582475345e-06
Position 1547: 3.805307525461831e-06
Position 225: 3.796296115088947e-06
Position 1751: 3.5213290085619774e-06
Position 1832: 2.2685891191336845e-06
Position 1194: 2.18112310773123e-06
Position 10: 2.1008914216367784e-06
Position 851: 1.3934928155988501e-06
Position 1237: 1.3482983277882527e-06
Position 589: 1.3064721198769155e-06
Position 1937: 1.121306824683503e-06
Position 953: 9.026483803013039e-07
Position 499: 7.994576224199821e-07
Position 1228: 6.886451595370301e-07
Position 1037: 4.1469379173356664e-07
Position 1433: 4.0398272189534386e-07
Position 796: 3.882065639482379e-07
Position 964: 3.6919825835915227e-07
Position 1180: 2.797994578632322e-07
Position 1017: 2.565799969289789e-07
Position 1401: 2.4942517244090816e-07
Position 1278: 2.446921543506812e-07
Position 1875: 1.8996978283088718e-07
Position 1819: 1.6255478846329424e-07
Position 1053: 1.3673853486157152e-07
Position 827: 1.0257581977696135e-07
Position 1694: 8.585584265801958e-08
Position 1827: 6.477947808652218e-08
Position 1981: 2.5761764828830123e-08
Position 1964: 1.8104060248907984e-08
Position 1170: 1.6831356802678915e-08
Position 755: 1.4341297039085999e-08
