Gene = mTerf3
index = 1783
Annotated 5SS: [819]
Annotated 3SS: [877]
SMsplice 5SS: [819]
SMsplice 3SS: [877]
top_k =  1000
Partition function (log Z): -2.4702894003737272

Sorted 5' Splice Sites (High to Low Probability):
Position 819: 0.9885527016616725
Position 146: 0.028523544287026754
Position 791: 0.0096455585309702
Position 168: 0.006417819980570449
Position 521: 0.0026283656172195733
Position 404: 0.0020172122555914846
Position 345: 0.0008113421145401797
Position 377: 0.0005197192280919694
Position 630: 0.00047837888757303927
Position 788: 0.00027074502991392927
Position 132: 0.0002686884774289901
Position 213: 0.00022312893017403172
Position 303: 0.00020216572690884063
Position 676: 0.0001780692924921826
Position 823: 0.00016906903983824936
Position 51: 0.00016634034518066214
Position 263: 0.00016575435846991637
Position 290: 0.00014922098946143104
Position 152: 0.00012600083694674167
Position 332: 6.478548112381853e-05
Position 428: 4.709938700760745e-05
Position 621: 3.58220282884989e-05
Position 780: 3.425272671355507e-05
Position 440: 3.3959847922497445e-05
Position 134: 3.380609018912564e-05
Position 39: 3.2323841656955145e-05
Position 154: 3.005921556762785e-05
Position 230: 2.9022678507122297e-05
Position 730: 2.8232614400773097e-05
Position 34: 2.3137357853157347e-05
Position 657: 1.8751905587876013e-05
Position 660: 9.709205716270725e-06
Position 466: 8.909016327354591e-06
Position 1115: 7.833431850969003e-06
Position 646: 5.102299385831274e-06
Position 614: 4.946425533056421e-06
Position 421: 3.3833794051436867e-06
Position 487: 2.2076938175728344e-06
Position 995: 1.6477159376668352e-06
Position 1002: 1.522252102760546e-06
Position 853: 1.1765302232890647e-06
Position 1050: 6.412210915876641e-07
Position 598: 3.692672185511217e-07
Position 1105: 1.9925284903375037e-07
Position 736: 1.0410971678101217e-07
Position 734: 9.191493017864782e-08
Position 905: 5.851724479699091e-08
Position 1072: 5.733134325310518e-08
Position 1096: 3.285326745291117e-08
Position 892: 3.0587076841565216e-08
Position 951: 3.7740735874755275e-09
Position 946: 2.4226906534715968e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 877: 0.9997157709805315
Position 609: 0.015147473285457362
Position 462: 0.009893448440506077
Position 230: 0.0032516027555877106
Position 313: 0.002283192164171754
Position 436: 0.0021619306238991214
Position 730: 0.001944938390568128
Position 196: 0.001716710102490127
Position 580: 0.001517572844224585
Position 643: 0.0013194232568128884
Position 687: 0.0006186080120541965
Position 184: 0.00039519402243610085
Position 748: 0.000345456524892445
Position 218: 0.00028042448184774853
Position 227: 0.00024351065955699225
Position 918: 0.00013379664122423833
Position 324: 0.00011894098168294644
Position 345: 8.898295088552738e-05
Position 942: 8.827071272502221e-05
Position 514: 8.503528141290215e-05
Position 493: 7.657134806098624e-05
Position 541: 6.683321013394196e-05
Position 409: 5.779067475087376e-05
Position 543: 5.6554841420532e-05
Position 385: 5.4338553590740876e-05
Position 537: 4.4464915753293156e-05
Position 561: 3.955265034707442e-05
Position 496: 3.509976224925041e-05
Position 193: 3.330053141474549e-05
Position 646: 2.3846218372818334e-05
Position 751: 1.794708913517653e-05
Position 905: 1.6742661603195833e-05
Position 303: 1.554203527662743e-05
Position 845: 1.4056112744994382e-05
Position 557: 1.2604424571581748e-05
Position 772: 1.117501755276707e-05
Position 1169: 8.182818057283939e-06
Position 361: 4.640521663987505e-06
Position 614: 4.4374102744603114e-06
Position 475: 4.266441703666784e-06
Position 983: 4.023973154722158e-06
Position 951: 3.918941628516523e-06
Position 145: 3.4592040164088908e-06
Position 1072: 3.2340828640502767e-06
Position 689: 3.202155057271478e-06
Position 397: 1.3529598688679383e-06
Position 567: 1.2721205022621579e-06
Position 519: 8.576903151721048e-07
Position 799: 5.236028827382674e-07
Position 780: 4.6495432055512596e-07
Position 1115: 4.6162856372667477e-07
Position 1045: 4.596657084090257e-07
Position 149: 2.8832552598244504e-07
Position 775: 2.853620421545041e-07
Position 256: 2.729004706837027e-07
Position 332: 2.0628284659875975e-07
Position 122: 1.7881553431791943e-07
Position 132: 1.5436594831573896e-07
Position 1156: 1.3507108001906272e-07
Position 371: 6.019751412531893e-08
Position 1022: 2.7704279873749313e-08
Position 1151: 2.6709580844817275e-08
Position 823: 7.632406223977442e-09
Position 1078: 7.565013888352716e-10
Position 152: 4.843611259822019e-11
Position 202: 4.130981225554262e-11
