Gene = snRNP-U1-70K
index = 1883
Annotated 5SS: [149]
Annotated 3SS: [227]
SMsplice 5SS: [149]
SMsplice 3SS: [227]
top_k =  1000
Partition function (log Z): -6.380300120158589

Sorted 5' Splice Sites (High to Low Probability):
Position 149: 0.9900465190977288
Position 693: 0.25370525897035084
Position 2276: 0.20806973681891056
Position 633: 0.11653520627912803
Position 1671: 0.09425698655768062
Position 2413: 0.08338804838841057
Position 768: 0.08101760940182239
Position 522: 0.03602799936349576
Position 2032: 0.03405505717670891
Position 1896: 0.029862629777481536
Position 1837: 0.0270287344728433
Position 1644: 0.015120964248268061
Position 248: 0.010606534530688664
Position 2521: 0.007805599633454073
Position 2035: 0.00624498881786121
Position 2016: 0.005170255655494465
Position 1614: 0.0032174842737860763
Position 2474: 0.0028851503285112065
Position 1763: 0.002876857366997587
Position 1168: 0.002430408151488815
Position 2726: 0.002250348614372757
Position 2531: 0.0018963215730494884
Position 2460: 0.001578742587641338
Position 1943: 0.0015468770684334632
Position 1233: 0.0014781310575440415
Position 1029: 0.0012869017011020703
Position 1371: 0.00126835901666133
Position 721: 0.001157942432397675
Position 1605: 0.001154383982959801
Position 2769: 0.001146754382951715
Position 535: 0.0011272101328215919
Position 2645: 0.001110526667906152
Position 1835: 0.0009393196589522642
Position 2760: 0.0008347314811819386
Position 1618: 0.0007554465385957794
Position 1455: 0.0007272568864616498
Position 1785: 0.0007069131852425301
Position 2816: 0.0006499565378703477
Position 95: 0.000595346867333009
Position 1867: 0.0005530884989211756
Position 2737: 0.0004901618980793555
Position 2744: 0.0004166928317292239
Position 2789: 0.00040833899746993717
Position 400: 0.0003780192475017303
Position 449: 0.00035834136413043346
Position 1660: 0.00034542418007899446
Position 2554: 0.00028155520191559276
Position 957: 0.00024976929981805434
Position 183: 0.00017835621691654303
Position 108: 0.0001538408114856549
Position 373: 0.00014780662824848126
Position 503: 0.0001382753342243806
Position 153: 0.0001144961016707625
Position 2525: 9.51217665853584e-05
Position 2006: 7.454512892251246e-05
Position 1841: 5.514441135410468e-05
Position 1483: 4.3425057733308746e-05
Position 1609: 3.925614975330978e-05
