Gene = tut
index = 1921
Annotated 5SS: [186 431]
Annotated 3SS: [251 485]
SMsplice 5SS: [186 431]
SMsplice 3SS: [251 485]
top_k =  1000
Partition function (log Z): -1.518376544042991

Sorted 5' Splice Sites (High to Low Probability):
Position 186: 0.9990625639822738
Position 431: 0.7640593751101369
Position 968: 0.10203837954028493
Position 442: 0.029259669150226847
Position 435: 0.0044821037820714634
Position 826: 0.003924908320307324
Position 902: 0.002217690334515398
Position 972: 0.0006140473414057686
Position 746: 0.00036236704454706287
Position 325: 0.0003396340996226468
Position 803: 0.0003315958673152611
Position 721: 0.00032896317719309184
Position 597: 0.00028271062909656004
Position 985: 0.00014733062431001394
Position 595: 0.00013105479130001447
Position 197: 0.00010715303979396242
Position 402: 6.964045642476821e-05
Position 192: 6.550288694585157e-05
Position 955: 6.0653648849979886e-05
Position 568: 6.061099569617605e-05
Position 330: 5.141007237920842e-05
Position 959: 3.7419004019185364e-05
Position 895: 3.1389376739414825e-05
Position 105: 2.351271189152466e-05
Position 35: 1.7753657643279438e-05
Position 918: 1.6798432583845224e-05
Position 950: 1.6037800644330605e-05
Position 892: 1.5502383672068547e-05
Position 1025: 1.5143820635625826e-05
Position 296: 1.0907557660111916e-05
Position 609: 9.942619228074711e-06
Position 1008: 7.734230522670813e-06
Position 190: 7.602709045416671e-06
Position 648: 7.5886898823974755e-06
Position 879: 6.362722066579163e-06
Position 526: 2.7169921800961044e-06
Position 634: 2.696190693648638e-06
Position 556: 2.117821756966808e-06
Position 768: 1.5822116372538586e-06
Position 681: 1.4596011602487905e-06
Position 44: 9.574950247559205e-07
Position 640: 9.332680133305519e-07
Position 707: 8.89474903706415e-07
Position 1042: 8.728019564020758e-07
Position 850: 7.513127540723415e-07
Position 138: 4.870238850370667e-07
Position 283: 4.770680651961442e-07
Position 839: 4.2501735288565316e-07
Position 218: 4.1505484609173875e-07
Position 303: 1.8203743779566397e-07
Position 516: 1.4520399811234577e-07
Position 33: 9.670225383095406e-08
Position 309: 6.011328758510475e-08
Position 265: 4.5208745398845997e-08
Position 42: 3.717257693922945e-08
Position 663: 2.8032663897469586e-08
Position 576: 1.2182196918920487e-08
Position 286: 7.710307059819976e-09
Position 209: 7.594526361468384e-09
Position 238: 4.758155125045496e-09
Position 263: 1.898042360956119e-09
Position 100: 1.2980958463887253e-09
Position 254: 3.3612717586826676e-10
Position 485: 1.4439186351695637e-10
Position 812: 2.7106401509431266e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 251: 0.9974095217132527
Position 485: 0.5676081223528178
Position 507: 0.2218849507568809
Position 1079: 0.07218734297496321
Position 1034: 0.031479120290229784
Position 524: 0.006117675812401165
Position 1146: 0.001728901209760802
Position 658: 0.0013929187041178618
Position 1116: 0.0013870815501040468
Position 1067: 0.0011103667387792689
Position 1008: 0.00106957079266539
Position 584: 0.0010274506613812526
Position 283: 0.0006274580849964938
Position 1042: 0.0004559749540999903
Position 1091: 0.00042875957806432933
Position 879: 0.000408777834797768
Position 860: 0.0003855880486485398
Position 464: 0.0003267426580437953
Position 571: 0.0003033648399746017
Position 681: 0.00015400996184809987
Position 940: 0.00011886493119009169
Position 274: 8.604985106453473e-05
Position 737: 7.764581659998767e-05
Position 707: 7.503440717460935e-05
Position 717: 5.777898094324699e-05
Position 902: 5.072511971662973e-05
Position 1051: 4.273489097012109e-05
Position 350: 4.162870874891661e-05
Position 794: 3.709453313056714e-05
Position 975: 3.2878195422584676e-05
Position 826: 1.8990717050456114e-05
Position 780: 1.8023362869134483e-05
Position 867: 1.2355450976626339e-05
Position 892: 1.1968648630802174e-05
Position 830: 1.1776014816060434e-05
Position 663: 1.1740041522286389e-05
Position 100: 1.142655873160227e-05
Position 552: 8.372514926359829e-06
Position 800: 4.444377890190465e-06
Position 1053: 3.039120404880944e-06
Position 83: 2.5734229793137904e-06
Position 138: 2.1129023817182918e-06
Position 972: 1.6234514118830484e-06
Position 603: 1.2743553451094184e-06
Position 806: 8.834078087787128e-07
Position 648: 7.813710108362226e-07
Position 640: 7.341027130746747e-07
Position 595: 6.036558600325577e-07
Position 606: 5.120950110274727e-07
Position 105: 4.732349667776727e-07
Position 413: 2.9899893651226734e-07
Position 725: 8.848306495077624e-08
Position 615: 5.216222901861517e-08
Position 316: 5.076625774937194e-08
Position 309: 4.129008540243913e-08
Position 431: 4.0310940846970336e-08
Position 179: 3.313079482601349e-08
Position 330: 2.1704112066541333e-08
Position 218: 1.0844023421106198e-09
Position 209: 2.1250970683096258e-10
Position 85: 1.9988203616071444e-10
Position 197: 1.0377784109960774e-10
Position 173: 7.734567058157659e-11
Position 721: 3.946927495560448e-11
Position 185: 2.793891659647557e-11
Position 202: 1.2758574513005241e-11
Position 227: 4.3321964158742807e-13
Position 190: 3.869813436692705e-14
