Gene = Nlg2
index = 1324
Annotated 5SS: [  638 23187 26575 27704 28104 28461 28721 28970 29174 29559 29776 30006]
Annotated 3SS: [22193 26341 27346 27907 28358 28524 28780 29030 29232 29619 29843 30064]
SMsplice 5SS: [  638 23187 26575 28104 28461 28721 28970 29174 29559 29776 30006]
SMsplice 3SS: [22193 26341 27907 28358 28524 28780 29030 29220 29619 29843 30064]
top_k =  1000
Partition function (log Z): 18.240764851126727

Sorted 5' Splice Sites (High to Low Probability):
Position 29776: 0.9997971280954555
Position 30006: 0.9996362611161649
Position 23187: 0.9968322616969538
Position 28970: 0.9918137472877903
Position 28721: 0.9779180409197616
Position 29559: 0.9688555810633384
Position 28104: 0.958192771652839
Position 28461: 0.9015954149637274
Position 29174: 0.8901633627630742
Position 638: 0.7366865511127004
Position 26575: 0.7125831832499758
Position 6786: 0.28641913751672016
Position 200: 0.0890272769611164
Position 350: 0.07969959290365275
Position 4038: 0.06996294283289634
Position 151: 0.06268312442357118
Position 14269: 0.051413965878830195
Position 28456: 0.04172379138388679
Position 10342: 0.03135870426241668
Position 10984: 0.02406336515183504
Position 29601: 0.020264523854543012
Position 31327: 0.014359855189351033
Position 28090: 0.012843969128006252
Position 14289: 0.012462930374208663
Position 29131: 0.010085352265185817
Position 29545: 0.00835501944606293
Position 663: 0.00692902859726318
Position 399: 0.0049302038568097865
Position 31066: 0.00480662178799984
Position 29257: 0.004793653138845358
Position 227: 0.0046012417796610595
Position 165: 0.0036434417251553124
Position 356: 0.0031355464946459417
Position 30727: 0.0029123750410530802
Position 28974: 0.002671688622046108
Position 29188: 0.002518852931501629
Position 430: 0.002138586536783704
Position 317: 0.0017531508425179965
Position 28470: 0.0014799921906212634
Position 205: 0.0014275272539334765
Position 153: 0.0013742668869879677
Position 1170: 0.0012080374768475
Position 29282: 0.0008383086195116611
Position 31064: 0.0007785275738849089
Position 30768: 0.0006692369105995728
Position 31087: 0.0006166900339341658
Position 30271: 0.0005743202846924287
Position 31291: 0.00043089662967986115
Position 31445: 0.0003939691728895947
Position 28670: 0.00029751591349771805
Position 5377: 0.00029089848151522054
Position 325: 0.00027981396026472127
Position 155: 0.0002760979193664131
Position 29346: 0.00026318953730552065
Position 31019: 0.00021207925330196502
Position 29182: 0.00018383107069214552
Position 31428: 0.00017396929480899203
Position 3192: 0.00016712324825191813
Position 30440: 0.0001355475163205538
Position 31110: 0.00013381474931210106
Position 29534: 0.0001254965502982597
Position 30231: 0.00011041810848925144
Position 30531: 8.808059865333282e-05
Position 31425: 7.941022438457529e-05
Position 28914: 7.827103485457646e-05
Position 30761: 7.26306540836609e-05
Position 29806: 6.16154519006318e-05
Position 29669: 5.394924380771833e-05
Position 1765: 4.739609655038933e-05
Position 31201: 4.5009660787048636e-05
Position 30797: 4.084201974983071e-05
Position 30265: 3.769307596296029e-05
Position 31688: 3.6802806783722976e-05
Position 31032: 3.657444574309808e-05
Position 28960: 3.587058727855539e-05
Position 3897: 3.491032413310699e-05
Position 29849: 3.0728605014610766e-05
Position 29074: 2.8241601728773318e-05
Position 30583: 2.3412197309252523e-05
Position 683: 2.3363432347697512e-05
Position 29592: 2.2305358769422872e-05
Position 1335: 1.817849242454381e-05
Position 29949: 1.6409080387270193e-05
Position 694: 1.5715421597290717e-05
Position 29563: 1.5111890391283119e-05
Position 31322: 1.459030045926098e-05
Position 652: 1.4342680061777051e-05
Position 29672: 1.4036526371964168e-05
Position 3494: 1.3814839244795858e-05
Position 1959: 1.3789272642023082e-05
Position 30713: 1.3776424929643042e-05
Position 1529: 1.3736714184990058e-05
Position 31558: 1.369279779200011e-05
Position 1933: 1.3348846968141363e-05
Position 3837: 1.3013742853279199e-05
Position 30207: 1.2889918603844988e-05
Position 31697: 1.2128471824153227e-05
Position 1327: 1.2078988422213516e-05
Position 29153: 1.1878691302005078e-05
Position 29531: 1.0865293778215237e-05
Position 31462: 1.0457605758788963e-05
Position 30703: 9.767203195777913e-06
Position 212: 8.523668352858358e-06
Position 2041: 8.289215188684486e-06
Position 29650: 8.1868709600317e-06
Position 1071: 8.124717231952561e-06
Position 30603: 6.652479112131229e-06
Position 1391: 6.358309480089164e-06
Position 947: 6.283009903456037e-06
Position 5658: 5.858751983678979e-06
Position 31530: 5.34810499650243e-06
Position 31702: 5.194978731887767e-06
Position 1244: 5.165527868619154e-06
Position 31481: 4.939643482836579e-06
Position 29483: 4.915581185292377e-06
Position 1131: 4.750237051838372e-06
Position 29846: 4.692377564632912e-06
Position 31501: 4.252003979824309e-06
Position 30142: 4.062250663509642e-06
Position 4869: 3.554265452519266e-06
Position 3392: 3.5043608628787835e-06
Position 30471: 3.289394225591726e-06
Position 29549: 3.108174881714192e-06
Position 2328: 3.023959981594505e-06
Position 1273: 2.9937515963548384e-06
Position 160: 2.9895505815277082e-06
Position 578: 2.9699146270304995e-06
Position 4404: 2.816460233066553e-06
Position 30647: 2.6873348930103397e-06
Position 1191: 2.4822544677634533e-06
Position 323: 2.3961492891847914e-06
Position 29653: 2.2377932896523e-06
Position 30618: 2.186571865345473e-06
Position 3457: 2.1269253186279484e-06
Position 162: 2.03355922768476e-06
Position 31648: 1.9531392070778046e-06
Position 30645: 1.948982563348144e-06
Position 170: 1.8287442697822092e-06
Position 30215: 1.7260297436840535e-06
Position 31627: 1.5409154190126043e-06
Position 28885: 1.4553996832056377e-06
Position 2710: 1.4325043685973903e-06
Position 28902: 1.190262950068957e-06
Position 1756: 1.0505043866855192e-06
Position 30066: 9.472558878694461e-07
Position 409: 9.302996221941393e-07
Position 3468: 8.907642836355452e-07
Position 30511: 8.788730513808267e-07
Position 788: 7.76725390369164e-07
Position 189: 7.712861168468133e-07
