Gene = cype
index = 1662
Annotated 5SS: [ 60 450]
Annotated 3SS: [275 516]
SMsplice 5SS: [ 60 450]
SMsplice 3SS: [275 516]
top_k =  1000
Partition function (log Z): -3.189387733497243

Sorted 5' Splice Sites (High to Low Probability):
Position 450: 0.9854738929144848
Position 60: 0.7774176091842265
Position 124: 0.07853736137075748
Position 76: 0.010659713266033774
Position 227: 0.005278258431288822
Position 385: 0.0016137667499993384
Position 603: 0.0012260817094629462
Position 96: 0.0006986290287653821
Position 186: 0.0005618327565936534
Position 64: 0.0005587911013797775
Position 677: 0.0004111624314769945
Position 25: 0.00036208294322692024
Position 647: 0.00033957170941081155
Position 409: 0.0002920507476382064
Position 105: 0.0002793304698345664
Position 606: 0.0001816540180081586
Position 636: 0.00017918505432275243
Position 196: 0.0001400351191735464
Position 382: 7.117410166688813e-05
Position 612: 3.7597557753676035e-05
Position 18: 1.4617215768797908e-05
Position 625: 1.2793028170452693e-05
Position 361: 1.1893544031818306e-05
Position 143: 1.1014405615679609e-05
Position 622: 9.388992172507009e-06
Position 586: 8.084813439941303e-06
Position 520: 7.589248764781919e-06
Position 564: 6.471577082780404e-06
Position 561: 3.61554096959301e-06
Position 256: 8.026601826353503e-07
Position 571: 4.7663280518394947e-07
Position 671: 1.9122778565225998e-07
Position 681: 1.1471701681384728e-07
Position 535: 9.93582241790184e-08
Position 316: 1.0244756251175835e-08
Position 323: 2.8300479854993563e-09
Position 495: 3.3249587964047095e-10
Position 480: 1.8617831465926927e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 516: 0.9905003336015481
Position 275: 0.8660120401357118
Position 143: 0.002016085497813713
Position 295: 0.0017063305279767691
Position 664: 0.0012402301743593238
Position 207: 0.0008173423081977423
Position 704: 0.0006651322822564833
Position 348: 0.0003622301276390228
Position 729: 0.0002604860680877773
Position 124: 0.00021860665268345856
Position 723: 0.00020329331167715317
Position 186: 9.75374203389192e-05
Position 238: 8.619923321797392e-05
Position 671: 8.559309648912389e-05
Position 102: 8.211969976314082e-05
Position 459: 2.1519539503512474e-05
Position 628: 1.1985256654668926e-05
Position 520: 1.1411392006748076e-05
Position 580: 1.7361522120762258e-06
Position 690: 1.4027903372743331e-06
Position 571: 8.388404940855582e-07
Position 423: 7.022817345141947e-07
Position 426: 6.313671561994775e-07
Position 606: 6.20839283971835e-07
Position 176: 6.142516212021699e-07
Position 535: 5.108577109721449e-07
Position 553: 4.6878473325103744e-07
Position 603: 4.306213559052803e-07
Position 75: 3.5960627488639754e-07
Position 634: 1.4520126690899202e-07
Position 612: 4.489491444067291e-09
Position 706: 4.333888639202197e-09
Position 218: 2.7909483770716987e-10
Position 64: 1.244201762932736e-11
Position 544: 7.860667553666874e-18
