Gene = kek2
index = 1738
Annotated 5SS: [ 1166  8857 24608]
Annotated 3SS: [ 8810 24576 39250]
SMsplice 5SS: [1166]
SMsplice 3SS: [39250]
top_k =  1000
Partition function (log Z): -41.738338410077496

Sorted 5' Splice Sites (High to Low Probability):
Position 7137: 0.9999789083297042
Position 4997: 0.900121777432123
Position 5747: 0.871040745100268
Position 1166: 0.5476961537612826
Position 6000: 0.313311666739909
Position 197: 0.2679394878287449
Position 2671: 0.190898859158307
Position 5966: 0.16784790070690422
Position 5983: 0.09709614610941518
Position 6066: 0.06422971791954865
Position 374: 0.039831330942342064
Position 5378: 0.03762508609970634
Position 6375: 0.03537279539603632
Position 5718: 0.03093781251252707
Position 820: 0.029682130091559678
Position 6352: 0.02853287141322192
Position 6072: 0.027740868144682428
Position 4743: 0.0276978108013873
Position 6245: 0.02534849090405037
Position 6688: 0.02500694316395538
Position 5974: 0.024452334265083458
Position 5877: 0.019096554193837528
Position 186: 0.015333327112445208
Position 653: 0.011902745512436436
Position 6620: 0.01138929796619803
Position 973: 0.010101627007891852
Position 55: 0.00994875844474331
Position 5287: 0.008498917795602282
Position 452: 0.008126398213768796
Position 338: 0.007934364853015607
Position 6911: 0.007333272530453875
Position 48: 0.007276817820345279
Position 5260: 0.007238545310945801
Position 4423: 0.006926633988909531
Position 5839: 0.006766359085975589
Position 4354: 0.0058276139092186515
Position 5943: 0.005455123482911803
Position 5426: 0.005177514036504859
Position 5932: 0.00502528870009718
Position 2445: 0.004826782328872624
Position 212: 0.0047780495082701225
Position 4487: 0.003939153994691969
Position 270: 0.003911961809631451
Position 6013: 0.003660931789450189
Position 133: 0.003617120610155874
Position 5402: 0.0035529509604252125
Position 2463: 0.0034925640449158966
Position 2215: 0.00343564819986983
Position 3950: 0.003207100066162971
Position 917: 0.0032022442242409864
Position 200: 0.0032009631897609034
Position 948: 0.003086742520300763
Position 6221: 0.003029139093878768
Position 4343: 0.002563818058799226
Position 5521: 0.0021387184195399674
Position 2116: 0.0019393397608155952
Position 942: 0.001834475208108521
Position 90: 0.0018177303447749894
Position 5753: 0.0014102159834956593
Position 798: 0.0013055538085013367
Position 538: 0.0012399958022506227
Position 5929: 0.001174303647827045
Position 2439: 0.0011712230492251612
Position 5307: 0.0011546939660753534
Position 6201: 0.0011124561888361934
Position 215: 0.0010741667837824657
Position 5741: 0.0010183844550512005
Position 4143: 0.0009815683152910736
Position 1148: 0.000959744854239651
Position 2684: 0.000931392988448882
Position 4842: 0.0008917931666079134
Position 1755: 0.0008889577025747266
Position 6151: 0.0008470426131092658
Position 236: 0.0008315081864287361
Position 1571: 0.0006936700045399279
Position 6137: 0.0006929323257779715
Position 278: 0.0006876588229426503
Position 280: 0.0006151497387464842
Position 4306: 0.0005952766709787798
Position 1674: 0.0005799726549762226
Position 282: 0.0005798374846903342
Position 274: 0.00048262811694890106
Position 4167: 0.0004317453916447769
Position 954: 0.0004095509249956956
Position 667: 0.0003603400819769876
Position 4639: 0.0003274997094955921
Position 650: 0.00032691621240802326
Position 276: 0.0002989921998980416
Position 248: 0.00026869018323197693
Position 84: 0.00023700375349237806
Position 4882: 0.000154547663014007
Position 2063: 0.00014485951613389057
Position 984: 0.00014393638376416858
Position 9725: 0.00014066931150620202
Position 2104: 0.00012590342473595522
Position 1621: 0.00011425179591276575
Position 2083: 0.00011408296148158773
Position 956: 0.00010637827109323936
Position 1777: 0.00010153657378049161
Position 3472: 9.897234552419878e-05
Position 2696: 9.66231333667396e-05
Position 967: 9.46937832143976e-05
Position 1376: 8.904333991154538e-05
Position 4545: 7.068709883980583e-05
Position 2482: 5.791893128738825e-05
Position 616: 5.392924075287712e-05
Position 1348: 5.338904869484858e-05
Position 8857: 5.274609149142466e-05
Position 104: 5.2215503416443826e-05
Position 1539: 4.989049546986977e-05
Position 1699: 4.950857526985014e-05
Position 1355: 4.679625948013419e-05
Position 450: 4.631163301013249e-05
Position 2131: 4.524174271735039e-05
Position 365: 4.462585098747855e-05
Position 1737: 3.979164130450741e-05
Position 286: 3.838531707520299e-05
Position 1124: 3.807449981406327e-05
Position 10280: 3.5244813813358686e-05
Position 1212: 3.150852502377343e-05
Position 1869: 2.9869722189575057e-05
Position 2120: 2.6685296709583755e-05
Position 704: 2.4741445957841302e-05
Position 8914: 1.4253722695927076e-05
Position 2885: 1.116232956426517e-05
Position 951: 9.209819935153849e-06
Position 946: 8.202523417659506e-06
Position 2133: 7.888809107108605e-06
Position 694: 7.5620396316258846e-06
Position 9060: 7.033266859713316e-06
Position 4522: 5.715246755678499e-06
Position 889: 3.7792079617172803e-06
Position 7021: 3.373776015843347e-06
Position 992: 2.7516106790265358e-06
Position 256: 2.363790297888138e-06
Position 900: 2.361642533960622e-06
Position 2708: 1.845672140539916e-06
Position 292: 1.590148956905703e-06
Position 145: 1.3943834794542352e-06
Position 320: 1.2602345560072042e-06
Position 13759: 1.232588234719248e-06
Position 12442: 1.151595222803658e-06
Position 1311: 1.0652995364065858e-06
Position 12835: 1.0351373979836889e-06
Position 76: 9.637030313404925e-07
Position 38: 9.001376889714107e-07
Position 304: 7.48248715343702e-07
Position 1191: 6.13824565014558e-07
Position 977: 5.656967522209186e-07
Position 23: 5.305078420878353e-07
Position 1197: 5.155261896345086e-07
Position 8415: 4.894042237186317e-07
Position 264: 4.715999331050551e-07
Position 11164: 3.138142699465562e-07
Position 1336: 2.6239920704967346e-07
Position 9900: 2.3101432855871376e-07
Position 9375: 2.2753816917046468e-07
Position 7470: 1.4278935829974812e-07
Position 940: 1.351284213755842e-07
Position 1170: 7.47494703902588e-08
Position 11138: 7.442753883738597e-08
Position 8064: 6.148990003790262e-08
Position 1495: 4.4091549270611403e-08
Position 94: 2.1195164901133668e-08
Position 7159: 1.589184978725022e-08
Position 1631: 1.2499669074085e-08
Position 7094: 1.014656704622187e-08
Position 7144: 2.022544006557497e-09
Position 7025: 1.842992766427914e-09
Position 1173: 8.995027635272336e-10
Position 16: 4.566364303217971e-10
Position 1477: 2.6720604330824893e-10
Position 284: 1.9864131975328623e-10
Position 297: 1.4071581727612198e-10
Position 342: 1.8546706743731716e-11
Position 290: 4.608010939669088e-14
Position 344: 2.9009355953293473e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 5826: 0.8537234142879159
Position 24576: 0.837484670254197
Position 5086: 0.8117403181692764
Position 6456: 0.5863118253287142
Position 4257: 0.460019671808499
Position 4828: 0.2627203520661592
Position 6990: 0.171176535236756
Position 23301: 0.162146529088833
Position 2582: 0.15843485447585767
Position 6799: 0.10445008294289929
Position 4095: 0.09968055888172152
Position 5047: 0.061590943177007584
Position 6032: 0.06144341286531758
Position 4219: 0.05300580040041269
Position 5057: 0.05218475801313101
Position 6128: 0.04389309483776411
Position 5050: 0.03066426945484713
Position 4907: 0.022767857391812914
Position 5502: 0.021439349832944495
Position 5909: 0.020909786562875936
Position 4401: 0.01882524101714061
Position 1054: 0.01838658910208701
Position 5673: 0.013646995924500638
Position 4878: 0.010973361395116576
Position 4772: 0.0063189371748561185
Position 3667: 0.004798974553316892
Position 839: 0.004790148458181734
Position 3697: 0.004429824256745724
Position 2263: 0.0030049915454461434
Position 3987: 0.0026279886158830056
Position 6308: 0.002574400767836039
Position 1771: 0.002502920562312076
Position 4806: 0.0024607208482853435
Position 1243: 0.002256536090638948
Position 2042: 0.0020620553516447707
Position 2295: 0.0019705637774278762
Position 4780: 0.0017440671179460303
Position 297: 0.0017003456454133636
Position 3647: 0.001647084115688305
Position 2015: 0.0015783888000921857
Position 2193: 0.0014070789305119329
Position 6312: 0.0012283897092813328
Position 1405: 0.0011879092943435925
Position 1011: 0.0009944564249312908
Position 1390: 0.0009707062724068123
Position 236: 0.0008820509590429398
Position 3616: 0.0008558718757797278
Position 4931: 0.0008247053376266301
Position 3940: 0.0008030347306863338
Position 2833: 0.0006825406370194022
Position 1252: 0.0006044656865545025
Position 2087: 0.0005973423902484338
Position 3910: 0.0004537391440126658
Position 1365: 0.00043146651413255264
Position 1552: 0.00034617113775586763
