Gene = morgue
index = 1793
Annotated 5SS: [217]
Annotated 3SS: [278]
SMsplice 5SS: [217]
SMsplice 3SS: [278]
top_k =  1000
Partition function (log Z): -3.3518758778183675

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9923798747189692
Position 1341: 0.012458676867589693
Position 193: 0.0070690679488079255
Position 477: 0.0009247306454571168
Position 14: 0.0007373406292755322
Position 221: 0.0005346741327785918
Position 21: 0.00039255042505149094
Position 1544: 0.00031948522684504074
Position 1140: 0.0002425709262382217
Position 846: 0.00020597241504637852
Position 1586: 0.00015518753022328535
Position 1577: 9.180835849764447e-05
Position 1449: 8.239128070818401e-05
Position 1646: 4.982691265773608e-05
Position 1289: 4.453406207063877e-05
Position 1165: 2.2828755033564383e-05
Position 1557: 2.1697960348703673e-05
Position 1025: 1.9895879825192226e-05
Position 1016: 1.5025918729873214e-05
Position 1671: 9.03334468930392e-06
Position 962: 7.737201196547587e-06
Position 1689: 5.466929251557399e-06
Position 1701: 5.285311027864775e-06
Position 1345: 5.047082754272605e-06
Position 994: 3.7611515878335286e-06
Position 362: 3.16488403734613e-06
Position 700: 3.0736645748098477e-06
Position 903: 2.9215683279283656e-06
Position 525: 2.64576604846957e-06
Position 1668: 2.5222716244726875e-06
Position 898: 2.2721352249702132e-06
Position 825: 1.7034406230698135e-06
Position 1392: 1.5532023288923274e-06
Position 805: 1.5346146833765793e-06
Position 1217: 1.4360955380617815e-06
Position 297: 1.0729684525393671e-06
Position 609: 1.0569182607115383e-06
Position 236: 9.75128993640408e-07
Position 1484: 9.051107156697296e-07
Position 25: 8.844409747422919e-07
Position 953: 7.980299729724632e-07
Position 437: 6.940346991498126e-07
Position 986: 6.51763862963964e-07
Position 68: 5.704602931051951e-07
Position 638: 4.893232659683845e-07
Position 1087: 4.390331255264867e-07
Position 1440: 3.224460669425205e-07
Position 1298: 2.9954069588487555e-07
Position 338: 2.925001055947935e-07
Position 1494: 2.3461036351296697e-07
Position 1270: 2.3116578932782078e-07
Position 40: 2.2504245011487252e-07
Position 1424: 2.0792392599336792e-07
Position 1081: 1.0998469979132083e-07
Position 283: 6.44403124655779e-08
Position 1704: 5.9389113566388846e-08
Position 1687: 5.054158614011884e-08
Position 52: 3.080691120587214e-08
Position 140: 2.4532653172107805e-08
Position 63: 8.791232090797275e-09
Position 887: 7.017146646596096e-09
Position 588: 5.792689930583433e-09
Position 840: 5.4531530098603495e-09
Position 927: 4.117416055582635e-09
Position 768: 3.928860155213991e-09
Position 85: 4.557980556168621e-10
Position 1374: 3.081139773195251e-10
Position 117: 2.268133134713979e-10
Position 1040: 2.2516454998181004e-10
Position 335: 8.649806468580257e-11
Position 881: 8.515832012898015e-11
Position 299: 6.789993368141652e-11
Position 1461: 3.814979390632492e-11
Position 1054: 9.260146324299434e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 278: 0.9985028557967652
Position 1415: 0.006044079250361482
Position 1412: 0.00571267841721621
Position 548: 0.001113778858396125
Position 80: 0.001053827926443188
Position 283: 0.0009238901225806862
Position 1696: 0.00066609447184097
Position 1466: 0.00038256721428372574
Position 1757: 0.0002827441717185175
Position 1494: 0.0002513110903667682
Position 374: 0.00022350108347286602
Position 1341: 0.00016912454060337426
Position 91: 7.245579650035865e-05
Position 1610: 6.0250573721285406e-05
Position 1244: 5.91121169805368e-05
Position 1613: 5.192229827641277e-05
Position 1186: 4.925302199446514e-05
Position 911: 3.5145293682365946e-05
Position 1701: 2.9023481469383554e-05
Position 262: 2.8010079134088077e-05
Position 1535: 2.076246117311099e-05
Position 898: 2.009308005777264e-05
Position 1270: 1.0710518842682812e-05
Position 1199: 7.206597473312199e-06
Position 994: 7.084328622488137e-06
Position 566: 6.426263003478624e-06
Position 1002: 5.605112564719656e-06
Position 974: 5.206891529981916e-06
Position 1170: 4.806294822928102e-06
Position 605: 4.352518462839197e-06
Position 1543: 4.024850562846251e-06
Position 588: 3.665994406052046e-06
Position 1100: 3.369074261143931e-06
Position 698: 3.1385152448300304e-06
Position 443: 2.7209646198872073e-06
Position 594: 2.3230344275828778e-06
Position 947: 2.073265460632363e-06
Position 1091: 1.7127481853517905e-06
Position 1769: 1.315607099195672e-06
Position 105: 9.344567182335795e-07
Position 903: 9.309525962271412e-07
Position 1281: 8.913515041322189e-07
Position 140: 8.549827879766225e-07
Position 790: 8.109045541145394e-07
Position 1448: 8.067941528505617e-07
Position 1115: 7.834227339367422e-07
Position 63: 5.386769678311745e-07
Position 480: 5.110473469729642e-07
Position 99: 3.515358658218975e-07
Position 560: 3.2690672401836297e-07
Position 522: 2.6860647554638744e-07
Position 971: 2.5928351315111186e-07
Position 452: 2.582522444296544e-07
Position 114: 2.580396411459964e-07
Position 126: 2.421256178069907e-07
Position 575: 1.514354824278368e-07
Position 111: 1.3027029335528063e-07
Position 1630: 1.1353806414711166e-07
Position 497: 9.410194123930698e-08
Position 413: 6.910848458357081e-08
Position 449: 5.5110494005729576e-08
Position 768: 5.4351773770653895e-08
Position 506: 4.543793050816618e-08
Position 117: 3.719617850062729e-08
Position 137: 1.7362947430102344e-08
Position 1289: 1.897314585320799e-09
Position 845: 1.1904441853007982e-09
Position 177: 1.0067960327970572e-09
Position 1316: 8.068579412073503e-10
Position 746: 7.095546128624955e-10
Position 959: 6.999172332702266e-10
Position 1073: 3.290916006086389e-10
Position 760: 2.9178456207305084e-10
Position 189: 4.5208593206550037e-11
Position 383: 9.705953730325435e-12
Position 579: 5.90629130279315e-12
Position 150: 5.4866840758484285e-12
Position 236: 4.6291044148987614e-12
Position 431: 3.3650762138199422e-12
Position 386: 1.3138772000856908e-12
Position 817: 8.228414425939321e-13
Position 231: 4.719484125870134e-13
Position 647: 2.643532438198036e-13
Position 814: 2.508318465603127e-13
Position 196: 1.5686273998451857e-13
Position 332: 4.522925429838041e-14
Position 796: 4.299186480130032e-14
Position 398: 2.3262060933801918e-14
Position 456: 2.1932923113896137e-14
Position 464: 9.860294598296473e-15
Position 461: 1.647862595691173e-16
Position 198: 1.7620258708179248e-17
