Gene = Exn
index = 1158
Annotated 5SS: [  528 13850 15327 21249 22286 22537 23626 23901]
Annotated 3SS: [10545 15222 21000 21310 22346 22603 23695 23964]
SMsplice 5SS: [  528 15327 20867 21249 22286 22537 23626 23901]
SMsplice 3SS: [15222 20488 21000 21310 22346 22603 23695 23964]
top_k =  1000
Partition function (log Z): 21.115033036551726

Sorted 5' Splice Sites (High to Low Probability):
Position 22286: 0.9994065146773553
Position 23901: 0.9987264800449438
Position 23626: 0.9985009583215118
Position 21249: 0.983993497727047
Position 22537: 0.9787899505110987
Position 15327: 0.9628044960356166
Position 528: 0.8656690053295811
Position 20867: 0.37926689121465557
Position 20851: 0.2629789184119887
Position 13850: 0.22295196348081092
Position 10726: 0.2207043313714758
Position 20863: 0.17743373293909329
Position 12513: 0.16293135285315066
Position 326: 0.12306823498140196
Position 16549: 0.10928946557084636
Position 20917: 0.03709482665152155
Position 16668: 0.0364262410607167
Position 9839: 0.03320958153402379
Position 10852: 0.029216362453793464
Position 10954: 0.028828115118694708
Position 20356: 0.023090527046607523
Position 10839: 0.02147025569353114
Position 15331: 0.021182073025976602
Position 16651: 0.020769868721665814
Position 16699: 0.020294942651026413
Position 22541: 0.019356861329327027
Position 8921: 0.018405251322206325
Position 11678: 0.017606762238703562
Position 10732: 0.016967244291719273
Position 1588: 0.015828056118184858
Position 69: 0.015536223139434754
Position 15964: 0.014664245636701342
Position 12191: 0.01375325044540407
Position 24239: 0.011106119182539061
Position 2328: 0.010739944668287598
Position 6759: 0.00944482063648934
Position 22916: 0.00859714798923586
Position 23173: 0.00749968218919202
Position 3476: 0.006682697206244103
Position 2630: 0.006623608372281193
Position 2211: 0.006385224511379149
Position 15725: 0.006125470807364561
Position 16161: 0.005057924841162734
Position 16708: 0.004419532978971122
Position 16224: 0.00413820747916442
Position 22003: 0.003705320687252057
Position 10053: 0.0033421403346036715
Position 24125: 0.0032912170319820164
Position 1159: 0.0032721571313226692
Position 1163: 0.003260029532043982
Position 23180: 0.0029475819927463225
Position 9686: 0.0029026825218279387
Position 20638: 0.0028855337064982245
Position 2324: 0.002859337949024692
Position 136: 0.002569340699226094
Position 196: 0.0024425978760850607
Position 7152: 0.002335731179146373
Position 334: 0.002031946316349934
Position 4521: 0.0019070001644274233
Position 511: 0.0018148200243728655
Position 1448: 0.0017885001430288613
Position 74: 0.0017323434472213603
Position 131: 0.0017092668450029045
Position 9811: 0.0016422009621196738
Position 242: 0.0016157711057664744
Position 7881: 0.0015065359450677919
Position 5714: 0.0014675999133823055
Position 7889: 0.0013662068477046894
Position 9423: 0.0013602591656166059
Position 21377: 0.0011826594709247458
Position 16119: 0.0010651415806067846
Position 24218: 0.0009941087307878346
Position 4411: 0.0009417969518309365
Position 16298: 0.0008165952112659488
Position 23630: 0.0008161446475160076
Position 15777: 0.0007917555962708422
Position 6318: 0.0007709016555829654
Position 23474: 0.000720843284286217
Position 3657: 0.0007102105203039312
Position 1206: 0.0006859573518993552
Position 5901: 0.0006802423615375735
Position 15732: 0.0006208234027936157
Position 23176: 0.0006169789993264059
Position 15677: 0.0005737904983208935
Position 173: 0.0005505933632755104
Position 3408: 0.0005419829939110831
Position 1070: 0.0005260462119451558
Position 5848: 0.0005153757578932744
Position 15991: 0.0004912538984881521
Position 24260: 0.0004664454560691097
Position 936: 0.00045988502759880794
Position 271: 0.00045462323763035726
Position 17760: 0.0003885430462151782
Position 4529: 0.00038694963320109956
