Gene = Psn
index = 1391
Annotated 5SS: [ 240  539  843 1120 1394 1565 1877 2245]
Annotated 3SS: [ 298  603  909 1172 1465 1618 2079 2312]
SMsplice 5SS: [ 539  843 1120 1394 1565 1835 2245]
SMsplice 3SS: [ 603  909 1172 1465 1618 2079 2312]
top_k =  1000
Partition function (log Z): 10.740098785463982

Sorted 5' Splice Sites (High to Low Probability):
Position 1394: 0.9997830432311464
Position 1565: 0.9893171103328043
Position 2245: 0.8729175326686514
Position 1835: 0.7572378261467045
Position 539: 0.7372500747691457
Position 1120: 0.7306606832761102
Position 843: 0.7259200349082824
Position 31: 0.3709660223325381
Position 1778: 0.19787702027196405
Position 848: 0.08110042600424315
Position 1877: 0.030961135827210322
Position 240: 0.030414736340022463
Position 543: 0.028114374355076348
Position 787: 0.0206654822946432
Position 1105: 0.011980967566325882
Position 1087: 0.004601358534057113
Position 2003: 0.0043265566165009125
Position 1041: 0.003972781267505143
Position 756: 0.00337925973461519
Position 1030: 0.0031972647772324763
Position 1819: 0.003024359481288313
Position 1004: 0.0013724439264605286
Position 175: 0.0013437920002261471
Position 1090: 0.001204799918308417
Position 1093: 0.0010288470074297877
Position 2270: 0.0010016160381484168
Position 75: 0.0008960474167208313
Position 748: 0.0008817294309976564
Position 835: 0.0008647764462244837
Position 692: 0.0007958701973727506
Position 793: 0.0007878225251828471
Position 995: 0.0006180102155818556
Position 81: 0.0005853664091701116
Position 2202: 0.0005778982676094063
Position 2192: 0.000535135308506326
Position 1846: 0.0005101115039789461
Position 876: 0.00036148634985246644
Position 2309: 0.0003069585326881853
Position 1001: 0.00028277277136923225
Position 2570: 0.00023433761758145713
Position 998: 0.00022796347923814358
Position 437: 0.00016386338485030292
Position 1025: 0.00015712330702930986
Position 1246: 0.00011714764758983356
Position 204: 0.00011186896665640394
Position 2001: 0.00011139508359907368
Position 61: 7.892239972579337e-05
Position 1398: 7.219227195537933e-05
Position 790: 6.426803918989058e-05
Position 2016: 6.093913997411686e-05
Position 6: 5.691497024549775e-05
Position 18: 5.625954243850342e-05
Position 950: 5.488366400661034e-05
Position 689: 5.3855228685167976e-05
Position 97: 4.761248784191775e-05
Position 183: 4.396807324512722e-05
Position 144: 4.1871920572526465e-05
Position 1817: 3.766256304835793e-05
Position 44: 3.4651050866220955e-05
Position 2617: 3.219269567757104e-05
Position 2625: 3.022493794207691e-05
Position 2609: 2.320161607410185e-05
Position 1965: 2.183617759375628e-05
Position 2274: 2.1416590049147745e-05
Position 337: 2.0143895560396895e-05
Position 883: 1.922833584125295e-05
Position 2607: 1.8080640735391695e-05
Position 686: 1.5775177773400774e-05
Position 1369: 1.5301899202943674e-05
Position 284: 1.4819254634354331e-05
Position 274: 1.3907244370040656e-05
Position 769: 1.3696424847596628e-05
Position 1925: 1.3492803280767233e-05
Position 244: 1.3105974558637456e-05
Position 2031: 1.3099509547791864e-05
Position 2158: 1.1840792481889758e-05
Position 228: 1.1625148572210093e-05
Position 35: 9.965499409311667e-06
Position 2354: 9.856386121400417e-06
Position 1955: 9.513308394425665e-06
Position 880: 6.588356800926406e-06
Position 1257: 6.491085455653688e-06
Position 1243: 5.529515786605906e-06
Position 563: 5.068390834271659e-06
Position 1989: 4.612274638760019e-06
Position 874: 4.560565090636928e-06
Position 1948: 4.520677566295063e-06
Position 1510: 4.428205513979731e-06
Position 1923: 4.246026603476097e-06
Position 671: 4.122672112240179e-06
Position 264: 3.687566699946401e-06
Position 1763: 2.6355748381684747e-06
Position 287: 2.124048787734826e-06
Position 2019: 2.081572142981502e-06
Position 1984: 2.0751820877063196e-06
Position 628: 2.025715622877307e-06
Position 2151: 1.8940172016885815e-06
Position 1639: 1.7834368659218966e-06
Position 1979: 1.5727407473763428e-06
Position 625: 1.1334895015426908e-06
Position 2313: 9.058586498177677e-07
Position 383: 8.661181074994433e-07
Position 465: 6.34711832481407e-07
Position 2167: 5.774029921074851e-07
Position 763: 3.447263527404758e-07
Position 2531: 3.2453264055280515e-07
Position 1648: 2.7371115959894637e-07
Position 1284: 2.5097146568341455e-07
Position 247: 2.4205179495194854e-07
Position 1330: 2.386625892832816e-07
Position 2092: 2.1679867065338375e-07
Position 262: 1.413618357547953e-07
Position 2526: 1.3982008821883876e-07
Position 400: 1.25109178251436e-07
Position 1974: 1.2367183009846315e-07
Position 1332: 5.772235393974121e-08
Position 1689: 2.5195371046398566e-08
Position 1309: 1.594886737845401e-08
Position 1692: 1.375854510235704e-08
Position 1146: 1.2914601984876012e-08
Position 1158: 4.87879477612897e-09
Position 1627: 3.68016746009529e-09
Position 1624: 2.666385528827814e-10
