Gene = Spt20
index = 1517
Annotated 5SS: [ 678 1691 3864 4165 5839 6628]
Annotated 3SS: [ 748 1748 3932 4227 6342 6690]
SMsplice 5SS: [ 678 1691 3864 4165 4530 6628]
SMsplice 3SS: [ 748 1748 3932 4227 6342 6690]
top_k =  1000
Partition function (log Z): 5.5993921460074585

Sorted 5' Splice Sites (High to Low Probability):
Position 1691: 0.997707930558462
Position 678: 0.9965551861860937
Position 4165: 0.9887083463698321
Position 6628: 0.9794715353702705
Position 3864: 0.9516228428395219
Position 4530: 0.6769587564783589
Position 7088: 0.2507816171136194
Position 5839: 0.24706038371631173
Position 3049: 0.0720485611699343
Position 3148: 0.06693421264418645
Position 4719: 0.06151232630381281
Position 4496: 0.05906665840216339
Position 5949: 0.042639569303809986
Position 7769: 0.0346033102566269
Position 1951: 0.032320248433434326
Position 2813: 0.02843497646499005
Position 7276: 0.020940742438194042
Position 2058: 0.018697169529963146
Position 6961: 0.013287404828757704
Position 4954: 0.011720576883409599
Position 7654: 0.011043268477779724
Position 5503: 0.010018220727648342
Position 7180: 0.009749314546316102
Position 4174: 0.009609424896383249
Position 7161: 0.009022766751194958
Position 2784: 0.005568991301523087
Position 2679: 0.005307629510588026
Position 7437: 0.005239466499766403
Position 3792: 0.004735582987047881
Position 6211: 0.0046825872891466435
Position 1784: 0.004350612445967983
Position 557: 0.004007861039617364
Position 7700: 0.0036087435177566797
Position 8089: 0.0033274476503433845
Position 8333: 0.0030593844468568424
Position 4929: 0.002945044552014078
Position 2848: 0.00288979007669717
Position 3878: 0.002873380214137021
Position 2712: 0.0025934369529116556
Position 440: 0.00216985460837407
Position 7713: 0.0021682470283255254
Position 5476: 0.0018921065637561383
Position 4003: 0.0018145995551606604
Position 4534: 0.0017251189468242873
Position 5430: 0.0016545810892600085
Position 5688: 0.001595224588409749
Position 8096: 0.0013837595263110204
Position 7445: 0.0011366556136031217
Position 6589: 0.0010747260355861276
Position 2005: 0.0008973100831667035
Position 569: 0.0008780357289969693
Position 4291: 0.0008444561802456364
Position 586: 0.0008314818833635633
Position 1878: 0.0007606568428912896
Position 3810: 0.0007316135965576827
Position 5166: 0.0006416296829864114
Position 7198: 0.0006381043849800255
Position 2186: 0.0005785744446935236
Position 2796: 0.000572501204213943
Position 7097: 0.0005609513405612315
Position 6351: 0.0005131063834060458
Position 3868: 0.0004942669355989689
Position 32: 0.0004275841000761203
Position 7231: 0.00041527415465089136
Position 6534: 0.0004129255992967742
Position 1284: 0.0004091434242922183
Position 6531: 0.0003753734313258482
Position 862: 0.0003727993008882905
Position 7439: 0.0003598292695356463
Position 7238: 0.0003228921908502859
Position 4169: 0.00032186573991064833
Position 2510: 0.00031734917304484443
Position 2944: 0.0003130559112067254
Position 8255: 0.0003008082673998303
Position 485: 0.00029745803829691264
Position 3448: 0.0002967059169292847
Position 1826: 0.0002857300207430479
Position 831: 0.0002452303733057211
Position 3093: 0.00024020365367090324
Position 2154: 0.0002261534413399943
Position 7402: 0.00019034279466445628
Position 3453: 0.0001858313099774528
Position 5518: 0.00018457553678188524
Position 27: 0.00018364879316282363
Position 2733: 0.00018023044140929779
Position 2467: 0.00017521242610710972
Position 6363: 0.00016776109598725693
Position 4926: 0.00015143704366332535
Position 3387: 0.00014765844483486843
Position 6632: 0.00014412775886019148
Position 8562: 0.000137799745725386
Position 3657: 0.00013644269728816248
Position 6133: 0.00012062215300810027
Position 2275: 0.0001147769757771909
Position 7205: 0.00010378617620175468
Position 193: 0.00010270927317114977
