Gene = Rpb8
index = 1455
Annotated 5SS: [185]
Annotated 3SS: [255]
SMsplice 5SS: [185]
SMsplice 3SS: [255]
top_k =  1000
Partition function (log Z): -5.204617233342653

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9762851368450204
Position 192: 0.023613765424495045
Position 680: 0.00041938142610975065
Position 527: 7.293452429024362e-05
Position 666: 6.139046111837839e-05
Position 158: 4.364810563994927e-05
Position 196: 3.243493480420423e-05
Position 76: 1.5639084260695474e-05
Position 323: 9.222788465271164e-06
Position 482: 9.103244648154012e-06
Position 294: 9.043064101090555e-06
Position 536: 7.65721817253691e-06
Position 637: 6.530316120341114e-06
Position 353: 3.643062972330462e-06
Position 425: 2.7907410372123824e-06
Position 463: 1.877712039568152e-06
Position 531: 1.0531336270160179e-06
Position 112: 1.0243537974560606e-06
Position 333: 5.567721814012069e-07
Position 435: 4.3256816384336945e-07
Position 66: 3.5228361324391294e-07
Position 362: 2.4207741459008047e-07
Position 331: 1.8548961204425355e-07
Position 359: 1.2328939991882185e-07
Position 255: 5.320357266252388e-08
Position 270: 4.430983731770455e-08
Position 395: 1.8323549301182672e-08
Position 605: 7.927488311575452e-09
Position 603: 1.6057730069971862e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 255: 0.9988486871919611
Position 744: 0.0005226960877611056
Position 227: 0.0005062083996359181
Position 299: 0.0004647312765600036
Position 314: 8.277337984556006e-05
Position 635: 5.5185388390794875e-05
Position 553: 2.8581514140606323e-05
Position 281: 2.757319324815279e-05
Position 368: 2.0627668020880187e-05
Position 413: 1.2710498712051092e-05
Position 270: 5.56478520969003e-06
Position 148: 5.072309362037223e-06
Position 750: 4.744558882576042e-06
Position 323: 4.641320416646388e-06
Position 475: 2.3038015655086623e-06
Position 174: 1.8082222619099163e-06
Position 545: 1.5389269270453069e-06
Position 359: 6.118351956771463e-07
Position 122: 6.020307667506781e-07
Position 425: 3.241891057065642e-07
Position 503: 3.146130612117648e-07
Position 695: 2.1662743814246522e-07
Position 497: 1.7047368942507065e-07
Position 581: 1.6722218468041417e-07
Position 112: 1.33264424512877e-07
Position 674: 7.865545267097741e-08
Position 353: 5.094645564215222e-08
Position 665: 4.7378221366100355e-08
Position 520: 4.6238854404310294e-08
Position 458: 1.887319684215928e-08
Position 527: 1.879582916633736e-08
Position 184: 1.773500039149125e-08
Position 482: 1.4568635300342743e-08
Position 570: 1.0756276534102532e-08
Position 560: 7.961292848483476e-10
Position 189: 6.224993837734118e-10
Position 205: 1.4600747368689707e-10
