Gene = Ssl1
index = 1527
Annotated 5SS: [ 60 342 737]
Annotated 3SS: [116 394 788]
SMsplice 5SS: [ 60 342 737]
SMsplice 3SS: [116 394 788]
top_k =  1000
Partition function (log Z): 1.5274493261887256

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.9933013983067595
Position 737: 0.9857394728733908
Position 342: 0.9073840218642066
Position 1096: 0.09072255676779227
Position 350: 0.024255381025699328
Position 1648: 0.015733224012133847
Position 352: 0.010759317999165909
Position 364: 0.00426431959156547
Position 173: 0.0031606810715428075
Position 182: 0.0011395559444808763
Position 38: 0.0005821059968300605
Position 164: 0.0003320018843338192
Position 275: 0.0003006542006733837
Position 195: 0.0002919418335452856
Position 186: 0.0002366706018877289
Position 687: 0.00022404578934497594
Position 309: 0.0002192679444895177
Position 159: 0.00021602085654453496
Position 521: 0.00019586887201576307
Position 982: 0.0001816466957408339
Position 1695: 0.00016814851500168303
Position 862: 0.00012827840001101726
Position 954: 0.00010989540214289847
Position 1638: 0.00010481824263989067
Position 49: 7.185204299806858e-05
Position 584: 7.108568351342351e-05
Position 920: 7.047936651111023e-05
Position 1489: 5.1981316366690436e-05
Position 255: 2.8185870259392827e-05
Position 1171: 2.2175099699920598e-05
Position 1613: 1.746695926381196e-05
Position 485: 1.7241236806393616e-05
Position 1688: 1.4853798216123714e-05
Position 1631: 1.4451231962515727e-05
Position 224: 1.330551568993741e-05
Position 1765: 9.1863323539832e-06
Position 1448: 8.911198816847602e-06
Position 865: 8.893124878861788e-06
Position 1517: 8.817654817456503e-06
Position 1372: 7.2546222412398345e-06
Position 1780: 5.974687387271557e-06
Position 892: 4.150559384261261e-06
Position 993: 4.093094464157068e-06
Position 714: 3.222747847686918e-06
Position 1281: 2.9435145373967964e-06
Position 591: 2.413537108567632e-06
Position 870: 2.3924653908232775e-06
Position 1501: 2.2861204110789893e-06
Position 555: 2.2772988005032164e-06
Position 1582: 2.063130225599262e-06
Position 184: 1.9967617954256375e-06
Position 146: 1.976515173190741e-06
Position 1618: 1.9163274644199143e-06
Position 157: 1.8868325808731284e-06
Position 1200: 1.3687690137060658e-06
Position 1089: 1.120999221931175e-06
Position 1054: 1.064790284521854e-06
Position 1540: 9.842179812449993e-07
Position 113: 9.683070404774553e-07
Position 1606: 6.103701566917831e-07
Position 525: 4.1717916653597675e-07
Position 258: 3.1030831023840826e-07
Position 528: 2.811559160694668e-07
Position 356: 2.6051803903826433e-07
Position 1438: 7.557763348041599e-08
Position 620: 7.406776572494934e-08
Position 6: 6.798268785629837e-08
Position 545: 6.765452705121788e-08
Position 608: 5.540575575013642e-08
Position 1349: 4.8504338870977666e-08
Position 759: 4.5822416482425205e-08
Position 102: 1.1705654954296694e-08
Position 799: 1.0874194020361469e-08
Position 1206: 1.0465114878249602e-08
Position 928: 8.959297964690371e-09
Position 783: 4.651489901925707e-09
Position 801: 2.764788798266995e-09
Position 1395: 1.6548850177335023e-10
Position 1009: 3.2530484190843206e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 788: 0.957379559045929
Position 394: 0.950494499624462
Position 116: 0.9118561040956887
Position 1164: 0.08160131527170689
Position 144: 0.042554367514137374
Position 812: 0.02198064224695153
Position 258: 0.01912535617756659
Position 1712: 0.01617470547812067
Position 176: 0.011404758940446555
Position 1216: 0.007398587249788421
Position 222: 0.0037642716066351323
Position 444: 0.0032327334512677287
Position 861: 0.0031550445883088527
Position 204: 0.001619428144013922
Position 1609: 0.0013512796842869294
Position 1716: 0.000909770572606148
Position 838: 0.0008376975259294034
Position 266: 0.0006641924517142802
Position 1099: 0.0005735374603454054
Position 1277: 0.00046971658453767435
Position 1029: 0.00043560278062853734
Position 157: 0.00036126304295932746
Position 1433: 0.00033513473029171936
Position 1095: 0.0003281226835950984
Position 1530: 0.0002778595290211599
Position 1765: 0.00025403082723271866
Position 1511: 0.00017858423860531175
Position 643: 0.00016755439565907008
Position 1119: 0.0001476643800333441
Position 1465: 0.00014227860316962942
Position 632: 0.0001317871004691847
Position 458: 0.00010818836824414018
Position 470: 6.785008135247082e-05
Position 1833: 6.784140781496862e-05
Position 455: 6.654561202983359e-05
Position 1626: 6.646140857035485e-05
Position 407: 6.559086912649029e-05
Position 398: 5.6973277553401274e-05
Position 1002: 5.4267145566631205e-05
Position 651: 3.85366583236225e-05
Position 1647: 3.73933497042234e-05
Position 476: 3.7151876037874746e-05
Position 1182: 3.354913609310911e-05
Position 596: 3.118990949818721e-05
Position 545: 1.9252667825069616e-05
Position 1125: 1.8870184902419514e-05
Position 1527: 1.877460215050167e-05
Position 1176: 1.738793792023196e-05
Position 1631: 1.7317535560539784e-05
Position 1281: 1.6723003482286056e-05
Position 1171: 1.446023957447872e-05
Position 660: 1.1707139086723965e-05
Position 494: 7.896455719518563e-06
Position 1663: 7.744705298418875e-06
Position 1501: 5.898768702042815e-06
Position 1442: 3.7875769543882676e-06
Position 757: 3.772168913716242e-06
Position 1401: 3.1827261465979424e-06
Position 416: 3.146298511319831e-06
Position 1386: 2.909146847134038e-06
Position 472: 2.710809781767296e-06
Position 1308: 2.126275221133118e-06
Position 275: 2.0711000246545456e-06
Position 963: 1.99241454326237e-06
Position 1843: 1.7420874667819133e-06
Position 1677: 1.3628485782200544e-06
Position 674: 1.2609510442265243e-06
Position 686: 1.1507658350927945e-06
Position 966: 1.0033065321494712e-06
Position 1235: 9.04133720442358e-07
