Gene = Fic
index = 1167
Annotated 5SS: [1071 1334]
Annotated 3SS: [1129 1392]
SMsplice 5SS: [1071 1334]
SMsplice 3SS: [1129 1392]
top_k =  1000
Partition function (log Z): 3.2943314092706366

Sorted 5' Splice Sites (High to Low Probability):
Position 1334: 0.9988428855477506
Position 1071: 0.9986774394442931
Position 257: 0.42601230784918126
Position 30: 0.0256830547296565
Position 1961: 0.003945847555670799
Position 1695: 0.002840076631963447
Position 1226: 0.0027989331215542354
Position 121: 0.00217497730913862
Position 1508: 0.001804753585362039
Position 46: 0.0014509572623815667
Position 1918: 0.0014365867475005967
Position 1555: 0.0012620769844809182
Position 1224: 0.0012029615728833903
Position 573: 0.001122626476632057
Position 364: 0.0010723016149328682
Position 1537: 0.0010605983179005308
Position 128: 0.0007450427214375727
Position 1738: 0.0006705600167971703
Position 1837: 0.0004559871020719204
Position 1044: 0.00045299053802023347
Position 1530: 0.0004503979840757826
Position 919: 0.0003481992569643334
Position 1818: 0.00034574433241284165
Position 1063: 0.0002839693530472407
Position 1591: 0.0002504907798393906
Position 1216: 0.00023535211237407958
Position 6: 0.00020587739729421804
Position 649: 0.0002002735814178426
Position 1783: 0.0001844556687513303
Position 336: 0.00018193150083886138
Position 1853: 0.00018103603183508942
Position 144: 0.00016121744866371722
Position 37: 0.0001497679074052143
Position 435: 0.000137558338514605
Position 669: 0.00012803721879031947
Position 298: 0.000103356532622553
Position 34: 0.0001009316650229441
Position 1338: 9.032353507107012e-05
Position 1863: 7.187047336708094e-05
Position 858: 6.99324135139648e-05
Position 1417: 6.043943163920158e-05
Position 1586: 4.209728570837791e-05
Position 419: 4.094983826154347e-05
Position 1483: 3.9993114595983515e-05
Position 1292: 3.1693469663909004e-05
Position 1058: 2.8689797839613565e-05
Position 1926: 2.5977455975005663e-05
Position 787: 1.8102189124087305e-05
Position 711: 1.632354366491386e-05
Position 484: 1.495688414404432e-05
Position 784: 1.4617691653897529e-05
Position 605: 1.4044675495738668e-05
Position 426: 1.1956584315336305e-05
Position 1312: 1.117712820873038e-05
Position 159: 9.982375999842461e-06
Position 1252: 9.795257583372997e-06
Position 1237: 9.359565516546314e-06
Position 960: 8.74474137193542e-06
Position 1464: 8.707642817197146e-06
Position 1727: 8.439389060177035e-06
Position 767: 8.349346180684448e-06
Position 108: 7.218519208352267e-06
Position 1887: 6.904724030432461e-06
Position 697: 6.903203854558465e-06
Position 1075: 6.071032690312881e-06
Position 1717: 4.5604665472265725e-06
Position 98: 4.512126890641894e-06
Position 1633: 4.32339360765555e-06
Position 1208: 4.180728257686235e-06
Position 1099: 3.886567401537024e-06
Position 794: 3.4441660742385803e-06
Position 1841: 2.638534056638734e-06
Position 1900: 2.490825926769932e-06
Position 1230: 2.1277429039831057e-06
Position 137: 2.110286865653315e-06
Position 139: 1.7587697983820291e-06
