Gene = sala
index = 1863
Annotated 5SS: [ 325 1048 1515]
Annotated 3SS: [ 473 1374 1584]
SMsplice 5SS: [ 325 1048 1515]
SMsplice 3SS: [ 473 1374 1584]
top_k =  1000
Partition function (log Z): -2.997376623966561

Sorted 5' Splice Sites (High to Low Probability):
Position 1515: 0.9875326617036759
Position 325: 0.7924376814441643
Position 1048: 0.6913553754423797
Position 2040: 0.13073950287334457
Position 1756: 0.07684668840424809
Position 2061: 0.04350970749810359
Position 375: 0.04221323395247467
Position 1811: 0.028628873653126916
Position 245: 0.02395934167658784
Position 890: 0.01779040957009435
Position 1135: 0.00960767187005496
Position 1027: 0.007315425920714618
Position 1406: 0.0073148342922247514
Position 2001: 0.006104600686950876
Position 1309: 0.005845958854358953
Position 744: 0.005197433653730226
Position 967: 0.005103524939338565
Position 235: 0.004869587841894844
Position 677: 0.004552415556455466
Position 390: 0.004316664198969352
Position 67: 0.0034852783437263543
Position 1234: 0.003180885543492556
Position 599: 0.0030354846123893785
Position 878: 0.0026661794158057937
Position 1079: 0.0023989291784719652
Position 75: 0.0020662964885062455
Position 97: 0.002029686522349534
Position 2134: 0.0019840312655019276
Position 1706: 0.001646001136154886
Position 1328: 0.0013341325285335809
Position 1375: 0.0011740058677032767
Position 605: 0.0011301230080755394
Position 379: 0.000814238247724592
Position 1140: 0.0008026296541645741
Position 288: 0.0007592647221272759
Position 959: 0.0006959768950454356
Position 2128: 0.0005699246062797083
Position 698: 0.0005467107746136039
Position 1519: 0.00045350808881812916
Position 1835: 0.0004186411129569395
Position 1849: 0.0004130397279444227
Position 749: 0.00038074914648238037
Position 1245: 0.00036958023616653603
Position 1744: 0.0002977297041476399
Position 1449: 0.00023995251320832968
Position 1036: 0.00023428005211983605
Position 1071: 0.00022742955987175073
Position 554: 0.00017442099759614922
Position 1053: 0.00014840449987411363
Position 1882: 0.00014298410494274918
Position 839: 0.0001397380188255974
Position 866: 0.0001226226360207014
Position 837: 0.00011719278864469814
Position 329: 0.00011088190252631402
Position 2051: 9.207858179761288e-05
Position 1739: 6.955296486694791e-05
Position 203: 4.801165020997403e-05
Position 587: 4.3199913981519196e-05
Position 614: 3.262057845955745e-05
Position 1358: 3.2596601668174204e-05
Position 1712: 3.098619495676392e-05
Position 35: 3.087197424405266e-05
Position 1748: 2.856450455106701e-05
Position 180: 2.7162292594004518e-05
Position 851: 2.7087500133646618e-05
Position 1251: 2.398470613393919e-05
Position 1766: 2.0059817737258027e-05
Position 1946: 1.9730219695719037e-05
Position 1145: 1.8392889098141907e-05
Position 2104: 1.7858908018492553e-05
Position 1061: 1.6068520558273004e-05
Position 1892: 1.4390453041872544e-05
Position 1787: 1.203640771111384e-05
Position 1446: 9.704297438452224e-06
Position 1084: 9.593296657202992e-06
Position 263: 7.454148693196583e-06
Position 1483: 7.334384127395632e-06
Position 1844: 7.331348066795435e-06
Position 1278: 7.268304670177867e-06
Position 295: 5.600135360956127e-06
Position 2095: 3.713597309215117e-06
Position 33: 3.038905639540104e-06
Position 457: 9.505793733270573e-07
Position 1777: 7.788443953064563e-07
Position 441: 7.153669617314353e-07
Position 569: 5.2261977206655576e-08
Position 1220: 4.481464407291357e-09
Position 515: 3.133543511765494e-09
Position 477: 1.2778921268835881e-09
Position 1887: 9.035643013602739e-10
Position 1393: 6.33704867230765e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1584: 0.9077150558578161
Position 1374: 0.8222509686694737
Position 473: 0.676890186298708
Position 2118: 0.10121901248640189
Position 2095: 0.10030170275256879
Position 1623: 0.08802164048005814
Position 507: 0.052789255397931625
Position 1882: 0.042323449144811905
Position 1335: 0.031175720817893705
Position 1830: 0.029886002456499906
Position 457: 0.017378433245272933
Position 2194: 0.016315473452025463
Position 1378: 0.007937395896879132
Position 733: 0.006830720676471028
Position 1472: 0.005622307163100312
Position 425: 0.004207740705988726
Position 306: 0.0037082206399160016
Position 310: 0.0028548690460478737
Position 832: 0.0022992541597390815
Position 1421: 0.002223557089187635
Position 132: 0.0014735065508594937
Position 2161: 0.0008127824243898992
Position 1401: 0.0007350270871806415
Position 829: 0.0006435076516007225
Position 765: 0.0005134155736518166
Position 1405: 0.00046852116718618185
Position 209: 0.00042028141092534827
Position 859: 0.0003636862348659936
Position 593: 0.00035405992839168476
Position 148: 0.0003323468886775272
Position 2134: 0.0003303411064143582
Position 2035: 0.00030486778669339175
Position 2073: 0.00028429431649653486
Position 930: 0.0002119939969179427
Position 1245: 0.0001792354640421807
Position 1020: 0.00010364871114002825
Position 553: 7.684085756144967e-05
Position 1887: 7.521648593220384e-05
Position 364: 6.844140416560366e-05
Position 899: 6.172934400998221e-05
Position 532: 5.090329185312973e-05
Position 2051: 5.011466999536713e-05
Position 1251: 4.7586918101966564e-05
Position 835: 4.484103048239399e-05
Position 1639: 4.240028448389139e-05
Position 1810: 2.853115290154684e-05
Position 862: 2.5867350876666858e-05
Position 316: 2.3476482401609375e-05
Position 1047: 1.5637263922542793e-05
Position 1393: 1.5494387543848925e-05
Position 103: 1.4716103155700329e-05
Position 2234: 1.2878743798797924e-05
Position 1483: 1.2265598126520989e-05
Position 1497: 8.211705039105361e-06
Position 1994: 8.111045151687503e-06
Position 1844: 7.176406109151968e-06
Position 1737: 6.567518804003791e-06
Position 967: 6.160387269494505e-06
Position 1755: 5.459307113470869e-06
Position 348: 4.7036443260035925e-06
Position 1474: 4.543862501468183e-06
Position 1135: 3.896020755980746e-06
Position 1792: 3.017962160117699e-06
Position 1409: 2.644778932154327e-06
Position 1550: 2.1315289919080406e-06
Position 938: 1.9396082850465113e-06
Position 630: 1.803242931890977e-06
Position 134: 7.344055140318112e-07
Position 219: 6.431247627221295e-07
Position 1027: 5.623759093093118e-07
Position 636: 5.411197371872597e-07
Position 1795: 5.37700562168457e-07
Position 677: 5.083852171123112e-07
Position 497: 5.055822824276656e-07
Position 878: 4.5134144588068955e-07
Position 535: 3.971060385820599e-07
Position 245: 3.793787790677177e-07
Position 263: 2.012198528190246e-07
Position 1648: 2.6402252227730136e-08
Position 329: 2.3164506001716976e-08
Position 1651: 1.0710804123981625e-08
Position 1532: 8.353076867506678e-09
Position 1723: 6.403420406758411e-09
Position 1030: 4.55958851075558e-11
