Gene = melt
index = 1787
Annotated 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
Annotated 3SS: [4656 4869 5183 6041 6848 7192 7427 7620 7961]
SMsplice 5SS: [ 712 4812 5122 5986 6791 7087 7363 7557 7903]
SMsplice 3SS: [4656 4869 5183 6041 6848 7210 7427 7620 7961]
top_k =  1000
Partition function (log Z): 31.21660109063094

Sorted 5' Splice Sites (High to Low Probability):
Position 5122: 0.9992401929132743
Position 7087: 0.9970918800950697
Position 7903: 0.9967375303467297
Position 5986: 0.996454630500134
Position 7557: 0.992757786372623
Position 7363: 0.9834072876695704
Position 6791: 0.9693650406222747
Position 4812: 0.9578266767550014
Position 712: 0.916602251970283
Position 2462: 0.13470400391057075
Position 2556: 0.11809938136183082
Position 2248: 0.07557658909854438
Position 1502: 0.06479924619183605
Position 2064: 0.0625119400065567
Position 4809: 0.03710719335924747
Position 6760: 0.026768349555733185
Position 2697: 0.023196894419001673
Position 6632: 0.018827782612380717
Position 927: 0.018069315074153637
Position 71: 0.017913526650765812
Position 3996: 0.01665647109886663
Position 1516: 0.015368860292052476
Position 1269: 0.014440673616685046
Position 75: 0.014176248296899646
Position 6545: 0.013965360392522982
Position 1263: 0.012762933001379557
Position 5333: 0.009817992240789932
Position 996: 0.009594362699747908
Position 93: 0.00854066192441344
Position 6604: 0.006692675634130928
Position 7351: 0.006394645538489484
Position 6495: 0.005946985125684811
Position 7551: 0.005884653190785735
Position 1553: 0.005339959894114964
Position 205: 0.004773796440520314
Position 1009: 0.004731810783153876
Position 4364: 0.00390342188737494
Position 8254: 0.0037032546521769843
Position 115: 0.0034418180795570143
Position 113: 0.003411601950624287
Position 7969: 0.0026621009596109533
Position 7907: 0.00205862599348542
Position 6593: 0.001899180526892927
Position 4816: 0.0017282354383227935
Position 5400: 0.001601656591735777
Position 5393: 0.0014288520054121193
Position 5337: 0.0014176371955017223
Position 8007: 0.0012610994895254845
Position 5391: 0.0011474999737001294
Position 1198: 0.001114313877169764
Position 7537: 0.0010986894442486016
Position 6206: 0.0009214802306484702
Position 5523: 0.0009134484207642268
Position 8001: 0.0008574433275398105
Position 1557: 0.0008548483147460661
Position 117: 0.0008252650330676828
Position 5368: 0.0008084026345190661
Position 5415: 0.0008036519174098542
Position 5254: 0.0007558208487315406
Position 362: 0.000697091649812797
Position 1579: 0.0006926440960588566
Position 8105: 0.0006616773084264505
Position 6855: 0.0005353874635715717
Position 2017: 0.0004864308296244486
Position 8130: 0.00037735983908221806
Position 967: 0.0003719264647093118
Position 5456: 0.00034777390735803604
Position 806: 0.00033221633999612796
Position 8485: 0.0003144563354488776
Position 1971: 0.00028967472021202394
