Gene = Svil
index = 1534
Annotated 5SS: [ 89615 107183 107574 117498 118075 118304 120382 120692]
Annotated 3SS: [106908 107417 117355 117563 118145 118362 120443 120750]
SMsplice 5SS: [   211    595  25302  37810  58574  62176  66184  66433  68447  82499
  83614 107183 107574 117498 118075 118304 120382 120692]
SMsplice 3SS: [   276  24899  37735  56970  61843  65734  66332  66843  81935  83490
 106908 107417 117355 117563 118145 118362 120443 120750]
top_k =  1000
Partition function (log Z): -116.80808378306003

Sorted 5' Splice Sites (High to Low Probability):
Position 25302: 0.99999392969848
Position 211: 0.7868543826526099
Position 595: 0.729663212147456
Position 1789: 0.4851135705783525
Position 14511: 0.3529091713455069
Position 613: 0.20564289956277795
Position 7753: 0.12039909670983474
Position 7546: 0.09424559534308041
Position 12434: 0.06814314507638415
Position 174: 0.06325089956995875
Position 24996: 0.027103639743729604
Position 398: 0.019705030395584765
Position 4269: 0.014960429217897852
Position 20073: 0.014252858571852841
Position 2042: 0.008093546380220563
Position 5892: 0.006498423558173527
Position 6019: 0.005492195075481591
Position 5198: 0.005351908241679382
Position 217: 0.004317059442022617
Position 607: 0.0038484978719252956
Position 195: 0.0037273529412317095
Position 277: 0.00342319996825073
Position 187: 0.0031286984084606265
Position 7807: 0.0027626883654927226
Position 402: 0.0024958674104706706
Position 1660: 0.002373182627913667
Position 1343: 0.00218078457909044
Position 1302: 0.0017615703542387157
Position 769: 0.001167088343257996
Position 388: 0.0010840235831374493
Position 5565: 0.0009640270696623602
Position 404: 0.0008622289768116573
Position 948: 0.0007680484870840152
Position 225: 0.0006720702216139734
Position 198: 0.0005335581652007375
Position 7224: 0.0003327832469974717
Position 249: 0.0002951623379596624
Position 474: 0.0002806931100388809
Position 4288: 0.00022536636238550044
Position 1491: 0.00022304584962710313
Position 189: 0.00021794754896117761
Position 643: 0.00020024735741705686
Position 368: 0.00019172305676114869
Position 605: 0.0001745186564405234
Position 636: 0.00015516647926383894
Position 1235: 0.00014623394476895473
Position 1221: 0.00014029696485532588
Position 5423: 0.0001316732698403796
Position 1313: 0.0001261896685363462
Position 964: 0.00012083259694106494
