Gene = pr
index = 1848
Annotated 5SS: [  75  501  688 1268]
Annotated 3SS: [ 138  607 1121 1329]
SMsplice 5SS: [  75  501  688 1268]
SMsplice 3SS: [ 138  607 1121 1329]
top_k =  1000
Partition function (log Z): 3.3651916021782187

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9878042186066274
Position 1268: 0.9546141373481891
Position 688: 0.9360596266844089
Position 501: 0.9157861444884272
Position 799: 0.041790848577582265
Position 1650: 0.029714847013952047
Position 326: 0.010955468663227006
Position 340: 0.010062163453033566
Position 1682: 0.00614113418119611
Position 42: 0.004905284669782872
Position 1069: 0.004660296833172797
Position 415: 0.0018542786162605183
Position 213: 0.001444849866401498
Position 1665: 0.0013788364093951114
Position 1411: 0.0013534340659239134
Position 294: 0.0011669560935705567
Position 1205: 0.001101336350299182
Position 1071: 0.0008774936794055191
Position 936: 0.0005724701725747475
Position 1247: 0.0005221715724100074
Position 1001: 0.0003738307338109844
Position 963: 0.0003378300332415586
Position 954: 0.00029407757356498995
Position 815: 0.00027316812230438836
Position 875: 0.0002469456990428816
Position 818: 0.0002321356939432588
Position 1686: 0.00020168245464990947
Position 227: 0.00018317045510024357
Position 1404: 0.0001411160521800367
Position 1458: 7.913669839536543e-05
Position 740: 5.7552485501003645e-05
Position 464: 5.599449726442346e-05
Position 650: 4.929142023825899e-05
Position 1629: 4.0922172468815256e-05
Position 32: 3.749760540656198e-05
Position 236: 3.307807266515161e-05
Position 238: 2.4218543570477848e-05
Position 262: 1.6239051869620234e-05
Position 1166: 1.5974424339920583e-05
Position 1300: 1.4900747210248419e-05
Position 1556: 1.4075877555187846e-05
Position 1527: 1.2042978147995041e-05
Position 639: 8.13460266204832e-06
Position 956: 7.517612949628536e-06
Position 79: 4.2662321790586255e-06
Position 250: 3.5810455277895505e-06
Position 901: 3.0703807091867145e-06
Position 96: 2.9145313836306103e-06
Position 491: 2.1960628876990218e-06
Position 1512: 9.409459721632482e-07
Position 279: 9.203283225335106e-07
Position 3: 5.740045988402633e-07
Position 435: 5.204240951517852e-07
Position 720: 5.114841737314233e-07
Position 1133: 4.164421090684936e-07
Position 1376: 4.1555461951842547e-07
Position 19: 3.4639620165892923e-07
Position 568: 2.7294654496596085e-07
Position 448: 3.059958336252201e-08
Position 1121: 1.0946269316067071e-08
Position 129: 3.3351870354593885e-09
Position 1137: 3.324464564253614e-09
Position 100: 2.328819666755965e-09
Position 1091: 1.0178540228519207e-10
Position 607: 7.469164940881796e-11
Position 1109: 1.3078984204881767e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 138: 0.9839968139653154
Position 1121: 0.970563391823925
Position 1329: 0.9570108333269476
Position 607: 0.8069939438662459
Position 568: 0.10258823700296706
Position 1732: 0.03868899664003016
Position 395: 0.01861285588298545
Position 777: 0.01628062771976278
Position 1078: 0.0024742086317612612
Position 1334: 0.0024106383130755413
Position 875: 0.002276084521195703
Position 1342: 0.0018294476154173984
Position 1383: 0.0017663977858564054
Position 479: 0.0017612352598454731
Position 831: 0.0014446504374466328
Position 147: 0.001373586235352274
Position 356: 0.0010619118315354458
Position 740: 0.0007875628889916507
Position 294: 0.00045541683787439166
Position 1008: 0.00044197065817193527
Position 997: 0.000419151799034517
Position 160: 0.00040590507826154234
Position 401: 0.00039386808082216435
Position 1552: 0.0003398916988365406
Position 189: 0.00014059318511643832
Position 115: 0.00012547291629990345
Position 889: 0.00010535409794432924
Position 815: 7.97083532312255e-05
Position 500: 7.565658306317745e-05
Position 363: 6.42737090951819e-05
Position 1597: 5.322222954649847e-05
Position 1445: 4.8256148569048814e-05
Position 1268: 4.565013742640956e-05
Position 1682: 4.303264125766897e-05
Position 1088: 3.297985629309479e-05
Position 325: 3.269880454807884e-05
Position 1028: 3.258471854060083e-05
Position 720: 3.1106777568085755e-05
Position 850: 3.055161088331239e-05
Position 407: 2.735554527501289e-05
Position 1389: 2.6955831004354713e-05
Position 441: 2.567257721625356e-05
Position 213: 1.914888408472407e-05
Position 415: 1.842075998853265e-05
Position 250: 1.76446039182327e-05
Position 1632: 1.2680624837381968e-05
Position 1621: 1.1568815967575659e-05
Position 199: 7.218095063090795e-06
Position 309: 6.288230932845768e-06
Position 1020: 6.02821668399837e-06
Position 1216: 4.051539876705507e-06
Position 1392: 3.86783821490886e-06
Position 619: 3.855949069893821e-06
Position 629: 3.5114322710183508e-06
Position 1434: 2.8510863744690636e-06
Position 1126: 2.8507791295351587e-06
Position 508: 2.8471071014685274e-06
Position 218: 2.818598471318468e-06
Position 978: 2.505078588988025e-06
Position 322: 2.3953375046402674e-06
Position 1183: 1.4093006366648893e-06
Position 220: 1.3476649345355327e-06
Position 65: 8.069121354540555e-07
Position 1279: 6.602298225205871e-07
Position 371: 5.017134912518457e-07
Position 1243: 4.964591975209818e-07
Position 639: 3.917529380305323e-07
Position 650: 3.9012760085598015e-07
Position 687: 3.675972075819113e-07
Position 1689: 3.474445263800278e-07
Position 1602: 3.2540896230107224e-07
Position 1231: 3.142211220777953e-07
Position 1608: 2.8568083039103196e-07
Position 227: 2.593090293072229e-07
Position 1654: 2.3552669495549093e-07
Position 74: 4.0536339043831724e-08
Position 96: 1.7935461113676827e-08
Position 234: 1.3740427459032032e-08
Position 168: 9.863623589201674e-09
Position 79: 3.193573780663138e-10
Position 1283: 9.83973133597971e-11
