Gene = fy
index = 1711
Annotated 5SS: [ 277 1450]
Annotated 3SS: [ 334 1508]
SMsplice 5SS: [277]
SMsplice 3SS: [334]
top_k =  1000
Partition function (log Z): -5.387127633724899

Sorted 5' Splice Sites (High to Low Probability):
Position 277: 0.9893201509511126
Position 1450: 0.27044218888194305
Position 57: 0.2275430495777712
Position 65: 0.04579224023436666
Position 652: 0.008453832626325108
Position 1555: 0.001733585242751177
Position 529: 0.0014271431006734926
Position 696: 0.001365567425439609
Position 1551: 0.0012369466933340252
Position 283: 0.0009212034382466614
Position 1336: 0.0007159125735471969
Position 1145: 0.0006904613791910928
Position 844: 0.0004955351504653873
Position 1235: 0.00046070080511263257
Position 997: 0.00039350893757002215
Position 511: 0.00031516318750700426
Position 80: 0.00028249047967829056
Position 1430: 0.00027642596482073395
Position 759: 0.0002759161593047193
Position 1603: 0.0002674709305133312
Position 509: 0.00026541195012609446
Position 1563: 0.0002182817123644562
Position 1482: 0.00021225380303708103
Position 155: 0.0002045705951233652
Position 522: 0.00013592593530218264
Position 1185: 0.00012044540861276917
Position 1270: 0.00011092224075892493
Position 175: 9.272367955664033e-05
Position 524: 7.836019624012765e-05
Position 1417: 7.40120092652502e-05
Position 1559: 6.51068883604958e-05
Position 923: 6.133446622493158e-05
Position 965: 4.539229420874028e-05
Position 1113: 4.531875183910516e-05
Position 895: 4.2488046715163825e-05
Position 1627: 3.303225609866833e-05
Position 246: 2.8746472499271048e-05
Position 982: 2.868438937213157e-05
Position 244: 2.8232321643506497e-05
Position 218: 2.058474850327859e-05
Position 935: 1.9902711576261002e-05
Position 1414: 1.858908660150744e-05
Position 942: 1.7451412243056324e-05
Position 310: 1.2834099234743398e-05
Position 583: 9.214959120552731e-06
Position 690: 9.08597341507011e-06
Position 917: 8.67370850794844e-06
Position 1372: 8.592388772940207e-06
Position 213: 5.312024493095261e-06
Position 1499: 4.730509609393807e-06
Position 108: 3.3204080865667535e-06
Position 886: 3.3027161973304923e-06
Position 563: 3.2268229138913617e-06
Position 466: 2.9525667116963517e-06
Position 969: 2.4708928650520813e-06
Position 806: 1.9204651167184433e-06
Position 1210: 1.5291861310036233e-06
Position 1220: 1.5248117794533338e-06
Position 819: 1.4038315471716313e-06
Position 880: 9.938422004109271e-07
Position 1036: 7.734502940342012e-07
Position 990: 2.907385509570467e-07
Position 723: 2.149379806910309e-07
Position 201: 5.7607684908166816e-08
Position 168: 4.31568238437945e-08
Position 1494: 3.3850378079293292e-09
Position 809: 1.9021049437689425e-09
Position 1006: 1.6113712874077085e-09
Position 385: 1.5401435957737282e-09
Position 757: 1.4407298139530683e-09
Position 350: 1.2054676944404884e-09
Position 665: 5.824500351213376e-10
Position 783: 4.6510544209660824e-10
Position 376: 3.2605123722352507e-10
Position 774: 3.719974257505114e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 334: 0.9861027484199993
Position 1508: 0.27244204300676483
Position 108: 0.23954916855986438
Position 159: 0.0152234342487676
Position 174: 0.00958159946714084
Position 385: 0.006518277161466985
Position 1664: 0.004925689677233415
Position 171: 0.004564874961225297
Position 1315: 0.0038628211565200927
Position 1249: 0.0019430791467079866
Position 990: 0.0012005062125257917
Position 602: 0.00108023744730562
Position 1210: 0.0009622067790873593
Position 1545: 0.0009605130334632425
Position 1088: 0.0009223951895669008
Position 1685: 0.0005960959505331735
Position 630: 0.0005173508413168365
Position 1197: 0.00045976822702870003
Position 1295: 0.00038800948087876495
Position 953: 0.00033054851447127115
Position 774: 0.00028362204423650696
Position 969: 0.0002654549514548124
Position 578: 0.00025671795300322587
Position 1056: 0.00021692814607581363
Position 1690: 0.00014355152040944542
Position 1551: 0.0001329412676024728
Position 1353: 0.000124603600941886
Position 1323: 0.0001171832977362198
Position 310: 0.00010069606741010522
Position 1585: 9.110360628373694e-05
Position 1340: 8.419884693411877e-05
Position 1494: 7.084224963900978e-05
Position 1113: 6.383254105410695e-05
Position 1073: 5.499991117646304e-05
Position 757: 4.9534753073411285e-05
Position 188: 4.464802147410649e-05
Position 1481: 3.988328917731356e-05
Position 1548: 3.180068498649626e-05
Position 406: 2.9115067322025035e-05
Position 1427: 2.123177311726278e-05
Position 942: 1.8922302457477178e-05
Position 1185: 1.6750612128333675e-05
Position 1270: 1.3981612065017464e-05
Position 191: 1.2212303152462881e-05
Position 1267: 1.2050160375671453e-05
Position 1372: 9.063817332603227e-06
Position 1592: 7.315285981686195e-06
Position 1218: 4.160584134658938e-06
Position 244: 1.7426231355856193e-06
Position 1018: 1.5505774805177972e-06
Position 445: 1.4361213778034282e-06
Position 439: 1.2023878105077795e-06
Position 427: 1.1101976837632158e-06
Position 683: 1.0959631740652213e-06
Position 185: 1.0730384915608744e-06
Position 420: 8.29984063397754e-07
Position 261: 7.908759356316862e-07
Position 258: 1.9519672091882972e-07
Position 430: 2.4104247847181297e-09
Position 193: 1.6761641569507352e-09
Position 640: 7.274409308176326e-10
Position 265: 4.868676996512941e-10
Position 547: 3.1383138569497136e-10
Position 463: 1.3095012383086518e-10
Position 572: 8.612260036223247e-11
Position 748: 6.713064415929884e-11
Position 281: 3.1329232726411906e-11
Position 652: 1.4933719046689387e-11
Position 466: 8.916506621251798e-12
Position 535: 1.5334597726126369e-12
Position 283: 1.1381427221491505e-12
Position 649: 8.623743837397689e-13
Position 637: 4.157507652589122e-14
