Gene = Cpr62Ba
index = 1092
Annotated 5SS: [ 116 6729]
Annotated 3SS: [6575 7078]
SMsplice 5SS: [116]
SMsplice 3SS: [7078]
top_k =  1000
Partition function (log Z): -12.955442383029636

Sorted 5' Splice Sites (High to Low Probability):
Position 116: 0.4132836650211385
Position 6729: 0.33114127673584487
Position 2968: 0.26875865428159856
Position 100: 0.2533973128332673
Position 2231: 0.24427852928186725
Position 1748: 0.2152350896309263
Position 5595: 0.11747132092403398
Position 1989: 0.09362968953070439
Position 637: 0.04229301780845859
Position 866: 0.04179312942974105
Position 369: 0.0413675953910433
Position 407: 0.035848535477619764
Position 875: 0.032703169166393084
Position 2506: 0.024607352093338447
Position 507: 0.018591434646992606
Position 1624: 0.010334525029336138
Position 387: 0.010035823760075079
Position 109: 0.007688722701802469
Position 30: 0.007330623747243268
Position 619: 0.005558776781387229
Position 17: 0.0030887691099713297
Position 2945: 0.0029980671149446273
Position 3830: 0.0028630216711662483
Position 2105: 0.00226927515360114
Position 2011: 0.0018291015163542906
Position 1693: 0.001557368627807635
Position 1998: 0.0011056321613155237
Position 5552: 0.0010862546701544554
Position 355: 0.0010394571719260877
Position 1755: 0.001020452587596435
Position 1853: 0.0008880576501735878
Position 3929: 0.0007742318587953978
Position 530: 0.0005416620938485581
Position 1154: 0.00041455434907953424
Position 2246: 0.000384336002363342
Position 479: 0.0003284991923502881
Position 1147: 0.00028286366951953986
Position 1264: 0.00020828056404023894
Position 139: 0.00020707160579067297
Position 528: 0.00015948882045681265
Position 544: 0.0001467029908167959
Position 2309: 0.0001258347214742069
Position 734: 9.687320446979355e-05
Position 522: 9.503165178855369e-05
Position 254: 8.645589310633875e-05
Position 1115: 8.131467490998116e-05
Position 1151: 7.840287544428293e-05
Position 1938: 6.89834589848398e-05
Position 4535: 6.791260161306145e-05
Position 411: 6.304257924103205e-05
Position 1089: 5.953219916246673e-05
Position 2634: 5.7425994703833455e-05
Position 326: 5.352731352228297e-05
Position 1120: 5.25280675229912e-05
Position 1051: 4.8194308579165746e-05
Position 60: 4.5904812117367264e-05
Position 1936: 3.0010755736086035e-05
Position 191: 2.9467087487253503e-05
Position 1204: 2.8810657828146167e-05
Position 1491: 2.3766738575916103e-05
Position 1940: 2.2264825464170778e-05
Position 2046: 2.086818886684036e-05
Position 780: 1.9830977467219292e-05
Position 350: 1.8393542688113284e-05
Position 1928: 1.8229805000599357e-05
Position 413: 1.77430111247398e-05
Position 310: 1.6126102880023454e-05
Position 339: 1.5389183713943748e-05
Position 1285: 1.512280072648291e-05
Position 549: 8.70236022640837e-06
Position 893: 8.621803075888844e-06
Position 1022: 4.25888351705801e-06
Position 755: 3.9452498541724065e-06
Position 917: 3.77049509797174e-06
Position 1012: 2.4672006029300038e-06
Position 1305: 2.4074699513840437e-06
Position 1180: 2.34896129515783e-06
Position 1473: 2.2692913912214252e-06
Position 951: 2.0220529094192274e-06
Position 359: 1.739006900226637e-06
Position 12: 9.654873562248258e-07
Position 231: 7.487557619358985e-07
Position 940: 2.4700918358760416e-07
Position 1709: 1.5928878102868728e-08
Position 1676: 1.3557249877620642e-08
Position 926: 9.146753435524176e-09
Position 1449: 2.5121382438737683e-09
Position 666: 9.793763549778154e-10
