Gene = dgt2
index = 1669
Annotated 5SS: [320]
Annotated 3SS: [376]
SMsplice 5SS: [320 620 837]
SMsplice 3SS: [376 696 904]
top_k =  1000
Partition function (log Z): -5.406925339135248

Sorted 5' Splice Sites (High to Low Probability):
Position 620: 0.7488933069243386
Position 320: 0.671854068825392
Position 837: 0.4692437739293897
Position 430: 0.43547068614271944
Position 862: 0.15159852702981746
Position 313: 0.10814554975023598
Position 855: 0.0750006273951808
Position 302: 0.009060680965624802
Position 799: 0.001872381170609452
Position 328: 0.0014290985676007986
Position 604: 0.0009040852044537855
Position 62: 0.0008073473663645946
Position 166: 0.0006126647133732949
Position 211: 0.0005932766163098221
Position 892: 0.0002530833654642891
Position 590: 0.00021232295322592674
Position 624: 0.00014134678272644774
Position 227: 6.267969441388711e-05
Position 906: 5.676876767752613e-05
Position 335: 4.7618145452955924e-05
Position 14: 4.3206135279012804e-05
Position 269: 3.839047641062808e-05
Position 3: 3.214181354885149e-05
Position 434: 3.116705064247512e-05
Position 351: 2.5859849576423254e-05
Position 781: 2.10114880483074e-05
Position 909: 1.980424446885134e-05
Position 8: 1.3800758449331117e-05
Position 377: 1.1937193682932264e-05
Position 444: 1.0119937964911967e-05
Position 486: 8.058899077908136e-06
Position 256: 7.176588715656607e-06
Position 184: 4.51724525070015e-06
Position 669: 4.0234584508978316e-06
Position 712: 8.711847296110778e-07
Position 972: 7.205848137031814e-07
Position 919: 6.515811248140398e-07
Position 959: 4.923080948339448e-07
Position 395: 1.0306041921201549e-07
Position 507: 6.727042751476799e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.7796616215390544
Position 696: 0.6452336778181124
Position 494: 0.4344756560772286
Position 904: 0.4038757930164606
Position 918: 0.17050821277956638
Position 933: 0.09651807494398537
Position 959: 0.07607434484744793
Position 669: 0.027536910312523328
Position 727: 0.01982740100841854
Position 724: 0.010793794700822602
Position 702: 0.003515401776809212
Position 779: 0.0031343156185591036
Position 968: 0.001535834608621189
Position 528: 0.0010902432335578051
Position 130: 0.0007938313033115096
Position 426: 0.0004895960999208047
Position 555: 0.0002514080106556226
Position 269: 0.000167989242953055
Position 395: 0.00013258958848271735
Position 351: 0.00012609139112364928
Position 1005: 0.00012153217104459917
Position 531: 0.00010187857538825202
Position 348: 9.65049011627192e-05
Position 1008: 8.788331916399555e-05
Position 1034: 8.161888516193275e-05
Position 72: 6.611223663950421e-05
Position 756: 5.890566020999812e-05
Position 642: 4.577577226794669e-05
Position 981: 2.200171329278714e-05
Position 870: 1.607053359832142e-05
Position 558: 1.5862740913759983e-05
Position 392: 1.546752182571095e-05
Position 504: 1.540424061003155e-05
Position 386: 1.235008504448982e-05
Position 242: 1.1356525747947711e-05
Position 624: 8.11016084625698e-06
Position 639: 4.602266334742755e-06
Position 1016: 4.31109376913408e-06
Position 786: 1.542055318790645e-06
Position 156: 1.3380337546800188e-06
Position 507: 1.2466614009446474e-06
Position 227: 7.606326030557856e-07
Position 542: 1.395222572232506e-07
Position 162: 1.1318656714626471e-07
Position 795: 1.0493114363153762e-07
Position 294: 7.036674167163688e-08
Position 573: 3.0314722276396096e-08
Position 312: 2.211328045350869e-08
Position 165: 2.1397238505831856e-08
Position 306: 1.904365357842172e-08
Position 288: 1.2246251760334579e-08
Position 335: 1.2230597739478012e-08
Position 798: 1.0944326464845625e-08
Position 174: 1.0139151649560637e-08
Position 576: 9.489279255119228e-09
Position 200: 4.147995642483547e-09
Position 184: 3.8474400603040385e-09
Position 579: 2.9876434338030444e-09
Position 323: 1.6766858092013433e-09
Position 244: 1.2600077849135156e-09
Position 587: 8.797368297871772e-10
Position 309: 7.441675392464906e-10
Position 180: 2.612434670999721e-10
Position 298: 5.700274307617298e-12
Position 195: 1.7289217159882281e-15
