Gene = TMS1
index = 1539
Annotated 5SS: [ 159 1082 1257 1500 1772 2235]
Annotated 3SS: [ 525 1146 1315 1561 2071 2298]
SMsplice 5SS: [ 159 1082 1257 1500 1772 2235]
SMsplice 3SS: [ 525 1146 1315 1561 1836 2298]
top_k =  1000
Partition function (log Z): 20.28680312013683

Sorted 5' Splice Sites (High to Low Probability):
Position 2235: 0.9971766751655045
Position 1082: 0.9971516288075267
Position 1257: 0.9971037948228656
Position 1500: 0.9916813048819757
Position 1772: 0.9785693333666572
Position 159: 0.775035611156286
Position 187: 0.21904515607508096
Position 23: 0.06352593851421319
Position 1922: 0.03432640355674777
Position 2009: 0.026697680617002364
Position 777: 0.013910313509006978
Position 631: 0.013586967845849748
Position 612: 0.012355747354065694
Position 2001: 0.00813291432065811
Position 2021: 0.006885189024150474
Position 1735: 0.005123512919211372
Position 808: 0.0037710952871396904
Position 2229: 0.002261537330354727
Position 2344: 0.0016583899689269909
Position 2568: 0.0013824208678705058
Position 799: 0.0009243680512348333
Position 461: 0.0008669990658705394
Position 2607: 0.0008468481289245724
Position 2023: 0.0007137046291883249
Position 994: 0.0007034580044574921
Position 1891: 0.0006576939667788474
Position 2411: 0.0005727954214949157
Position 2373: 0.0005303812321675952
Position 640: 0.0005224795415458031
Position 788: 0.0005023712554133184
Position 2571: 0.00047275779248512985
Position 1692: 0.00039974199329215296
Position 990: 0.00038865616858427005
Position 2520: 0.0002819588353481318
Position 1463: 0.00025362957656837855
Position 2573: 0.00024353603854067505
Position 1769: 0.0002163599138843266
Position 1477: 0.000178419203926671
Position 1935: 0.00017142605393515934
Position 720: 0.00013301259715121227
Position 1953: 0.00012844938697172072
Position 30: 0.00010846402457867189
Position 95: 9.744457555699223e-05
Position 415: 9.174751650197105e-05
Position 766: 8.391310127586303e-05
Position 1803: 7.788046307375445e-05
Position 2468: 7.716094422596693e-05
Position 1707: 7.232650696316861e-05
Position 1729: 6.559569933318451e-05
Position 2447: 6.556298352936023e-05
Position 391: 6.193961288065686e-05
Position 2375: 4.823333179869587e-05
Position 1836: 4.5499980195723686e-05
Position 2239: 4.312035082477187e-05
Position 1778: 3.729701026072803e-05
Position 1456: 3.426901266693607e-05
Position 1191: 3.122863442091499e-05
Position 1266: 2.5547946414931065e-05
Position 717: 2.537297623219822e-05
Position 1261: 2.496050498087361e-05
Position 1263: 1.701829490233311e-05
Position 1382: 1.685684495373211e-05
Position 1317: 1.0645955050732621e-05
Position 1091: 8.537154119046706e-06
Position 1465: 8.307130455636697e-06
Position 1698: 7.876234518263227e-06
Position 2364: 7.580395871218574e-06
Position 977: 6.789576063585431e-06
Position 1484: 6.388347257135561e-06
Position 1776: 6.343382004742943e-06
Position 2045: 5.627300468292384e-06
Position 1202: 5.52434324027983e-06
Position 2457: 5.380778419630544e-06
Position 1086: 5.092044920752152e-06
Position 843: 4.772436358020454e-06
Position 1339: 4.264212185618034e-06
Position 1288: 4.059698305856587e-06
Position 2182: 3.704087004454813e-06
Position 1651: 3.478980036310275e-06
Position 1448: 3.1006956920392344e-06
Position 1045: 3.0635268621804195e-06
Position 998: 2.6930704561813778e-06
Position 1684: 2.398466537998274e-06
Position 1530: 2.1716657789450673e-06
Position 745: 2.037053071506085e-06
Position 660: 1.6536446219101792e-06
Position 1796: 1.6018086633169934e-06
Position 145: 1.4379510002058444e-06
Position 63: 1.3451596871386439e-06
Position 232: 1.28112156332941e-06
Position 1368: 1.2777758557330247e-06
Position 860: 1.1987897544144193e-06
Position 10: 1.0264037159712085e-06
Position 2068: 1.021502404298083e-06
Position 1687: 9.587919109412278e-07
Position 2348: 8.857884274566903e-07
Position 1584: 8.249689606552694e-07
Position 370: 7.822078332824705e-07
Position 1162: 7.585522464317421e-07
Position 1544: 6.871846665917836e-07
Position 1007: 6.415032101747573e-07
Position 1165: 5.851392105666766e-07
Position 1036: 5.472637110933616e-07
Position 84: 4.7587002801124535e-07
Position 561: 4.40086375217999e-07
Position 1528: 4.1000621670352787e-07
Position 2188: 2.995892843437141e-07
Position 862: 2.4357004872824586e-07
Position 2357: 2.3039156076759326e-07
Position 1403: 2.2322020755908163e-07
Position 2166: 2.0046768549912363e-07
Position 2172: 1.9863144843066007e-07
Position 107: 1.9706470035251335e-07
Position 884: 1.91358100589799e-07
Position 2152: 1.69552147709602e-07
Position 1312: 1.2815181428096367e-07
Position 492: 1.2684496944513362e-07
Position 1783: 1.006189553333606e-07
