Gene = bark
index = 1622
Annotated 5SS: [  152  3979  5608  9720 11988 12262 12687 12871 13065 13221 13655 13938]
Annotated 3SS: [ 3370  5428  5665  9781 12049 12330 12744 13040 13122 13283 13712 14040]
SMsplice 5SS: [  152  5608  5923  9720 11988 12262 12687 13065 13221 13655 13938]
SMsplice 3SS: [ 5428  5665  9570  9781 12049 12330 12744 13122 13283 13712 14040]
top_k =  1000
Partition function (log Z): 18.35095608876741

Sorted 5' Splice Sites (High to Low Probability):
Position 12687: 0.9969291615648577
Position 13221: 0.996329131960296
Position 5608: 0.9952686080247447
Position 11988: 0.9815104891270037
Position 12262: 0.9776570360892075
Position 9720: 0.9608408943120009
Position 13065: 0.9013869826531625
Position 13655: 0.8532676745157656
Position 5923: 0.737491360641466
Position 13938: 0.6990275539831381
Position 152: 0.55241196009261
Position 3979: 0.47073867058630925
Position 12871: 0.2903146260200313
Position 11399: 0.20335761773002511
Position 12456: 0.2001467773741464
Position 464: 0.12099365233452153
Position 8286: 0.07521352870968281
Position 34: 0.07098088350776026
Position 8682: 0.06426002917988066
Position 71: 0.05574301480377851
Position 7978: 0.05045044562200138
Position 5854: 0.04840662990476542
Position 1066: 0.04610436184391879
Position 8259: 0.044942399091131256
Position 74: 0.038460920805147576
Position 10506: 0.03401455189604031
Position 10833: 0.033506440871675106
Position 10854: 0.029470904531556458
Position 8585: 0.029321261443071886
Position 4714: 0.028059783317281418
Position 13350: 0.027337228109576693
Position 5794: 0.026711496103692594
Position 7104: 0.02511281360786522
Position 94: 0.022368025418132976
Position 12267: 0.018108940864154
Position 10900: 0.017953997926303634
Position 1452: 0.01788447465324553
Position 13365: 0.017197010035335997
Position 10021: 0.016674869326939866
Position 12544: 0.01517885210623357
Position 340: 0.01510170589207881
Position 14375: 0.014179664688305973
Position 15215: 0.013883846551712362
Position 7612: 0.013303825538588344
Position 13541: 0.012949648318613187
Position 15075: 0.012092358951541435
Position 7461: 0.01112343217711134
Position 533: 0.010133989993542286
Position 1955: 0.010110529818632375
Position 7690: 0.010081820232768168
Position 10281: 0.00839998073072767
Position 643: 0.008264279137601794
Position 14187: 0.008245776999577766
Position 15013: 0.007786519462160791
Position 5848: 0.007643232800970639
Position 377: 0.006856425126720286
Position 13691: 0.005987245505679783
Position 13978: 0.00587410108302475
Position 7466: 0.005761230638183855
Position 6618: 0.004575353595804766
Position 1379: 0.004486459088139585
Position 10070: 0.004373656378499459
Position 15182: 0.00426652243030782
Position 947: 0.004211294639625831
Position 2548: 0.004077969110490614
Position 14147: 0.004072139898119734
Position 1709: 0.0038668002166286908
Position 881: 0.0036032347795738806
Position 522: 0.0034445567787979316
Position 7132: 0.003434471994208905
Position 13498: 0.0033513523436208364
Position 5771: 0.003233657903699244
Position 131: 0.003212384074293092
Position 5612: 0.003189563127341906
Position 683: 0.003179925778960958
Position 136: 0.002936099898128261
Position 6271: 0.002809651232093194
Position 125: 0.002654244515956586
Position 11451: 0.002462940729383946
Position 4707: 0.0023442356927060454
Position 1239: 0.00208958090786492
Position 3265: 0.0020244236047175382
Position 10509: 0.0019310657042899762
Position 11395: 0.0019271696091352044
Position 15080: 0.0018932051644657273
Position 18: 0.0018859188765771116
Position 7936: 0.0018051431631705107
Position 12483: 0.001784906412402866
Position 345: 0.0017478834967858483
Position 12640: 0.001685203914392483
Position 1193: 0.001547820002025937
Position 6177: 0.0015292756729663292
