Gene = ppk27
index = 1845
Annotated 5SS: [1079 1322]
Annotated 3SS: [1138 1389]
SMsplice 5SS: [1079 1322]
SMsplice 3SS: [1138 1389]
top_k =  1000
Partition function (log Z): -6.627298250797897

Sorted 5' Splice Sites (High to Low Probability):
Position 1079: 0.9428889277368121
Position 1322: 0.7546035145549798
Position 614: 0.1259750368397724
Position 1241: 0.0766187436384183
Position 192: 0.007721785106292817
Position 1072: 0.006813888823124232
Position 1308: 0.0049182422228575525
Position 1326: 0.00430675994889227
Position 938: 0.003625292326223343
Position 814: 0.0023876562990909223
Position 1281: 0.0019178470575829144
Position 231: 0.0009580146491907443
Position 1111: 0.000914801737142251
Position 145: 0.0009094029785485083
Position 809: 0.0008671657104073219
Position 430: 0.0008185550549496629
Position 1035: 0.0005763519076086923
Position 932: 0.00044121305410980104
Position 1068: 0.0004372171538730082
Position 891: 0.0003632390413119312
Position 508: 0.00035597819722030504
Position 377: 0.0003176038039762367
Position 337: 0.00018867469346346778
Position 593: 0.00017930250471005687
Position 648: 7.798452795552688e-05
Position 1083: 6.747005129591117e-05
Position 612: 6.164676998201313e-05
Position 79: 6.0283575376451886e-05
Position 504: 5.820171406874352e-05
Position 1337: 5.7781344708171764e-05
Position 1029: 5.639144469702621e-05
Position 856: 5.527485732172306e-05
Position 383: 5.1847038130278374e-05
Position 701: 4.816267914391719e-05
Position 1330: 4.4110260901638845e-05
Position 390: 4.3530976008491934e-05
Position 962: 4.255461864954816e-05
Position 523: 4.1947009366841995e-05
Position 408: 4.015241913320544e-05
Position 266: 3.78776141686337e-05
Position 237: 2.9763488965321347e-05
Position 124: 2.7099310318493787e-05
Position 591: 2.4362147205449485e-05
Position 683: 2.0833175095339705e-05
Position 993: 1.9270048068712436e-05
Position 948: 1.8375354577778593e-05
Position 1061: 1.3204029932645929e-05
Position 898: 1.30660219307672e-05
Position 960: 1.1271460892430743e-05
Position 1002: 1.1138187270544386e-05
Position 1014: 1.0930919806110984e-05
Position 1320: 8.664729155091209e-06
Position 818: 7.621732247039303e-06
Position 914: 7.0558583351765435e-06
Position 1169: 6.8437313903861614e-06
Position 101: 6.669172542042349e-06
Position 286: 6.456700736480502e-06
Position 380: 4.667670070127076e-06
Position 1191: 3.0317941689124603e-06
Position 844: 3.017314692085399e-06
Position 1245: 2.766168881220696e-06
Position 800: 2.4140338166377446e-06
Position 618: 1.3924951669101124e-06
Position 1438: 1.3117394245595732e-06
Position 785: 1.045093927447727e-06
Position 148: 7.494342738154192e-07
Position 995: 7.155617147805427e-07
Position 688: 6.314412238994471e-07
Position 53: 3.994485327777383e-07
Position 276: 2.114936219692456e-07
Position 274: 1.839975895831466e-07
Position 114: 1.5322484973099002e-07
Position 1160: 1.4808527841592523e-07
Position 434: 6.8601408889820594e-09
Position 686: 2.5662539719364e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1138: 0.9161824090740285
Position 1389: 0.8459820002869145
Position 664: 0.04166336445792981
Position 1199: 0.03757164772162093
Position 695: 0.03290165511826767
Position 1110: 0.008360152071360519
Position 785: 0.007857832625033026
Position 701: 0.007160524564453044
Position 800: 0.006793080411711461
Position 245: 0.006792498857087617
Position 901: 0.0064132799974064994
Position 993: 0.005571418777172488
Position 715: 0.003638985770881202
Position 1019: 0.0029574510397534673
Position 1438: 0.0018093019918020196
Position 1153: 0.001304231978194595
Position 302: 0.0010918426365483728
Position 870: 0.0009451874788761928
Position 928: 0.0006883184226222437
Position 1496: 0.0006131708361720025
Position 807: 0.0005895313677760808
Position 965: 0.0005511138597579134
Position 266: 0.0005216675401310007
Position 841: 0.0004590242245591787
Position 319: 0.0004495337197063643
Position 555: 0.0003431686189601901
Position 1241: 0.00010954172045030473
Position 648: 0.00010562770722507575
Position 430: 9.89117873412e-05
Position 517: 8.669889247109036e-05
Position 274: 7.864374650314187e-05
Position 434: 7.154786941544885e-05
Position 589: 7.063605880860126e-05
Position 130: 5.762320791377963e-05
Position 1278: 4.380234644268097e-05
Position 812: 3.831813753846002e-05
Position 514: 3.2992413869353954e-05
Position 203: 3.1119444978580504e-05
Position 212: 2.974509548101838e-05
Position 401: 2.3384838629978346e-05
Position 1068: 2.100691370683407e-05
Position 1326: 1.8062731094675296e-05
Position 390: 1.3967765174715055e-05
Position 853: 1.2220983534178767e-05
Position 612: 9.324394911032763e-06
Position 395: 8.381097508486442e-06
Position 337: 7.897043614047175e-06
Position 930: 5.919656661349366e-06
Position 380: 4.470607543171263e-06
Position 941: 4.160553541763879e-06
Position 1014: 3.985478879046019e-06
Position 1029: 3.215264873179467e-06
Position 818: 2.4400900138391744e-06
Position 973: 1.7189810588838036e-06
Position 938: 1.5840987615956734e-06
Position 1050: 1.5094668240201613e-06
Position 906: 1.2089307224218476e-06
Position 1448: 1.1382492538077825e-06
Position 170: 1.0774303288071213e-06
Position 1058: 5.53809924405045e-07
Position 1075: 5.274554545389817e-07
Position 1502: 1.8545094274930166e-07
Position 412: 1.4061382597658324e-07
Position 366: 8.07707354220932e-08
Position 346: 6.623871871363926e-08
Position 221: 3.75056813056505e-08
Position 519: 3.539671848224498e-08
Position 101: 1.740743854712412e-10
