Gene = ebi
index = 1689
Annotated 5SS: [ 380 1644]
Annotated 3SS: [ 444 1721]
SMsplice 5SS: [ 380 1644]
SMsplice 3SS: [ 444 1721]
top_k =  1000
Partition function (log Z): 1.0897119317431034

Sorted 5' Splice Sites (High to Low Probability):
Position 1644: 0.9980766988434865
Position 380: 0.9978355601638175
Position 2809: 0.16859556118965027
Position 2511: 0.1506741350822103
Position 2289: 0.13225094708248855
Position 2650: 0.04574010270739226
Position 1300: 0.04530078903274134
Position 2031: 0.033389550675865874
Position 2411: 0.017624408762930543
Position 2882: 0.016481384351057775
Position 1269: 0.01204065440456235
Position 2665: 0.01174846339006527
Position 2024: 0.011631203475376498
Position 496: 0.0075048391478647405
Position 2849: 0.005048928092980487
Position 651: 0.003336958599630634
Position 582: 0.003068805873780854
Position 2533: 0.003025189443932976
Position 3390: 0.002873633897734245
Position 2073: 0.002870911625615494
Position 3069: 0.002770716991468498
Position 3287: 0.002641124637034769
Position 861: 0.00241804364855357
Position 1996: 0.002164807088821126
Position 1819: 0.0017226203330974776
Position 2484: 0.0016213703220432343
Position 2597: 0.0015574967961995054
Position 2994: 0.001214103992327588
Position 1360: 0.0012012962040197455
Position 1847: 0.0010736988960717887
Position 1290: 0.0010311491352807203
Position 1504: 0.0010155350992777554
Position 3273: 0.0009370379833947838
Position 3098: 0.0009184463663181536
Position 2016: 0.0007436865600785348
Position 796: 0.0006911955923671091
Position 1249: 0.0006898494612594667
Position 2029: 0.0006183253772361656
Position 384: 0.0005782031532059193
Position 3381: 0.0005193169357001247
Position 3254: 0.00045255345143357706
Position 600: 0.0004500707197913781
Position 2620: 0.00039482220052150855
Position 1003: 0.0003872952624549262
Position 2843: 0.00035776529222911625
Position 3277: 0.0003039118947896319
Position 1257: 0.0002794179488921405
Position 1458: 0.00026074430717679695
Position 1648: 0.0002601483753274446
Position 772: 0.00018710221628203004
Position 1605: 0.00018059646840725552
Position 180: 0.00016692666341557624
Position 1137: 0.0001359998986914313
Position 343: 0.00013417069325705763
Position 570: 0.00011458972409266622
Position 3270: 0.0001031393490532679
Position 240: 9.619032857543083e-05
Position 1942: 8.167057589496181e-05
Position 976: 7.393781364888277e-05
Position 575: 7.38229312817764e-05
Position 672: 7.372731567718976e-05
Position 2297: 7.002222558578219e-05
Position 141: 5.8739569074950135e-05
Position 2164: 4.6442571662083414e-05
Position 1434: 4.21452493327173e-05
Position 553: 3.667560846850302e-05
Position 1295: 3.5283583253576764e-05
Position 223: 3.069873656765681e-05
Position 560: 2.7576993810011585e-05
Position 1179: 2.3674846058497615e-05
Position 208: 2.1718640396144694e-05
Position 1786: 2.085306818305483e-05
Position 1078: 1.8045190357053184e-05
Position 210: 1.769787396288837e-05
Position 1679: 1.6709978116477643e-05
Position 2018: 1.4478089887512207e-05
Position 1171: 1.4245695321474236e-05
Position 2561: 1.364511701481885e-05
Position 2695: 1.3038839918166335e-05
Position 940: 1.2085841749262161e-05
Position 1838: 1.0147792968124182e-05
Position 848: 8.457774769806447e-06
Position 290: 8.346101898475222e-06
Position 2668: 8.034936145675523e-06
Position 2595: 7.939268280899533e-06
Position 1759: 7.588433456952539e-06
Position 50: 7.4949287330772544e-06
Position 282: 7.233509966297624e-06
Position 2087: 7.0456555898354065e-06
Position 467: 6.032931391113949e-06
Position 293: 5.86590286589706e-06
Position 165: 5.603757907852927e-06
Position 465: 5.527878946199663e-06
Position 479: 5.290429115927637e-06
Position 22: 5.1586668152410375e-06
Position 724: 4.943723515477736e-06
Position 189: 4.744036704784174e-06
Position 375: 3.769668857179101e-06
Position 1959: 3.2368877362570786e-06
Position 2415: 3.122408472182832e-06
Position 72: 2.988652435627449e-06
Position 1875: 2.6714058481029653e-06
Position 2276: 2.4947563093309184e-06
Position 1565: 1.9946255475360863e-06
Position 270: 1.922992321546288e-06
Position 1304: 1.922607649024311e-06
Position 355: 1.845248383630321e-06
Position 150: 1.4435128517351907e-06
Position 516: 8.610429839497505e-07
Position 35: 4.3665970649299185e-07
