Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  1000
Partition function (log Z): -8.844139746195927

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9103008464551173
Position 1887: 0.10638845863754431
Position 1752: 0.10587311918685217
Position 2402: 0.0726900657087488
Position 1783: 0.07010549499991474
Position 4864: 0.0518616093697554
Position 3307: 0.039349625856791644
Position 1585: 0.02302721050669685
Position 852: 0.022206822779616654
Position 4777: 0.01860180943758975
Position 2786: 0.015747625890046846
Position 1143: 0.01449615908626021
Position 2088: 0.014195180476494103
Position 463: 0.013763428756931147
Position 588: 0.011413476059692142
Position 980: 0.010946070619496552
Position 269: 0.010132442108792902
Position 2231: 0.008660280948593248
Position 2047: 0.006524905425002362
Position 2512: 0.006284107360308664
Position 3904: 0.005426363249723335
Position 629: 0.00482985283823214
Position 1186: 0.004369839312643142
Position 1266: 0.0031060437342072225
Position 633: 0.0029340329719651547
Position 1170: 0.0028696365885155155
Position 1138: 0.0024079879395874425
Position 1745: 0.0024032006778905903
Position 2118: 0.002370156070252488
Position 533: 0.002302706130508252
Position 1494: 0.001905298967956245
Position 2126: 0.0018948636101480004
Position 2506: 0.0017694530172799787
Position 3350: 0.0017566127777100197
Position 835: 0.001672992157924172
Position 3787: 0.00167278114694843
Position 732: 0.001413851385738177
Position 565: 0.0012173953032986276
Position 2072: 0.001032082554463996
Position 926: 0.0010095141331953803
Position 174: 0.0009822564902234028
Position 919: 0.0009629135667880874
Position 1353: 0.0008136116082281224
Position 1588: 0.0007921936164379135
Position 1554: 0.0007837406512791998
Position 1460: 0.0007779279000749833
Position 310: 0.0007710150015368458
Position 1080: 0.0006625211112692926
Position 116: 0.0005920740763980456
Position 756: 0.000541146144289156
Position 264: 0.0005205947350487704
Position 1534: 0.0004659555920935019
Position 1379: 0.00045407075182598157
Position 896: 0.00042051025370612146
Position 700: 0.0002514768534118375
Position 547: 0.0002477193789576226
Position 1323: 0.00023914558399897279
Position 2480: 0.00023292775163964166
Position 4947: 0.00020402701563859135
Position 148: 0.00019819209462191618
Position 2389: 0.00014671352848610043
Position 1428: 0.00013781493413474137
Position 443: 0.0001347723286808444
Position 668: 0.00013192883435070781
Position 752: 0.00012495133378485096
Position 750: 0.00011739285498285005
Position 2375: 0.00010608391327349457
Position 930: 9.602468185673127e-05
Position 82: 9.251683165473167e-05
Position 748: 9.117954294350968e-05
Position 4207: 8.255984229102422e-05
Position 746: 8.254843065562215e-05
Position 2500: 7.572858610200862e-05
Position 690: 7.224706579265701e-05
Position 884: 6.341609602801272e-05
Position 1075: 6.226019873836514e-05
Position 770: 4.8388789478186294e-05
Position 1350: 4.415829854022137e-05
Position 2426: 4.2884548372190645e-05
Position 159: 4.083441928956285e-05
Position 1523: 3.247807019121253e-05
Position 744: 2.9433576674672872e-05
Position 637: 2.936037999149062e-05
Position 659: 2.6776100858955078e-05
Position 1739: 2.6497414908054576e-05
Position 427: 2.5614098139128652e-05
Position 537: 2.560479674049784e-05
Position 103: 2.438321388711169e-05
Position 337: 2.08463688823417e-05
Position 934: 2.0476149453511116e-05
Position 1497: 1.7726138543641267e-05
Position 1331: 1.7265632802522454e-05
