Gene = PIG-C
index = 1357
Annotated 5SS: [541]
Annotated 3SS: [642]
SMsplice 5SS: [541]
SMsplice 3SS: [598]
top_k =  1000
Partition function (log Z): -6.302173848879468

Sorted 5' Splice Sites (High to Low Probability):
Position 541: 0.9902044495289805
Position 194: 0.17987675017273466
Position 161: 0.01103414072050503
Position 13: 0.0066948004694889224
Position 1109: 0.00445404116825173
Position 573: 0.0007973582382247677
Position 818: 0.0006681534614740471
Position 1043: 0.0006628548470166738
Position 202: 0.000547497691084215
Position 833: 0.00046550708129751336
Position 847: 0.00043056536509896337
Position 828: 0.00030353251350523575
Position 43: 0.0002912851115185222
Position 391: 0.00019881197749771896
Position 564: 7.399074716822839e-05
Position 292: 7.22290447385186e-05
Position 394: 7.13259554459079e-05
Position 174: 4.472209533673655e-05
Position 1054: 2.8339548921155994e-05
Position 76: 2.5169913400039302e-05
Position 327: 2.0800184535321862e-05
Position 344: 1.7247376647585445e-05
Position 532: 1.1697745771509688e-05
Position 705: 1.0447423419102358e-05
Position 385: 9.001130955516188e-06
Position 566: 7.568349869363991e-06
Position 299: 6.623033006781503e-06
Position 523: 6.229191991730427e-06
Position 87: 5.782542413833592e-06
Position 632: 3.979360428659424e-06
Position 739: 3.6936051358271516e-06
Position 1026: 1.751825050658744e-06
Position 727: 1.5458541739713621e-06
Position 718: 5.355588945356762e-07
Position 1133: 3.916675111700397e-07
Position 921: 2.945310713419447e-07
Position 927: 2.791123871512233e-07
Position 961: 2.2776895249341053e-07
Position 271: 7.656336815732277e-08
Position 748: 3.5889845264419035e-09
Position 795: 2.793263062316702e-09
Position 651: 2.2908063131870837e-09
Position 481: 1.593525215596027e-09
Position 646: 1.426465565861044e-09
Position 625: 3.5831236426675734e-10
Position 273: 2.0439714856302366e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.5483609688478249
Position 637: 0.33846731282756776
Position 263: 0.1396669710238521
Position 642: 0.06558472268120875
Position 269: 0.022685401921216968
Position 299: 0.019620185714598094
Position 918: 0.014497046533166002
Position 921: 0.010697209384925773
Position 915: 0.010633022241492788
Position 216: 0.006778279739711687
Position 69: 0.006405275848222129
Position 1164: 0.00594378616765867
Position 685: 0.004715609989112718
Position 441: 0.0010013677650164115
Position 391: 0.0008665338009998884
Position 313: 0.00036273717699882496
Position 1175: 0.0003613776543832871
Position 1002: 0.00017970953484050132
Position 164: 5.183584203163717e-05
Position 202: 4.973893661722718e-05
Position 449: 3.937403107585839e-05
Position 526: 2.821419310500523e-05
Position 772: 1.3254285794166958e-05
Position 673: 8.425342405462846e-06
Position 1008: 5.767110282717772e-06
Position 341: 4.797020854929601e-06
Position 350: 4.03702453462583e-06
Position 128: 3.840077460048974e-06
Position 1172: 3.500567739245612e-06
Position 1021: 2.3360926333036493e-06
Position 1124: 2.2356335632602404e-06
Position 1026: 2.1436207633921357e-06
Position 732: 1.6964201521008075e-06
Position 81: 1.6681775131420134e-06
Position 337: 1.0062546063061832e-06
Position 540: 7.874455978767694e-07
Position 184: 5.393360760332122e-07
Position 927: 2.5380024618703165e-07
Position 1046: 2.5130540987127716e-07
Position 344: 2.1340494569422895e-07
Position 544: 1.7744463708211806e-07
Position 138: 9.812672811057844e-08
Position 369: 3.8545719742504023e-10
