Gene = Mcr
index = 1273
Annotated 5SS: [ 172 3220 7063 7320 7555 7729]
Annotated 3SS: [2369 3314 7125 7379 7622 7814]
SMsplice 5SS: [ 172 3220 7063 7320 7555 7729]
SMsplice 3SS: [2258 3314 7125 7379 7622 7814]
top_k =  1000
Partition function (log Z): 17.314245184124765

Sorted 5' Splice Sites (High to Low Probability):
Position 7320: 0.9991411088776494
Position 3220: 0.9939600889145416
Position 7729: 0.9938612376690426
Position 7063: 0.9859629231685929
Position 7555: 0.9779388014271158
Position 172: 0.7472577306386393
Position 1052: 0.1913983786601793
Position 2520: 0.1522475177280135
Position 5383: 0.09494360530729608
Position 5494: 0.0843858363646808
Position 88: 0.07053282219329465
Position 3460: 0.06512868937754375
Position 425: 0.04108904378530362
Position 4294: 0.03368076746180272
Position 8629: 0.029615574392206353
Position 2789: 0.028746913422467733
Position 1047: 0.022120869492680027
Position 2090: 0.021799129987071293
Position 2008: 0.020509462400433894
Position 673: 0.016009499658104713
Position 2306: 0.0158009564932119
Position 7495: 0.015618327094890985
Position 31: 0.014678534374744303
Position 3391: 0.01446853838202373
Position 5368: 0.014006306749141013
Position 43: 0.012404724056842054
Position 649: 0.009292970081052327
Position 4669: 0.007706576841229538
Position 3547: 0.007658053411368964
Position 3917: 0.007061368594915437
Position 3517: 0.006895290320598488
Position 2143: 0.006477988922390217
Position 2988: 0.005922988584951499
Position 8357: 0.005856941898547444
Position 7760: 0.005474540108859253
Position 4003: 0.004954331936845134
Position 2542: 0.004245839875880021
Position 226: 0.004236051948290314
Position 4506: 0.003763717407350674
Position 373: 0.0033153774272007535
Position 7893: 0.0028631932425299818
Position 1059: 0.002810217688074667
Position 1311: 0.002735466654550068
Position 47: 0.0023891957399573603
Position 4037: 0.00238231515812176
Position 1255: 0.0023455806103298915
Position 5165: 0.0023092631583983905
Position 8082: 0.0020515220735107097
Position 379: 0.0017483540743968994
Position 4498: 0.0016552118530276125
Position 4548: 0.0016038621947254438
Position 336: 0.0014153106841544565
Position 1646: 0.0014009687398615891
Position 347: 0.0013821773959388551
Position 3829: 0.0013431018453206
Position 4007: 0.0012723252146700365
Position 8274: 0.0012633545461522581
Position 2799: 0.0011996659132195771
Position 4801: 0.0010795885419740958
Position 704: 0.0010728531328234143
Position 4054: 0.001017830791513319
Position 2815: 0.000991726233927897
Position 4157: 0.0009582129130943196
Position 994: 0.0009512888622870292
Position 4102: 0.000829975758930051
Position 4699: 0.000791043002001013
Position 3706: 0.0007825705262771382
Position 3711: 0.0007796159262331584
Position 8053: 0.0006787236212810651
Position 7874: 0.0006761423019412393
Position 1211: 0.0006419486397198553
Position 521: 0.0006390139567543487
Position 972: 0.000628194146877528
Position 4585: 0.0005932588779846826
Position 3621: 0.0005810669091675742
Position 3632: 0.0005777679170126602
Position 7733: 0.0005735736718848304
Position 950: 0.0005331457818320457
Position 1369: 0.000525599781203213
Position 7493: 0.0004897150640255947
