Gene = ninaA
index = 1817
Annotated 5SS: [570]
Annotated 3SS: [667]
SMsplice 5SS: [570]
SMsplice 3SS: [667]
top_k =  1000
Partition function (log Z): -4.2537037462332234

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9966038288971444
Position 48: 0.02446394575846389
Position 28: 0.004243570847519882
Position 21: 0.002938628220230549
Position 26: 0.0017105794636452802
Position 531: 0.0014626385921097456
Position 177: 0.0005979175192319971
Position 795: 0.0004160203543170367
Position 601: 0.00034900449406508575
Position 52: 0.00033631666708154665
Position 15: 0.00030361807508771693
Position 43: 0.0002384346009165109
Position 574: 0.00022885970218520875
Position 424: 0.000135427707190053
Position 156: 5.4439699958889717e-05
Position 200: 4.266284325907775e-05
Position 333: 3.893521179487414e-05
Position 405: 3.499560518522507e-05
Position 4: 2.979890065674344e-05
Position 297: 2.5217542793501846e-05
Position 276: 1.9198412385638978e-05
Position 497: 1.7032358638934403e-05
Position 9: 1.644453810522452e-05
Position 118: 1.4890101161577587e-05
Position 225: 1.4575307374422864e-05
Position 300: 1.455160422360954e-05
Position 862: 1.3941347519108836e-05
Position 803: 1.0720494711611934e-05
Position 486: 1.0662690569174902e-05
Position 519: 9.174838392922326e-06
Position 633: 4.396947288417199e-06
Position 137: 3.4806275207792475e-06
Position 132: 2.415974612525893e-06
Position 477: 9.004614347519855e-07
Position 65: 8.848633107468919e-07
Position 668: 8.580343237878992e-07
Position 470: 6.078789414984975e-07
Position 191: 3.7297180351755366e-07
Position 115: 3.4619698996388527e-07
Position 742: 3.3124717896852133e-07
Position 748: 2.186652509409482e-07
Position 315: 1.5861243537649493e-07
Position 821: 7.858745318934143e-08
Position 89: 1.447997988035261e-08
Position 108: 1.320740608336583e-08
Position 707: 9.949100889991748e-09
Position 704: 3.0744716305276577e-09
Position 695: 1.9762177771544725e-10
Position 661: 2.0788678283664343e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 667: 0.998135977257765
Position 94: 0.034009329300106604
Position 628: 0.0013810349826764354
Position 853: 0.0004723274093969677
Position 115: 0.00020072771801854804
Position 321: 5.3947356532500636e-05
Position 617: 4.686573727821583e-05
Position 637: 2.234742213313345e-05
Position 742: 1.6603454275648718e-05
Position 361: 1.3813598365630207e-05
Position 907: 1.333351445299622e-05
Position 470: 5.734922855341337e-06
Position 395: 5.436604562154436e-06
Position 497: 5.4004542164228195e-06
Position 913: 4.596200930351784e-06
Position 530: 3.146135830123327e-06
Position 872: 3.036364480311151e-06
Position 184: 2.5676950833671643e-06
Position 209: 2.503722727721782e-06
Position 810: 2.31328628473047e-06
Position 271: 1.7037292547975363e-06
Position 221: 1.4049259081836093e-06
Position 65: 1.3822677975744095e-06
Position 916: 1.0467454944915126e-06
Position 739: 9.749660982001639e-07
Position 173: 9.3599285849863e-07
Position 161: 6.64496126252058e-07
Position 748: 5.18314847163873e-07
Position 418: 4.98792309763616e-07
Position 787: 3.4758145035725246e-07
Position 389: 2.636943358466753e-07
Position 888: 1.556171998542369e-07
Position 170: 1.1602808426459868e-07
Position 512: 4.817222214782131e-08
Position 47: 8.27069893096826e-09
Position 582: 4.841587756526887e-09
Position 539: 2.391539539014617e-09
Position 882: 2.357646303059316e-09
Position 410: 1.2332938382491874e-09
Position 727: 4.565863948575261e-10
Position 566: 3.2865309161330573e-10
Position 124: 3.1079104246385365e-11
