Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  1000
Partition function (log Z): 4.194316502922533

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984377584673285
Position 614: 0.9948320159672138
Position 154: 0.9386005701417348
Position 1550: 0.022025965748957908
Position 779: 0.015111366965946556
Position 772: 0.007594821568430689
Position 141: 0.0037543189786598823
Position 982: 0.003385276559009662
Position 2215: 0.0017903250115682238
Position 796: 0.001483669521242819
Position 599: 0.001423108736172771
Position 605: 0.0011885905544462508
Position 1594: 0.0010700090763222018
Position 975: 0.0007688732646497145
Position 389: 0.0006449080345946382
Position 748: 0.00048316829969752924
Position 340: 0.0003569337179186596
Position 2005: 0.0003474613715717703
Position 1376: 0.00028926394861982874
Position 1971: 0.0002632201355555962
Position 145: 0.00026305422865184326
Position 2018: 0.0001818420252804184
Position 449: 0.00016665290682895054
Position 2254: 0.00015414393526988254
Position 1560: 0.00014924818438800323
Position 379: 0.00014458307842042182
Position 695: 0.00012908482234866593
Position 922: 0.00011954890981951929
Position 158: 8.884128865800387e-05
Position 1726: 8.565059409635102e-05
Position 46: 8.175306234820531e-05
Position 568: 7.067679045330922e-05
Position 391: 5.422536344105555e-05
Position 1293: 5.2959233896655346e-05
Position 434: 4.76435126116446e-05
Position 592: 4.711988021461122e-05
Position 1691: 3.765394079107739e-05
Position 815: 3.6812850447746526e-05
Position 626: 3.596295404682631e-05
Position 883: 3.42237994362072e-05
Position 943: 3.404631932231962e-05
Position 1393: 3.253386456311195e-05
Position 1704: 2.3727239694680382e-05
Position 1734: 2.112750314987588e-05
Position 1819: 2.0505003416598023e-05
Position 1414: 1.9313605839082033e-05
Position 374: 1.8803459649324546e-05
Position 90: 1.761421677755452e-05
Position 2132: 1.744721581176257e-05
Position 1605: 1.628840798834896e-05
Position 1308: 1.609369279424593e-05
Position 1077: 1.212324343859825e-05
Position 1470: 8.678968022358573e-06
Position 94: 8.4331339965054e-06
Position 1171: 7.2589987444041795e-06
Position 743: 7.138721988111935e-06
Position 1164: 5.727159449724414e-06
Position 1111: 5.550848861853163e-06
Position 1236: 5.19225021507957e-06
Position 865: 5.121792069109184e-06
Position 1116: 4.700596386425299e-06
Position 1125: 4.494196478786191e-06
Position 112: 4.354205164028219e-06
Position 32: 3.988582766502772e-06
Position 2245: 2.9410470672505714e-06
Position 830: 2.8839594784337046e-06
Position 400: 2.828204025766597e-06
Position 873: 2.5442071011722407e-06
Position 1666: 2.203512997151355e-06
Position 103: 2.0210489334117217e-06
Position 2221: 1.957478480815099e-06
