Gene = dos
index = 1673
Annotated 5SS: [ 139 3073 3906 4086 4388 5052]
Annotated 3SS: [2747 3138 3973 4146 4450 5107]
SMsplice 5SS: [ 139 3073 3906 4086 4388 5052]
SMsplice 3SS: [2747 3138 3973 4146 4450 5107]
top_k =  1000
Partition function (log Z): 11.821122533108964

Sorted 5' Splice Sites (High to Low Probability):
Position 5052: 0.9991431885443051
Position 4388: 0.9929319984323006
Position 3906: 0.9807085087535939
Position 3073: 0.9718335537133557
Position 4086: 0.9713424013075487
Position 139: 0.8553397381737906
Position 4562: 0.046506374289016605
Position 332: 0.04547856519073982
Position 4587: 0.04395569612843355
Position 189: 0.03509918538644547
Position 2434: 0.0329200290335134
Position 3350: 0.03155031806222434
Position 4082: 0.02660724025853155
Position 2200: 0.015333818400986524
Position 3012: 0.015260483243123292
Position 1471: 0.01460262903274143
Position 4726: 0.0132584567731592
Position 2698: 0.010647348546824711
Position 163: 0.010194469416370006
Position 2154: 0.00857337708251652
Position 2187: 0.00784911923727146
Position 2660: 0.0073759460499134705
Position 478: 0.0063116261196069666
Position 2656: 0.005808561996783717
Position 3561: 0.005509065791522965
Position 185: 0.004984914398683593
Position 502: 0.004738927723217655
Position 1157: 0.004565174391708016
Position 2378: 0.004162937357090466
Position 193: 0.004118411587219184
Position 474: 0.003759635186542876
Position 1093: 0.0033317234700047946
Position 5291: 0.0031163211015080468
Position 2160: 0.0030542202637168767
Position 1371: 0.0028793197874421275
Position 2654: 0.0028786219517769884
Position 4338: 0.002713550881296646
Position 1938: 0.0026137126889241385
Position 5192: 0.0024880071401366583
Position 46: 0.0018319923997646968
Position 468: 0.001325399316316166
Position 470: 0.0012561875019517612
Position 1635: 0.0012389592914209906
Position 2197: 0.00115113781680559
Position 2478: 0.001087320671291193
Position 601: 0.0010717181129198206
Position 5629: 0.0009916633002316681
Position 3063: 0.0009654568207237731
Position 2874: 0.0008174531801042042
Position 3294: 0.0007862904001390724
Position 3365: 0.0006771727348045228
Position 5395: 0.0006659439376295198
Position 3348: 0.0006114788879482334
Position 5453: 0.0005538506160102799
Position 3654: 0.0004415177691089179
Position 1051: 0.0004382924721686491
Position 5287: 0.00043212010180280954
Position 3692: 0.0004101940330936211
Position 2236: 0.00040705570807657906
Position 5746: 0.000400916458756616
Position 5854: 0.0003908895441281274
Position 3832: 0.00037049614697686536
Position 2470: 0.0003361580684306821
Position 4153: 0.00029764664436231377
Position 203: 0.00027447016813103787
Position 5451: 0.00026606902918906383
Position 5780: 0.0002620678602899234
Position 3850: 0.00022261985566271534
Position 1422: 0.00019391806636637427
Position 1584: 0.0001828686600648837
Position 3815: 0.00015776044759459562
Position 5668: 0.00014672467186514586
Position 450: 0.00013252336399437788
Position 2994: 0.0001172777947530498
Position 1414: 0.00011647336832343758
Position 5793: 0.00011354060515789356
Position 1056: 0.00010753582525293692
Position 4887: 0.00010704725511934487
Position 5641: 0.00010337259362103134
Position 1013: 9.975726924695434e-05
Position 11: 9.22466190901478e-05
Position 5730: 9.129830180323829e-05
Position 2461: 8.978136538544387e-05
Position 187: 8.872383414248254e-05
Position 2088: 8.737936840375247e-05
Position 5411: 8.660550019003073e-05
Position 195: 6.880022059806537e-05
Position 143: 6.434712788605408e-05
Position 4306: 6.369796264596768e-05
Position 4123: 6.299225044682479e-05
Position 15: 6.163861093858375e-05
Position 4392: 6.155539983421317e-05
Position 4090: 5.970946302451741e-05
Position 4759: 5.8243807821984e-05
Position 3067: 5.037523582735567e-05
Position 1284: 4.964860471598162e-05
Position 721: 4.75320309421222e-05
Position 742: 4.741444471906918e-05
Position 495: 4.612908178175324e-05
Position 5894: 4.2972474518353296e-05
Position 4681: 4.260009540912638e-05
Position 456: 4.2405629064364826e-05
Position 1016: 4.0331846643864456e-05
Position 299: 3.9074432825268796e-05
Position 5171: 3.761832849805409e-05
Position 108: 3.38557509863034e-05
Position 4894: 3.301732619546536e-05
Position 4126: 3.1662667167298176e-05
Position 794: 3.0052296466185368e-05
Position 489: 2.8393836770263875e-05
Position 3252: 2.730944046216716e-05
Position 5908: 2.717436022862583e-05
Position 26: 2.712051813114343e-05
