Gene = RNaseX25
index = 1401
Annotated 5SS: [155]
Annotated 3SS: [353]
SMsplice 5SS: [155]
SMsplice 3SS: [353]
top_k =  1000
Partition function (log Z): -4.205562434048965

Sorted 5' Splice Sites (High to Low Probability):
Position 155: 0.9965734372072752
Position 1602: 0.007720775441748625
Position 1428: 0.004960877207893962
Position 837: 0.0029151171812624543
Position 990: 0.0021964727216716457
Position 233: 0.0016525179497167153
Position 1073: 0.0016302168703011318
Position 262: 0.0014102936800545081
Position 1688: 0.0013890232156777255
Position 863: 0.0012485940390819458
Position 422: 0.001221363115599246
Position 385: 0.0012113257738121674
Position 1210: 0.0011809877760240145
Position 486: 0.0005145914256607168
Position 1700: 0.00046780599890346413
Position 1254: 0.0004013531073443282
Position 1356: 0.0003321349548499737
Position 870: 0.0002757159865944413
Position 271: 0.00026095870570158695
Position 1576: 0.000253725948361059
Position 1099: 0.00024130080368296286
Position 1142: 0.0002059365786121488
Position 1242: 0.00018028702467831102
Position 1557: 0.0001795972137644489
Position 1598: 0.00014720225374616251
Position 811: 0.00014537992558317342
Position 1287: 0.00013270814984094384
Position 1262: 0.0001213198832403585
Position 1224: 0.00011214557779530823
Position 952: 0.00010222429387738421
Position 1538: 9.76242605716768e-05
Position 474: 9.156997168356445e-05
Position 129: 7.417988007980705e-05
Position 928: 7.140761472785171e-05
Position 1200: 6.105028690435449e-05
Position 1245: 5.8070530924593573e-05
Position 582: 4.727765972610418e-05
Position 1270: 4.5979185575054186e-05
Position 587: 4.292667122877567e-05
Position 538: 4.000293017917995e-05
Position 434: 3.403122799471151e-05
Position 606: 3.245845448603955e-05
Position 1319: 2.5641871709774904e-05
Position 159: 2.2419981162492083e-05
Position 407: 1.8879643746142523e-05
Position 1216: 1.7462173549022765e-05
Position 255: 1.63664190528947e-05
Position 1112: 1.555219616373774e-05
Position 511: 1.3666775482925948e-05
Position 1168: 1.1226119225748768e-05
Position 1358: 1.0145663327691964e-05
Position 95: 7.888048950213603e-06
Position 1103: 5.9645093872649685e-06
Position 1405: 4.1813290923759515e-06
Position 1745: 3.940946668713915e-06
Position 1564: 3.871976060663132e-06
Position 53: 3.171162961248165e-06
Position 1636: 2.125714775990645e-06
Position 1761: 2.0733968541953315e-06
Position 1631: 1.4382753539710033e-06
Position 490: 1.1421957407231186e-06
Position 1506: 9.217856073516213e-07
Position 1501: 8.266388004466202e-07
Position 762: 7.727513898997499e-07
Position 1728: 3.412512836927461e-07
Position 1093: 3.8154798386684644e-08
Position 1105: 2.0530488364842444e-08
Position 363: 8.617182894694626e-09
Position 879: 2.324286270726963e-09
Position 105: 2.096239146949992e-09
Position 780: 1.8591948715466545e-09
Position 975: 5.821777492761751e-10
Position 333: 2.474838821384956e-10
Position 121: 9.189290526026423e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.968606228599682
Position 1761: 0.018205630849475796
Position 305: 0.007993749951198646
Position 1649: 0.0063097027512599765
Position 1476: 0.006119526089922339
Position 892: 0.003550424983023629
Position 1145: 0.00253713854784274
Position 1043: 0.002467203132614575
Position 1772: 0.002198173035373263
Position 1528: 0.002025826752295554
Position 1820: 0.0015140837944961206
Position 302: 0.0014238786083425926
Position 469: 0.0009340851632679421
Position 1261: 0.0009317051807791823
Position 255: 0.0009242619929556245
Position 1163: 0.0005687096199597074
Position 451: 0.000553225616349742
Position 1678: 0.0005486570161248303
Position 1598: 0.0005237703187308426
Position 495: 0.0004258845491294119
Position 745: 0.0004076598260218575
Position 1416: 0.00024203343424274683
Position 1307: 0.00021841298008238428
Position 261: 0.00017630795369453952
Position 1083: 0.00013606714571505037
Position 579: 0.00012457094492799342
Position 692: 0.00011509091329591186
Position 1279: 7.894055941319498e-05
Position 952: 6.322868572054713e-05
Position 402: 5.839111943156494e-05
Position 1657: 4.225187671428018e-05
Position 600: 3.796132844525705e-05
Position 396: 2.9864919045873032e-05
Position 422: 2.8177524134292373e-05
Position 587: 2.356846912367522e-05
Position 849: 1.6560822749481073e-05
Position 412: 1.627911631379657e-05
Position 1446: 1.5111139734326469e-05
Position 582: 1.4647923530092597e-05
Position 1013: 1.3104298207490103e-05
Position 1828: 1.2913379025660636e-05
Position 564: 5.0017880135749166e-06
Position 1224: 4.066290792809369e-06
Position 723: 3.6060061702836493e-06
Position 1791: 3.5185142594839015e-06
Position 711: 3.1891549714331787e-06
Position 154: 2.754374305943666e-06
Position 1606: 2.537890314529503e-06
Position 837: 2.395887690462681e-06
Position 271: 2.2906818748224097e-06
Position 1184: 1.7975828717784965e-06
Position 1190: 1.5467360269528568e-06
Position 1366: 1.4868286038330637e-06
Position 1080: 1.4773430119190844e-06
Position 957: 1.03109243956521e-06
Position 603: 8.58380432802798e-07
Position 789: 8.003560735683164e-07
Position 786: 6.893513374745648e-07
Position 567: 3.1039769995962893e-09
Position 597: 1.4040584030127882e-09
Position 780: 2.3555564288848355e-10
Position 159: 7.944474978429773e-11
Position 393: 2.1556256903132684e-11
Position 483: 3.5249305108416064e-13
Position 479: 6.426336020603561e-16
