Gene = bur
index = 1636
Annotated 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
Annotated 3SS: [2004 2173 2711 3077 3306 3749 4001 4458 4707]
SMsplice 5SS: [ 354 2113 2479 3013 3175 3677 3943 4404 4651]
SMsplice 3SS: [1723 2173 2711 3077 3306 3749 4001 4458 4707]
top_k =  1000
Partition function (log Z): 25.832969247446464

Sorted 5' Splice Sites (High to Low Probability):
Position 4651: 0.9981091937804928
Position 4404: 0.9974477384426711
Position 2113: 0.993789456740962
Position 3013: 0.9842878709357284
Position 3677: 0.9841587052128621
Position 2479: 0.9665162624949637
Position 3175: 0.8598003032910103
Position 354: 0.6984461528132787
Position 3947: 0.5260359539816795
Position 1782: 0.45339759944648206
Position 3970: 0.2602990079429045
Position 1501: 0.23433664440625834
Position 2767: 0.17081446215887922
Position 1647: 0.13385599102345203
Position 3246: 0.06763788041958597
Position 203: 0.053099131066777286
Position 592: 0.0434206793379251
Position 1786: 0.039803087116626265
Position 1614: 0.03294394387953557
Position 1953: 0.025141178575714688
Position 3165: 0.019990915260905687
Position 3519: 0.019718630632760793
Position 3502: 0.016476060116711256
Position 199: 0.016426635910361198
Position 2833: 0.015989391069760474
Position 5106: 0.0119054815213956
Position 1035: 0.010549557138241253
Position 3621: 0.009625105514518525
Position 5134: 0.007353168304787059
Position 1955: 0.0064754362058863455
Position 1488: 0.0063275198147996385
Position 4174: 0.005919700135037778
Position 3007: 0.005723215972096809
Position 207: 0.005331855591190932
Position 3183: 0.004777819252505763
Position 3531: 0.004613223756946257
Position 2607: 0.00460493243437303
Position 4290: 0.0035697594485177343
Position 3691: 0.003244049669672507
Position 2595: 0.0031467059670973823
Position 2189: 0.0029472803548033946
Position 3964: 0.0028055755793966646
Position 2184: 0.0025545532720906198
Position 598: 0.0022074205165808296
Position 3998: 0.0020933710695001675
Position 2103: 0.0020465439741048854
Position 286: 0.0019623977443031016
Position 2992: 0.0019016769711603897
Position 2984: 0.0017281057207127978
Position 3137: 0.001610685708606353
Position 5390: 0.00152417963997839
Position 666: 0.0015022187041354162
Position 4764: 0.0014631228582258446
Position 4655: 0.001443540026519297
Position 2913: 0.001323948208185503
Position 1268: 0.0013146235130461084
Position 1907: 0.0012944939002211555
Position 1433: 0.0012871680684095976
Position 1121: 0.0012797469757626842
Position 5084: 0.0010979539168837925
Position 2851: 0.0010658142557157123
Position 891: 0.000989177964608881
Position 3463: 0.0009697126139442608
Position 588: 0.0008690512510281116
Position 201: 0.0008561476895928693
Position 1278: 0.0007840672350580587
Position 1797: 0.000735814195205565
Position 2600: 0.0007070378209479264
Position 2869: 0.0006534815570495482
Position 3108: 0.0006069992534683462
Position 4068: 0.000581910343071554
